Price	Mileage	Designation	Type	Location	Model Year	Include	Predicted Price Where	Age	Predicted Price
$30,989 	15715	328	xi	Doylestown, PA	2007	Include	29943.94946	4	29912.96045
$29,989 	23682	328	xi	Doylestown, PA	2007	Include	28426.31475	4	28387.46826
$23,987 	49892	328	i	Chicago	2007	Include	23433.56895	4	23368.87278
$29,995 	31275	328	i	Chicago	2007	Include	26979.92334	4	26933.58824
$27,995 	23965	328	xi	Chicago	2007	Include	28372.40605	4	28333.28045
$26,995 	40508	328	xi	Devon,PA	2007	Include	25221.12814	4	25165.68697
$27,995 	37994	328	xi	Devon,PA	2007	Include	25700.02028	4	25647.05855
$20,399 	55532	328	xi	Feasterville	2007	Include	22359.20472	4	22288.94609
$20,990 	43585	328	xi	Feasterville	2007	Include	24634.99007	4	24576.5142
$20,995 	42000	328	i	Philadelphia	2007	Include	24936.9169	4	24880.00424
$23,958 	48683	328	i	West Springfield, MA	2007	Include	23663.87149	4	23600.3677
$24,461 	41327	328	xi	West Springfield, MA	2007	Include	25065.11674	4	25008.86783
$25,979 	35619	328	xi	West Springfield, MA	2007	Include	26152.4343	4	26101.81491
$23,769 	52689	328	xi	West Springfield, MA	2007	Include	22900.76811	4	22833.31339
$25,495 	29777	328	xi	West Springfield, MA	2007	Include	27265.27752	4	27220.41983
$23,779 	38106	328	xi	West Springfield, MA	2007	Include	25678.68539	4	25625.6132
$24,658 	52253	328	xi	West Springfield, MA	2007	Include	22983.82179	4	22916.79709
$25,286 	44856	328	xi	West Springfield, MA	2007	Include	24392.87714	4	24333.14775
$26,677 	39760	328	i	Chapel Hill	2007	Include	25363.61475	4	25308.91129
$25,991 	42738	328	i	Santa Clara, CA	2007	Include	24796.3352	4	24738.69468
$26,992 	29231	328	i	Santa Clara, CA	2007	Include	27369.28512	4	27324.96592
$22,988 	46078	328	xi	Chicago	2007	Include	24160.09823	4	24099.16363
$29,998 	24609	328	xi	Chicago	2007	Include	28249.73041	4	28209.96967
$24,998 	29708	328	i	Chicago	2007	Include	27278.42134	4	27233.6317
$23,998 	30302	328	i	Chicago	2007	Include	27165.27021	4	27119.89474
$21,998 	35664	328	i	Chicago	2007	Include	26143.86224	4	26093.19848
$28,998 	39989	328	xi	Chicago	2007	Include	25319.99251	4	25265.06321
$25,884 	36617	328	xi	Philadelphia	2007	Include	25962.32516	4	25910.7215
$21,468 	54388	328	xi	Philadelphia	2007	Include	22577.12541	4	22507.99505
$27,995 	32232	328	i	Philadelphia	2007	Include	26797.6243	4	26750.34536
$26,980 	50153	328	ci	Rogersville, AR	2007	Include	23383.85103	4	23318.89745
$24,620 	36356	328	i	Waynesville, MO	2007	Include	26012.04308	4	25960.69683
$23,980 	45018	328	i	Rogersville, AR	2007	Include	24362.01774	4	24302.12857
	47500								23826.88424
