Date	Price McDonalds	Return McDonalds	Value Weighted Return	Equal-Weighted Return	S&P 500 Return
19900131	32.625	-0.054348	-0.070115	-0.046408	-0.068817
19900228	31.5	-0.032107	0.014901	0.015434	0.008539
19900330	31.75	0.007937	0.02414	0.021315	0.024255
19900430	30.25	-0.047244	-0.028286	-0.028117	-0.026887
19900531	34.625	0.147438	0.088936	0.045675	0.091989
19900629	35.5	0.025271	-0.004196	0.005359	-0.008886
19900731	31.375	-0.116197	-0.009405	-0.025732	-0.005223
19900831	27.875	-0.108845	-0.091896	-0.108911	-0.094314
19900928	26	-0.067265	-0.053843	-0.080468	-0.051184
19901031	25.25	-0.028846	-0.012504	-0.057155	-0.006698
19901130	28.125	0.117228	0.065744	0.035468	0.059934
19901231	29.125	0.035556	0.029513	-0.004526	0.024828
19910131	28.5	-0.021459	0.049078	0.084175	0.041518
19910228	31.625	0.109649	0.075847	0.133898	0.067281
19910328	34.75	0.101502	0.028923	0.078293	0.022203
19910430	33.5	-0.035971	0.003322	0.031962	0.000346
19910531	35	0.047537	0.040732	0.031385	0.038577
19910628	32.875	-0.060714	-0.044029	-0.031773	-0.047893
19910731	32.75	-0.003802	0.046795	0.034202	0.044859
19910830	32.625	-0.000992	0.026819	0.027507	0.019649
19910930	35	0.072797	-0.010975	0.00813	-0.019144
19911031	34.75	-0.007143	0.017789	0.024639	0.01186
19911129	33.625	-0.029712	-0.037275	-0.023735	-0.043928
19911231	38	0.130112	0.106778	0.035353	0.111588
19920131	43.5	0.144737	-0.001182	0.14997	-0.0199
19920228	40.5	-0.066839	0.013354	0.052124	0.009565
19920331	39.875	-0.015432	-0.0237	-0.014169	-0.021832
19920430	44.375	0.112853	0.013419	-0.033262	0.027893
19920529	46.875	0.058592	0.006439	0.005678	0.000964
19920630	46	-0.018667	-0.019287	-0.039215	-0.017359
19920731	43.875	-0.046196	0.0399	0.027617	0.039374
19920831	42.5	-0.02906	-0.02082	-0.0239	-0.023998
19920930	44.375	0.044118	0.012447	0.01105	0.009106
19921030	45.875	0.033803	0.010986	0.016224	0.002106
19921130	49	0.0703	0.040193	0.066686	0.030262
19921231	48.75	-0.005102	0.017768	0.035677	0.010108
19930129	48.625	-0.002564	0.012643	0.067612	0.007046
19930226	50.625	0.043188	0.005402	-0.007198	0.010484
19930331	52.875	0.044444	0.025116	0.031465	0.018697
19930430	48.125	-0.089835	-0.0254	-0.011112	-0.025417
19930528	49.75	0.033766	0.029598	0.03874	0.022717
19930630	49.125	-0.010402	0.00544	0.013419	0.000755
19930730	51.5	0.048346	-0.000795	0.013719	-0.005327
