Weight	Price	Clarity	Color
1	$13,776.00 	IF	D
1.01	$8,868.00 	VS1	D
1.02	$7,612.00 	VS1	D
1.01	$3,974.00 	VS1	D
1.01	$7,315.00 	VS1	D
1	$6,748.00 	VS1	D
1.03	$8,316.00 	VS1	D
1.04	$8,789.00 	VS1	D
1.04	$7,044.00 	VS2	D
1.04	$6,848.00 	VS2	D
1.04	$7,495.00 	VS2	D
1	$5,606.00 	VS2	D
1.01	$6,460.00 	VS2	D
1.01	$5,985.00 	VS2	D
1.02	$7,196.00 	VS2	D
1.01	$5,796.00 	VS2	D
1.01	$7,601.00 	VS2	D
1	$6,114.00 	VS2	D
1	$6,585.00 	VS2	D
1	$5,477.00 	SI1	D
1.01	$4,555.00 	SI1	D
1	$5,074.00 	SI1	D
1	$4,672.00 	SI1	D
1.01	$5,125.00 	SI1	D
1.01	$4,311.00 	SI1	D
1.03	$4,396.00 	SI1	D
1.01	$5,125.00 	SI1	D
1	$5,957.00 	SI1	D
1	$4,269.00 	SI1	D
1.01	$3,904.00 	SI1	D
1	$5,644.00 	SI1	D
1.02	$4,683.00 	SI1	D
1	$4,833.00 	SI1	D
1	$5,477.00 	SI1	D
1	$5,477.00 	SI1	D
1.01	$5,532.00 	SI1	D
1.01	$5,532.00 	SI1	D
1.01	$4,799.00 	SI2	D
1.01	$4,662.00 	SI2	D
1.02	$4,709.00 	SI2	D
1	$4,887.00 	SI2	D
1.03	$4,895.00 	SI2	D
1	$4,887.00 	SI2	D
1.04	$5,295.00 	SI2	D
1.01	$4,142.00 	SI2	D
1.04	$5,436.00 	SI2	D
1.02	$4,501.00 	SI2	D
1.01	$3,976.00 	SI2	D
1	$3,937.00 	SI2	D
1	$3,462.00 	SI2	D
1	$4,631.00 	SI2	D
1.01	$5,153.00 	SI2	D
1.01	$4,336.00 	SI2	D
1	$3,801.00 	SI2	D
1	$2,919.00 	SI2	D
1	$3,258.00 	SI2	D
1	$3,598.00 	SI2	D
1	$3,937.00 	SI2	D
1	$3,598.00 	SI2	D
1	$3,598.00 	SI2	D
1	$2,919.00 	SI2	D
1	$4,480.00 	SI2	D
1	$3,733.00 	SI2	D
1	$2,919.00 	SI2	D
1.01	$3,976.00 	SI2	D
1.01	$3,634.00 	SI2	D
1	$3,258.00 	SI2	D
1.03	$3,355.00 	SI2	D
1.03	$3,706.00 	SI2	D
1.03	$4,404.00 	SI2	D
1.01	$3,634.00 	SI2	D
1.01	$4,319.00 	SI2	D
1.01	$3,976.00 	SI2	D
1.01	$2,947.00 	SI2	D
1	$4,616.00 	SI2	D
1	$4,413.00 	SI2	D
1.01	$4,114.00 	SI2	D
1.04	$4,942.00 	SI2	D
1.03	$5,244.00 	SI2	D
1.01	$6,005.00 	SI2	D
1	$4,763.00 	SI2	D
1.01	$4,114.00 	SI2	D
1.02	$4,847.00 	SI2	D
1.02	$3,323.00 	SI2	D
1.02	$3,047.00 	SI3	D
1.03	$3,368.00 	SI3	D
1.01	$3,017.00 	SI3	D
1.02	$3,047.00 	SI3	D
1.04	$3,693.00 	SI3	D
1	$3,270.00 	SI3	D
1	$2,447.00 	SI3	D
1	$2,447.00 	SI3	D
