Location	Market Share (%)	Samples per MD	Primary Details per MD
Akron OH	27.8312535	0.844522968	0.040047114
Albany-Schenectady-Troy NY	31.2100053	0.405541562	0.064231738
Albuquerque NM	38.4366362	0.054054054	0.001689189
Allentown-Bethlehem-Easton PA	27.1083283	0.09264854	0.056092649
Ann Arbor MI	34.2958803	0	0.032867884
Atlanta GA	35.8068492	0.241991992	0.061686687
Augusta-Aiken GA-SC	34.2580895	0.194174757	0.073624596
Austin-San Marcos TX	36.188398	0.339378238	0.084542314
Bakersfield CA	34.8267308	0.051428571	0.000952381
Baltimore MD	31.2096939	0.061647429	0.035020986
Baton Rouge LA	33.6637266	0.137614679	0.042813456
Bergen-Passaic NJ	31.6844337	0.236864053	0.038573812
Birmingham AL	37.0802161	0.060486522	0.019789612
Boston MA-NH	34.7996851	0.022491967	0.02117101
Buffalo-Niagara Falls NY	38.9200528	0.297131148	0.08442623
Charleston-North Charleston SC	34.6246031	0.25	0.01745283
Charlotte-Gastonia-Rock Hill NC-SC	32.9358714	0.181270537	0.015881709
Chattanooga TN-GA	31.9052073	0.355345912	0.07091195
Chicago IL	31.630583	0.115228873	0.022711268
Cincinnati OH-KY-IN	36.3220419	0.388601036	0.065440415
Cleveland-Lorain-Elyria OH	30.5561733	0.183825918	0.022247483
Colorado Springs CO	36.3200591	0.309633028	0.068119266
Columbia SC	31.5680673	0.455433455	0.038583639
Columbus OH	32.1988606	0.006160164	0.050462012
Dallas TX	33.1214861	0.28396072	0.05507365
Dayton-Springfield OH	30.7386388	0.300739523	0.032046015
Daytona Beach FL	31.0443378	0.138240575	0.096947935
Denver CO	38.3372446	0.109471095	0.035875359
Detroit MI	30.958741	0.08447223	0.035766211
El Paso TX	33.2936844	0.15815486	0.039538715
Fort Lauderdale FL	33.8324742	0.137442732	0.049854227
Fort Wayne IN	31.6566583	0.644320298	0.116573557
Fort Worth-Arlington TX	31.5638728	0.355339806	0.046666667
Fresno CA	37.47933	0.009876543	0.005555556
Gary IN	31.084706	0.158730159	0.080687831
Grand Rapids-Muskegon-Holland MI	34.0650476	0.010084034	0.023109244
Greensboro-Winston-Salem-High Point NC	33.6309208	0.256791721	0.062419146
Greenville-Spartanburg-Anderson SC	33.2533218	0.23125	0.09265625
Harrisburg-Lebanon-Carlisle PA	30.9007881	0.2	0.070236967
Hartford CT	34.992312	0.122968198	0.054840989
Honolulu HI	32.6455001	0.15446339	0.035707121
Houston TX	34.2099686	0.118695564	0.022199716
Indianapolis IN	29.9659682	0.035664008	0.01647114
Jacksonville FL	36.1591928	0.098924731	0.061290323
Jersey City NJ	24.9161037	1.013977128	0.022871665
Johnson City-Kingsport-Bristol TN-VA	37.6980442	0.453216374	0.028508772
Kansas City MO-KS	33.2598249	0.12995896	0.032375741
Knoxville TN	32.5529903	0.181102362	0.094980315
Lakeland-Winter Haven FL	32.1641959	0.480572597	0.103271984
Lancaster PA	31.0867533	0.371171171	0.087567568
Lansing-East Lansing MI	34.9032122	0	0.04340836
Las Vegas NV-AZ	32.7278611	0.189808917	0.022611465
Lexington KY	40.9362315	0.248768473	0.031650246
Little Rock-North Little Rock AR	37.3382708	0.634560907	0.097025496
Los Angeles-Long Beach CA	34.7284315	0.126597298	0.024297189
Louisville KY-IN	33.457597	0.231386861	0.024452555
McAllen-Edinburg-Mission TX	33.9941071	0.319371728	0
Melbourne-Titusville-Palm Bay FL	25.0540198	0.065813528	0.000914077
Memphis TN-AR-MS	27.5677245	0.26429479	0.062579416
Miami FL	35.7763143	0.147093434	0.037655919
Middlesex-Somerset-Hunterdon NJ	31.6903769	0.164893617	0.052718676
Milwaukee-Waukesha WI	33.2095649	0.244005642	0.037423601
Minneapolis-St. Paul MN-WI	34.8769794	0.116647465	0.036923963
Mobile AL	34.7470379	0.367965368	0.051226551
Monmouth-Ocean NJ	27.6420869	0.331329325	0.059118237
Nashville TN	36.1880289	0.213441195	0.04791537
Nassau-Suffolk NY	31.7005299	0.143771721	0.027089812
New Haven-Meriden CT	33.3319931	0.22418136	0.01511335
New Orleans LA	34.369175	0.277144274	0.051859197
New York NY	31.9031319	0.101618304	0.021540179
Newark NJ	31.1438608	0.136822773	0.043342516
Norfolk-Virginia Beach-Newport News VA-NC	29.3516331	0.131368938	0.060527931
Oakland CA	36.7930248	0.036656236	0.02753688
Oklahoma City OK	31.6676092	0.221895665	0.04665687
Omaha NE-IA	33.9479064	0.12244898	0.07755102
Orange County CA	36.0320324	0.226794258	0.060606061
Orlando FL	29.7040053	0.225694444	0.024851191
Philadelphia PA-NJ	33.1102835	0.278275535	0.043765152
Phoenix-Mesa AZ	35.1042924	0.092801904	0.011511005
Pittsburgh PA	31.1498472	0.334371755	0.03990135
Portland-Vancouver OR-WA	36.1822485	0.092648978	0.029273597
Providence-Fall River-Warwick RI-MA	32.6018921	0.145873321	0.041266795
Raleigh-Durham-Chapel Hill NC	33.2234474	0.341720304	0.05880632
Richmond-Petersburg VA	33.1874204	0.327272727	0.088429752
Riverside-San Bernardino CA	35.2146634	0.06302844	0.026902383
Rochester NY	36.1926181	0.07775378	0.05025198
Sacramento CA	33.5523483	0.17159383	0.015102828
St. Louis MO-IL	32.5530837	0.184815185	0.037529138
Salt Lake City-Ogden UT	42.6665148	0.166020672	0.041731266
San Antonio TX	36.5554697	0.520352035	0.058085809
San Diego CA	38.5909104	0.181649331	0.062592868
San Francisco CA	35.2720653	0.117601547	0.0344294
San Jose CA	37.4289417	0	0.000838457
Sarasota-Bradenton FL	34.9419654	0.03030303	0.048748353
Scranton-Wilkes Barre-Hazleton PA	31.624106	0.2	0.060235294
Seattle-Bellevue-Everett WA	40.5455988	0.221973094	0.030012812
Springfield MA	30.977916	0.164041995	0.057086614
Stockton-Lodi CA	36.4441657	0.17433414	0.012106538
Syracuse NY	33.6184735	0	0.050550551
Tacoma WA	41.4226166	0.14084507	0.01799687
Tampa-St. Petersburg-Clearwater FL	31.5829039	0.19801027	0.069159178
Toledo OH	36.6549122	0.146231721	0.061417323
Tucson AZ	41.6548435	0.284644195	0.029026217
Tulsa OK	35.2607213	0.18699911	0.056990205
Vallejo-Fairfield-Napa CA	36.7638698	0	0.020460358
Ventura CA	36.7627008	0.364	0.047466667
Washington DC-MD-VA-WV	35.4204324	0.153102997	0.035451122
West Palm Beach-Boca Raton FL	32.821278	0.161234991	0.050085763
Wichita KS	30.576176	0	0.040410959
Wilmington-Newark DE-MD	30.136297	0.700399467	0.033954727
Worcester MA-CT	41.2613774	0.233093525	0.007194245
Youngstown-Warren OH	28.4764077	0.336795252	0.046884273
Akron OH	27.2246617	0.070671378	0.018256773
Albany-Schenectady-Troy NY	31.3361999	0.167086482	0.051301427
Albuquerque NM	35.0486088	0.027027027	0.001126126
Allentown-Bethlehem-Easton PA	29.9653994	0.118831823	0.045317221
Ann Arbor MI	33.8037193	0	0.039205156
Atlanta GA	34.4012331	0.118868869	0.062562563
Augusta-Aiken GA-SC	36.8983857	0	0.05420712
Austin-San Marcos TX	36.8458689	0.045768567	0.083765112
Bakersfield CA	34.5594935	0.064761905	0.016190476
Baltimore MD	32.1954912	0.096274921	0.031741868
Baton Rouge LA	34.7223019	0.036697248	0.035932722
Bergen-Passaic NJ	30.884478	0.223936614	0.033569641
Birmingham AL	34.9205162	0.185404339	0.03425378
Boston MA-NH	35.5293843	0.011067476	0.025883613
Buffalo-Niagara Falls NY	43.7095955	0.282786885	0.057308743
Charleston-North Charleston SC	31.048982	0.363207547	0.030306604
Charlotte-Gastonia-Rock Hill NC-SC	36.3984757	0.133077766	0.009364732
Chattanooga TN-GA	31.0166949	0	0.075
Chicago IL	32.4758123	0.076496479	0.020334507
Cincinnati OH-KY-IN	35.3582176	0.416580311	0.068911917
Cleveland-Lorain-Elyria OH	29.8920628	0.24358558	0.021338097
Colorado Springs CO	33.8612998	0.112385321	0.075688073
Columbia SC	33.0829245	0.172161172	0.015873016
Columbus OH	31.9593733	0.016427105	0.037217659
Dallas TX	35.413944	0.247135843	0.069749045
Dayton-Springfield OH	32.2843272	0.13147083	0.018077239
Daytona Beach FL	30.6110992	0.037701975	0.061041293
Denver CO	38.8174167	0.250512505	0.041820418
Detroit MI	31.1363761	0.090142483	0.042614132
El Paso TX	31.7960733	0	0.019769358
Fort Lauderdale FL	32.9883964	0.162015827	0.051728447
Fort Wayne IN	30.5677874	0.17132216	0.069273743
Fort Worth-Arlington TX	36.4608565	0.313268608	0.042135922
Fresno CA	35.0458893	1.007407407	0.067901235
Gary IN	29.4263434	0.484126984	0.056878307
Grand Rapids-Muskegon-Holland MI	32.5374228	0.040336135	0.006302521
Greensboro-Winston-Salem-High Point NC	32.3153716	0.345407503	0.069728331
Greenville-Spartanburg-Anderson SC	31.7914283	0.271875	0.106875
