Date	Percentage Approve
2/2/2009	62
2/18/2009	63
3/12/2009	62
3/20/2009	64
4/1/2009	66
4/22/2009	68
5/6/2009	63
6/12/2009	63
7/9/2009	57
7/24/2009	58
8/27/2009	56
9/19/2009	56
10/5/2009	56
11/13/2009	53
12/4/2009	50
1/6/2010	46
1/14/2010	50
2/5/2010	46
3/18/2010	49
3/29/2010	44
4/5/2010	50
4/28/2010	51
5/20/2010	47
6/16/2010	47
7/9/2010	44
8/20/2010	48
9/10/2010	45
10/1/2010	44
10/21/2010	45
11/7/2010	45
11/29/2010	48
1/15/2011	49
2/11/2011	48
3/18/2011	49
4/15/2011	46
5/2/2011	57
6/3/2011	48
6/24/2011	47
8/2/2011	48
9/10/2011	43
9/28/2011	44
10/19/2011	46
11/6/2011	43
12/5/2011	44
12/14/2011	47
1/4/2012	45
1/12/2012	47
2/8/2012	50
