HALT	Day
13	1
9	1
9	1
8	1
4	1
15	1
5	1
3	1
2	1
9	1
9	1
5	1
3	1
10	1
9	1
14	1
3	1
1	1
9	1
8	1
3	2
8	2
9	2
6	2
9	2
8	2
3	2
9	2
13	2
9	2
5	2
10	2
2	2
13	2
1	2
4	2
9	2
13	2
2	2
9	2
8	3
13	3
9	3
8	3
1	3
3	3
2	3
12	3
6	3
7	3
4	3
8	3
9	3
3	3
13	3
3	3
9	3
9	3
3	3
9	3
3	4
1	4
4	4
1	4
5	4
9	4
9	4
3	4
9	4
12	4
9	4
6	4
12	4
3	4
1	4
3	4
8	4
12	4
9	4
3	4
4	5
8	5
9	5
4	5
9	5
3	5
1	5
5	5
6	5
1	5
9	5
3	5
4	5
2	5
3	5
15	5
9	5
2	5
12	5
4	5
6	6
16	6
4	6
8	6
9	6
3	6
7	6
8	6
14	6
8	6
10	6
12	6
16	6
3	6
6	6
3	6
9	6
9	6
4	6
3	6
3	7
9	7
1	7
1	7
8	7
9	7
1	7
7	7
7	7
5	7
3	7
1	7
14	7
5	7
7	7
3	7
8	7
9	7
2	7
3	7
12	8
9	8
9	8
9	8
9	8
1	8
10	8
16	8
13	8
4	8
6	8
8	8
14	8
4	8
3	8
14	8
15	8
13	8
6	8
3	8
12	9
16	9
8	9
8	9
3	9
16	9
1	9
3	9
12	9
3	9
9	9
1	9
7	9
12	9
2	9
8	9
10	9
14	9
8	9
9	9
3	10
9	10
1	10
1	10
13	10
10	10
6	10
10	10
8	10
13	10
4	10
3	10
1	10
3	10
9	10
13	10
4	10
2	10
9	10
12	10
1	11
12	11
5	11
5	11
12	11
4	11
4	11
3	11
8	11
12	11
6	11
4	11
10	11
6	11
6	11
9	11
3	11
3	11
10	11
1	11
9	12
15	12
1	12
9	12
6	12
4	12
4	12
8	12
3	12
8	12
3	12
10	12
8	12
1	12
6	12
9	12
12	12
15	12
4	12
10	12
3	13
10	13
9	13
13	13
10	13
12	13
3	13
4	13
3	13
9	13
4	13
2	13
3	13
12	13
8	13
12	13
6	13
10	13
4	13
3	13
3	14
1	14
13	14
10	14
12	14
1	14
4	14
10	14
7	14
12	14
10	14
7	14
1	14
3	14
12	14
9	14
14	14
8	14
6	14
1	14
3	15
9	15
12	15
1	15
16	15
16	15
10	15
3	15
3	15
16	15
3	15
12	15
9	15
15	15
1	15
6	15
1	15
12	15
9	15
13	15
8	16
1	16
16	16
3	16
1	16
12	16
3	16
8	16
6	16
9	16
10	16
3	16
12	16
10	16
2	16
8	16
3	16
1	16
1	16
3	16
6	17
8	17
1	17
8	17
15	17
1	17
9	17
10	17
4	17
9	17
10	17
1	17
3	17
12	17
12	17
3	17
3	17
4	17
8	17
14	17
10	18
1	18
6	18
12	18
5	18
1	18
13	18
16	18
6	18
3	18
8	18
3	18
12	18
1	18
3	18
3	18
8	18
10	18
12	18
4	18
3	19
8	19
2	19
3	19
15	19
7	19
14	19
5	19
12	19
12	19
13	19
4	19
4	19
12	19
1	19
4	19
14	19
9	19
12	19
1	19
10	20
3	20
3	20
8	20
9	20
3	20
8	20
9	20
4	20
14	20
12	20
16	20
4	20
9	20
9	20
9	20
1	20
12	20
9	20
8	20
3	21
1	21
7	21
2	21
3	21
2	21
10	21
4	21
8	21
3	21
3	21
1	21
3	21
3	21
1	21
2	21
2	21
2	21
9	21
4	21
