Thickness	Day
250.167	1
250.478	1
248.867	1
250.43	1
249.538	1
251.294	1
250.717	1
249.158	1
249.634	1
248.369	1
249.371	1
250.418	1
250.95	2
250.363	2
250.168	2
248.148	2
249.352	2
249.943	2
249.859	2
248.927	2
250.85	2
249.523	2
249.062	2
248.493	2
250.819	3
249.348	3
251.182	3
250.4	3
246.891	3
250.154	3
250.203	3
249.994	3
250.057	3
248.903	3
251.231	3
250.566	3
250.153	4
249.932	4
249.404	4
250.509	4
250.729	4
249.18	4
252.312	4
248.181	4
250.587	4
249.656	4
248.643	4
251.6	4
250.608	5
248.946	5
250.547	5
249.345	5
249.297	5
248.325	5
250.86	5
246.527	5
250.824	5
251.328	5
248.817	5
252.393	5
249.849	6
250.795	6
247.925	6
250.094	6
251.135	6
248.62	6
249.847	6
250.642	6
250.139	6
252.632	6
251.049	6
249.326	6
250.589	7
251.257	7
248.761	7
248.422	7
248.046	7
249.977	7
249.035	7
249.84	7
250.078	7
250.81	7
248.067	7
251.352	7
249.067	8
249.17	8
249.545	8
252.343	8
248.358	8
250.319	8
250.587	8
249.443	8
249.235	8
248.146	8
250.798	8
249.611	8
250.624	9
250.989	9
252.603	9
251.752	9
249.312	9
251.347	9
251.343	9
249.72	9
248.448	9
251.559	9
246.885	9
248.115	9
251.587	10
250.808	10
249.662	10
251.839	10
250.98	10
249.059	10
247.904	10
250.842	10
252.748	10
249.968	10
249.573	10
249.513	10
250.383	11
249.076	11
249.941	11
248.71	11
248.833	11
250.106	11
249.362	11
251.85	11
249.835	11
250.174	11
251.362	11
251.736	11
248.835	12
249.409	12
250.468	12
251.894	12
251.009	12
247.185	12
251.191	12
251.067	12
248.615	12
248.446	12
250.891	12
249.78	12
251.862	13
248.304	13
250.264	13
253.813	13
249.673	13
250.578	13
250.186	13
249.629	13
249.977	13
247.138	13
252.73	13
250.99	13
248.924	14
248.223	14
252.659	14
248.557	14
250.8	14
248.092	14
251.309	14
251.72	14
250.68	14
251.236	14
252.78	14
252.848	14
249.265	15
251.162	15
252.424	15
249.095	15
251.877	15
250.622	15
249.421	15
248.973	15
249.741	15
248.576	15
250.355	15
249.113	15
251.539	16
247.58	16
252.528	16
245.773	16
249.602	16
249.355	16
252.608	16
252.646	16
251.726	16
250.782	16
249.701	16
249.861	16
249.714	17
248.909	17
245.622	17
251.611	17
251.607	17
249.628	17
251.305	17
250.089	17
249.744	17
250.409	17
252.833	17
253.036	17
249.489	18
253.501	18
249.974	18
251.978	18
251.245	18
249.912	18
250.147	18
248.755	18
252.458	18
250.134	18
253.191	18
250.485	18
249.293	19
250.349	19
248.665	19
249.56	19
252.328	19
248.755	19
250.812	19
250.655	19
246.026	19
249.767	19
248.041	19
248.699	19
249.727	20
252.206	20
248.392	20
248.347	20
247.224	20
247.254	20
250.145	20
248.757	20
248.552	20
251.032	20
246.604	20
250.898	20
250.367	21
249.603	21
248.883	21
247.768	21
251.269	21
250.494	21
250.669	21
250.775	21
243.942	21
249.724	21
247.49	21
250.737	21
246.924	22
250.646	22
250.357	22
250.377	22
249.139	22
252.02	22
246.643	22
250.563	22
249.697	22
249.075	22
249.615	22
249.461	22
246.189	23
251.24	23
251.152	23
252.823	23
250.034	23
254.252	23
249.734	23
249.948	23
255.972	23
251.955	23
252.278	23
251.32	23
248.682	24
249.924	24
247.021	24
251.091	24
248.681	24
248.118	24
250.299	24
252.499	24
249.395	24
250.908	24
247.145	24
246.411	24
251.181	25
256.764	25
250.047	25
255.824	25
246.745	25
249.903	25
246.615	25
253.589	25
248.386	25
251.16	25
250.059	25
246.814	25
251.559	26
247.298	26
245.451	26
250.979	26
246.691	26
251.016	26
250.351	26
251.342	26
254.002	26
248.739	26
248.599	26
252.415	26
251.635	27
250.673	27
247.67	27
250.909	27
250.318	27
251.237	27
253.974	27
251.064	27
248.249	27
246.892	27
251.494	27
250.171	27
250.137	28
251.076	28
249.046	28
253.248	28
251.494	28
250.882	28
248.848	28
253.079	28
250.961	28
249.636	28
249.357	28
248.24	28
249.739	29
249.821	29
248.907	29
251.404	29
251.02	29
248.322	29
248.014	29
248.62	29
250.819	29
245.857	29
244.994	29
250.103	29
253.74	30
253.33	30
250.553	30
250.933	30
251.448	30
251.51	30
249.39	30
251.97	30
252.312	30
250.938	30
250.701	30
249.242	30
250.927	31
256.145	31
249.949	31
243.568	31
252.487	31
247.988	31
250.676	31
249.85	31
247.393	31
248.68	31
250.357	31
246.385	31
249.337	32
257.04	32
246.634	32
247.496	32
250.95	32
249.022	32
250.981	32
247.717	32
253.661	32
250.607	32
255	32
247.571	32
252.192	33
251.803	33
245.506	33
251.852	33
253.663	33
248.62	33
253.491	33
252.163	33
251.56	33
245.202	33
249.937	33
248.512	33
252.613	34
251.731	34
246.89	34
248.709	34
245.663	34
251.234	34
247.758	34
254.483	34
248.791	34
249.381	34
251.892	34
252.141	34
252.514	35
250.344	35
249.518	35
248.565	35
250.569	35
247.017	35
246.77	35
247.91	35
250.401	35
250.951	35
247.601	35
246.469	35
249.526	36
250.61	36
252.131	36
249.886	36
250.43	36
251.641	36
251.229	36
252.617	36
252.569	36
248.604	36
253.458	36
251.674	36
250.149	37
246.33	37
248.131	37
247.55	37
242.871	37
249.628	37
252.435	37
251.601	37
250.34	37
250.191	37
254.767	37
250.174	37
252.647	38
254.172	38
249.099	38
250.169	38
254.821	38
250.431	38
249.72	38
249.46	38
250.726	38
252.48	38
251.402	38
247.473	38
252.489	39
251.203	39
243.702	39
249.981	39
249.183	39
254.013	39
249.44	39
251.412	39
247.228	39
250.702	39
251.996	39
246.147	39
247.713	40
251.805	40
245.401	40
249.372	40
250.61	40
249.4	40
250.291	40
252.392	40
245.528	40
247.308	40
243.552	40
247.371	40
