Day	Weight
1	26.99
1	26.35
1	26.57
1	25.97
1	25.77
1	25.8
1	26.51
1	26.58
1	26.18
1	25.71
1	26.81
1	26.47
1	26.63
1	26.64
1	26.33
2	26.33
2	26.55
2	25.64
2	26.23
2	25.66
2	26.56
2	25.95
2	27.1
2	26.09
2	26.8
2	26.82
2	25.95
2	26.46
2	27.12
2	26.58
3	26.22
3	26.64
3	26.15
3	27.48
3	26.42
3	26.99
3	26.05
3	26.61
3	25.94
3	25.46
3	26.89
3	26.3
3	26.42
3	26.37
3	25.91
4	26.23
4	26.82
4	26.1
4	26.48
4	26.41
4	26.88
4	26.58
4	26.5
4	26.29
4	26.26
4	26.49
4	26.64
4	26.99
4	26.81
4	26.24
5	26.07
5	27.39
5	26.17
5	27.21
5	26.01
5	26.69
5	26.76
5	25.15
5	26.72
5	25.71
5	25.81
5	27.21
5	26.8
5	26.72
5	26.44
6	25.73
6	27.52
6	26.37
6	26.94
6	27.21
6	27.08
6	26.28
6	26.33
6	28.03
6	26.24
6	26.23
6	26.63
6	27.35
6	27.29
6	26.38
7	26.34
7	27.1
7	25.68
7	27.86
7	25.54
7	26.27
7	25.95
7	26.38
7	25.58
7	25.83
7	27.69
7	26.97
7	26.75
7	27.79
7	26.01
8	27.33
8	27.49
8	26.68
8	26.22
8	27.44
8	27.33
8	26.53
8	26.04
8	26.61
8	27.75
8	26.69
8	26.93
8	26.59
8	25.98
8	25.72
9	27.05
9	24.9
9	26.4
9	26.26
9	25.28
9	26.9
9	26.48
9	26.76
9	29.14
9	26.47
9	25.38
9	26.24
9	25.9
9	25.29
9	25
10	25.43
10	25.93
10	27.13
10	26.09
10	27.83
10	26.38
10	26.65
10	25.68
10	27.87
10	26.25
10	26.47
10	26.81
10	24.16
10	26.23
10	28.92
11	24.93
11	25.09
11	26.5
11	28.29
11	25.92
11	25.69
11	25.07
11	25.69
11	27.58
11	25.22
11	27.74
11	26.87
11	27.61
11	27.39
11	25.62
12	26.85
12	26.04
12	23.46
12	27.35
12	26.64
12	24.55
12	27.08
12	27.95
12	26.72
12	23.18
12	25.49
12	25.86
12	28.18
12	25.57
12	26.64
13	27.83
13	23.99
13	27.45
13	27.86
13	24.24
13	27.48
13	27.48
13	26.94
13	27.21
13	26.26
13	27.11
13	24.89
13	26.41
13	25.68
13	28.23
14	28.47
14	25.56
14	26.85
14	26.15
14	28.33
14	26.42
14	26.38
14	29.1
14	25.19
14	27.81
14	28.13
14	31.02
14	26.92
14	28.94
14	27.57
15	26.58
15	28.31
15	27.42
15	26.86
15	23.01
15	29.2
15	26.82
15	25.29
15	23.69
15	27.83
15	27.63
15	28.87
15	26.09
15	28.43
15	26.11
