Period	Hits
1	9
1	15
1	18
1	15
1	16
1	17
1	12
1	16
1	21
1	10
1	13
1	19
1	18
1	22
1	16
2	13
2	13
2	15
2	15
2	11
2	15
2	18
2	18
2	19
2	17
2	16
2	12
2	9
2	16
2	14
3	15
3	17
3	20
3	10
3	14
3	15
3	14
3	15
3	19
3	20
3	18
3	17
3	21
3	10
3	22
4	14
4	17
4	19
4	14
4	24
4	17
4	19
4	14
4	20
4	19
4	12
4	26
4	29
4	28
4	20
5	16
5	16
5	19
5	18
5	23
5	28
5	16
5	21
5	16
5	20
5	25
5	15
5	26
5	28
5	17
6	23
6	15
6	23
6	28
6	17
6	18
6	17
6	21
6	21
6	20
6	14
6	15
6	22
6	24
6	22
7	31
7	22
7	19
7	19
7	24
7	17
7	29
7	20
7	15
7	22
7	18
7	26
7	22
7	22
7	22
8	22
8	22
8	22
8	15
8	22
8	33
8	24
8	28
8	31
8	18
8	26
8	29
8	23
8	20
8	30
9	21
9	28
9	28
9	29
9	28
9	26
9	23
9	24
9	30
9	23
9	21
9	32
9	24
9	32
9	29
10	22
10	37
10	24
10	29
10	21
10	24
10	11
10	34
10	19
10	29
10	26
10	34
10	30
10	19
10	25
11	29
11	24
11	20
11	24
11	26
11	35
11	20
11	22
11	27
11	22
11	28
11	36
11	27
11	37
11	28
12	30
12	18
12	34
12	38
12	23
12	23
12	28
12	26
12	35
12	22
12	30
12	39
12	38
12	30
12	23
