Before	After	After-Before
92	129	37
304	249	-55
48	214	166
246	378	132
55	35	-20
353	412	59
252	216	-36
109	237	128
226	207	-19
131	149	18
228	215	-13
96	135	39
51	159	108
89	159	70
396	405	9
164	214	50
134	124	-10
295	270	-25
163	102	-61
158	84	-74
119	99	-20
184	169	-15
85	204	119
303	254	-49
38	20	-18
282	317	35
136	125	-11
52	131	79
122	84	-38
150	130	-20
217	487	270
115	111	-4
722	727	5
54	16	-38
148	151	3
32	40	8
180	158	-22
116	51	-65
104	270	166
210	150	-60
169	165	-4
74	202	128
478	510	32
182	223	41
135	116	-19
385	380	-5
72	78	6
261	261	0
251	262	11
146	312	166
200	232	32
35	23	-12
32	102	70
115	200	85
538	486	-52
64	173	109
465	576	111
150	140	-10
66	144	78
117	69	-48
32	19	-13
86	148	62
730	749	19
108	131	23
353	482	129
86	158	72
146	248	102
151	155	4
225	281	56
93	107	14
190	208	18
12	0	-16
43	31	-12
421	462	41
173	215	42
136	288	152
152	196	44
304	352	48
164	268	104
20	72	52
137	146	9
325	388	63
80	36	-44
160	333	173
105	64	-41
117	109	-8
145	91	-54
127	382	255
117	110	-7
121	126	5
120	108	-12
206	242	36
34	20	-14
42	20	-22
123	248	125
165	172	7
101	84	-17
162	149	-13
42	79	37
241	350	109
