Accept Offer?	Dummy Variable	Balance	Profit
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	721.83	14.183
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	1706.66	112.666
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
Yes	1	1561.11	98.111
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	3086.29	250.629
No	0		-8
Yes	1	89.27	-49.073
No	0		-8
Yes	1	7455.69	687.569
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	62.97	-51.703
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	2760.49	218.049
Yes	1	3473.38	289.338
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
Yes	1	739.31	15.931
No	0		-8
No	0		-8
No	0		-8
Yes	1	267.33	-31.267
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	5944.45	536.445
Yes	1	7094.77	651.477
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	485.61	-9.439
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
Yes	1	5124.64	454.464
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	2783.06	220.306
No	0		-8
No	0		-8
No	0		-8
Yes	1	9500.6	892.06
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
Yes	1	5521.56	494.156
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	4273.91	369.391
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	7752.7	717.27
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	401.63	-17.837
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	4272.35	369.235
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
Yes	1	69.85	-51.015
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	9324.62	874.462
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	1.13	-57.887
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	5165.48	458.548
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	800.74	22.074
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	11484.3	1090.43
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	9746.6	916.66
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	233.85	-34.615
No	0		-8
Yes	1	107.27	-47.273
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	5001.95	442.195
No	0		-8
Yes	1	392.55	-18.745
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	2745.24	216.524
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	641.42	6.142
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
Yes	1	536.92	-4.308
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	47.1	-53.29
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	694.54	11.454
Yes	1	4479.99	389.999
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	1316.28	73.628
No	0		-8
Yes	1	2099.5	151.95
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	1117.21	53.721
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	5111.52	453.152
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	2833.46	225.346
No	0		-8
No	0		-8
Yes	1	2280.94	170.094
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
Yes	1	1958.92	137.892
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
Yes	1	2999.15	241.915
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	822.26	24.226
No	0		-8
No	0		-8
No	0		-8
Yes	1	1177.94	59.794
Yes	1	304.24	-27.576
Yes	1	49.62	-53.038
No	0		-8
Yes	1	1049.05	46.905
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	812.71	23.271
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	4475.8	389.58
No	0		-8
Yes	1	9096.9	851.69
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	656.99	7.699
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	280.24	-29.976
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	1634.61	105.461
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	4502.63	392.263
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	484.77	-9.523
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	589.74	0.974
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	382.06	-19.794
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	1515.04	93.504
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	1835.44	125.544
No	0		-8
Yes	1	65.3	-51.47
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	3.18	-57.682
No	0		-8
No	0		-8
Yes	1	3987.12	340.712
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	2549.03	196.903
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	674	9.4
No	0		-8
No	0		-8
No	0		-8
Yes	1	160.57	-41.943
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	567.14	-1.286
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
