Lost to Theft (decoy)	Lost to Theft (control)
$49,352.00 	$84,544.00 
$70,795.00 	$66,846.00 
$43,037.00 	$35,343.00 
$34,729.00 	$58,088.00 
$33,100.00 	$31,148.00 
$29,034.00 	$20,210.00 
$87,110.00 	$97,609.00 
$45,786.00 	$20,307.00 
$27,998.00 	$55,278.00 
$33,291.00 	$42,495.00 
$87,855.00 	$84,930.00 
$41,770.00 	$22,662.00 
$55,981.00 	$103,319.00 
$55,075.00 	$77,386.00 
$46,126.00 	$75,756.00 
$67,575.00 	$87,613.00 
$51,645.00 	$89,172.00 
$73,529.00 	$92,589.00 
$34,569.00 	$37,871.00 
$40,600.00 	$60,041.00 
