Price	Type	Year
$31,995.00 	i	2005
$25,995.00 	i	2002
$21,995.00 	i	2001
$25,995.00 	i	2002
$24,995.00 	i	2002
$26,995.00 	xi	2002
$28,995.00 	xi	2002
$28,995.00 	i	2002
$28,995.00 	i	2002
$35,495.00 	i	2004
$41,575.00 	i	2002
$30,995.00 	i	2003
$31,995.00 	i	2002
$28,995.00 	xi	2002
$27,995.00 	xi	2002
$31,900.00 	i	2004
$32,900.00 	i	2005
$28,900.00 	i	2003
$29,900.00 	i	2002
$29,900.00 	i	2002
$28,900.00 	i	2002
$25,900.00 	i	2002
$28,900.00 	xi	2003
$28,900.00 	xi	2002
$26,900.00 	xi	2003
$28,900.00 	xi	2002
$28,900.00 	xi	2002
$28,990.00 	xi	2002
$31,900.00 	xi	2004
$30,900.00 	xi	2003
$31,900.00 	i	2002
$32,900.00 	xi	2002
$31,900.00 	xi	2002
$27,995.00 	i	2003
$29,995.00 	i	2002
$27,995.00 	xi	2002
$29,995.00 	xi	2002
$34,995.00 	xi	2004
$29,995.00 	i	2002
$33,995.00 	i	2004
$27,900.00 	i	2002
$19,595.00 	i	2001
$23,995.00 	i	2001
$28,995.00 	i	2003
$24,995.00 	i	2003
$28,995.00 	i	2002
$25,900.00 	i	2002
$28,995.00 	xi	2003
$27,995.00 	xi	2002
$32,900.00 	xi	2003
$27,900.00 	i	2003
$25,900.00 	i	2002
$24,900.00 	i	2002
$27,900.00 	i	2003
$26,400.00 	i	2002
$25,900.00 	i	2002
$25,200.00 	i	2002
$26,100.00 	i	2002
$24,900.00 	i	2002
$28,900.00 	xi	2003
$28,900.00 	xi	2003
$28,900.00 	xi	2003
$27,400.00 	xi	2002
$29,900.00 	i	2002
$33,600.00 	xi	2002
$29,400.00 	xi	2002
$32,900.00 	xi	2002
$33,600.00 	xi	2004
$35,900.00 	xi	2004
$31,495.00 	i	2006
$26,995.00 	i	2003
$28,995.00 	i	2003
$24,495.00 	xi	2002
$26,495.00 	xi	2003
$31,795.00 	xi	2003
$41,495.00 	i	2006
$34,995.00 	i	2004
$39,495.00 	i	2006
$31,995.00 	xi	2003
$28,900.00 	i	2003
$20,900.00 	i	2001
$24,900.00 	i	2002
$26,900.00 	i	2003
$24,900.00 	i	2002
$26,900.00 	i	2002
$27,900.00 	i	2003
$27,900.00 	i	2003
$26,900.00 	xi	2002
$26,900.00 	xi	2003
$32,900.00 	i	2004
$30,900.00 	xi	2002
$28,989.00 	i	2003
$29,989.00 	i	2003
$28,989.00 	i	2003
$28,989.00 	i	2003
$31,989.00 	i	2004
$30,898.00 	xi	2002
$31,989.00 	xi	2003
$29,989.00 	xi	2003
$29,989.00 	xi	2002
$33,989.00 	xi	2004
$39,989.00 	i	2006
$24,989.00 	i	2001
$24,989.00 	i	2003
$35,989.00 	i	2004
$35,989.00 	xi	2005
$31,989.00 	xi	2003
$35,989.00 	xi	2003
$33,989.00 	xi	2002
$31,989.00 	xi	2002
$26,985.00 	i	2002
$22,985.00 	i	2001
$25,875.00 	i	2002
$24,875.00 	i	2002
$25,875.00 	i	2002
$26,985.00 	i	2002
$28,985.00 	i	2004
$31,985.00 	i	2004
$29,985.00 	i	2004
$33,985.00 	i	2004
$29,985.00 	xi	2002
$29,985.00 	xi	2002
$28,985.00 	xi	2003
$27,895.00 	xi	2002
$26,975.00 	xi	2002
$25,985.00 	xi	2002
$29,875.00 	xi	2003
$32,985.00 	i	2003
$29,995.00 	i	2002
$27,995.00 	i	2002
$32,985.00 	i	2002
$29,995.00 	i	2002
$22,985.00 	i	2001
$25,490.00 	i	2002
$24,990.00 	i	2003
$24,490.00 	i	2002
$28,990.00 	i	2004
$28,490.00 	i	2002
$28,890.00 	i	2002
$28,990.00 	xi	2002
$25,995.00 	i	2003
$22,995.00 	i	2001
$27,500.00 	i	2003
$32,995.00 	xi	2005
$29,995.00 	xi	2003
$28,500.00 	i	2002
$31,995.00 	i	2003
$33,995.00 	xi	2003
$24,990.00 	i	2001
$22,425.00 	i	2002
$27,990.00 	xi	2002
$27,950.00 	xi	2002
$29,925.00 	xi	2004
$23,990.00 	i	2001
$31,990.00 	xi	2002
