Balance M1	Balance M2	Balance M3	Balance M4
2709.87	115.76	128.38	140.98
0	0	4497.13	4544.81
0	0	197.52	189.33
14.95	29.9	14.95	222.75
123.76	294.7	215.05	215.66
65.55	123.63	171.3	218.23
0	0	1724.21	1572.24
392.55	328.2	0	346.63
306.27	91.32	159.16	562.79
0	40	20	300
0	0	96.65	227.59
0	112.24	93.35	3524.64
261.8	189.56	68.7	695.24
0	0	2159.43	2120.89
0	580	4558.59	4664.47
912.72	1074.51	99.43	296.77
498.17	268.78	148.65	315
86.31	7.73	44.22	928.14
0	0	64.63	163.17
0	0	54.08	755.13
95.15	59.95	192.67	257.08
0	0	0	322.66
497.14	2573.13	1677.93	0
0	0	0	1182.13
71.7	288.52	192.7	214.84
1087.96	463.67	209.03	197.77
54.22	46.58	24.48	171.63
162.2	208.13	243.43	268.17
0	4992.56	4919.54	4885.48
6360.92	504.92	35	0
517.62	27.07	227.63	1279.74
29.62	3591.17	3711.47	3649.7
239.24	173.67	150.39	198.67
200.66	127.94	128.02	239.24
461.65	677.25	24.47	334.79
622.23	1213.55	119.54	220.13
0	0	0	458.9
247.25	100.22	230.52	633.69
20	40	5958.87	5448.22
2017.34	2269.18	963.55	410.69
150.87	463.75	49.4	874.44
731.69	641.27	2810.81	2772.81
63.87	139.74	66.87	400.28
190.27	3488.25	3355.16	3376.28
0	2605.31	2980.24	3466.24
304.19	140.88	63.06	656.85
164.54	335.67	0	815.03
679.05	1529.88	2357.13	1226.01
0	0	0	421.3
3230.67	1926.07	459.76	473.99
1548.68	296.09	152.39	282.27
131.83	7245.93	4475.53	3681.51
0	0	98.5	164.65
0	0	132.19	154.74
342.41	166.54	60.92	313.77
66.14	352.23	5.67	456.94
99.6	97.89	95.58	191.43
230.91	56.21	156.19	252.89
282.94	39.44	33.8	230.91
634.71	259.57	210.58	255.62
237.6	0	38.75	368.21
0	0	35.56	212.69
6227.77	5126.55	785.34	1872.77
771.76	0	1.87	545.52
29.43	0	127.08	771.76
0	9.95	50.95	828.77
567.14	707.44	2656.43	2601.84
2166.43	6.81	6.81	0
293.16	255.85	253.54	251.23
0	0	2769.63	2349.7
1117.72	1181.16	239.25	256.04
648.97	2290.45	153.2	601.69
32.04	19.34	40.27	784.98
