Date	Price Apple	Apple Return	Market Return	Treasury Bill	Inflation (CPI)	Apple Excess Return	Market Excess Return
19900131	34	-0.035461	-0.070115	0.005852	0.010309	-0.041313	-0.075967
19900228	34	0.003235	0.014901	0.005818	0.00471	-0.002583	0.009083
19900330	40.25	0.183824	0.02414	0.00638	0.005469	0.177444	0.01776
19900430	39.375	-0.021739	-0.028286	0.006829	0.001554	-0.028568	-0.035115
19900531	41.25	0.050413	0.088936	0.006404	0.002327	0.044009	0.082532
19900629	44.75	0.084848	-0.004196	0.005898	0.005418	0.07895	-0.010094
19900731	42	-0.061453	-0.009405	0.006704	0.003849	-0.068157	-0.016109
19900831	37	-0.116429	-0.091896	0.006154	0.009202	-0.122583	-0.09805
19900928	29	-0.216216	-0.053843	0.005984	0.008359	-0.2222	-0.059827
19901031	30.75	0.060345	-0.012504	0.006559	0.006029	0.053786	-0.019063
19901130	36.75	0.199024	0.065744	0.005651	0.002247	0.193373	0.060093
19901231	43	0.170068	0.029513	0.005989	0	0.164079	0.023524
19910131	55.5	0.290698	0.049078	0.004637	0.005979	0.286061	0.044441
19910228	57.25	0.033694	0.075847	0.004767	0.001486	0.028927	0.07108
19910328	68	0.187773	0.028923	0.004391	0.001484	0.183382	0.024532
19910430	55	-0.191176	0.003322	0.005335	0.001481	-0.196511	-0.002013
19910531	47	-0.143273	0.040732	0.004461	0.002959	-0.147734	0.036271
19910628	41.5	-0.117021	-0.044029	0.004171	0.00295	-0.121192	-0.0482
19910731	46.25	0.114458	0.046795	0.00484	0.001471	0.109618	0.041955
19910830	53	0.148541	0.026819	0.00461	0.002937	0.143931	0.022209
19910930	49.5	-0.066038	-0.010975	0.004558	0.004392	-0.070596	-0.015533
19911031	51.5	0.040404	0.017789	0.004246	0.001458	0.036158	0.013543
19911129	50.75	-0.012233	-0.037275	0.003915	0.002911	-0.016148	-0.04119
19911231	56.375	0.110837	0.106778	0.003792	0.000726	0.107045	0.102986
19920131	64.75	0.148559	-0.001182	0.003059	0.00145	0.1455	-0.004241
19920228	67.5	0.044324	0.013354	0.002828	0.003621	0.041496	0.010526
19920331	58.25	-0.137037	-0.0237	0.003376	0.005051	-0.140413	-0.027076
19920430	60.125	0.032189	0.013419	0.003303	0.001436	0.028886	0.010116
19920529	59.75	-0.006237	0.006439	0.002758	0.001434	-0.008995	0.003681
