Price	Weight (carats)	Residuals	Residuals (a)	Residuals (b)	Residuals (c)
$923.00 	0.45	($305.96)	-26.12872839	77.81633525	-16.82657843
$1,034.00 	0.45	($194.96)	57.06354886	-177.2111329	-179.9639193
$1,071.00 	0.45	($157.96)	-32.88151479	152.8712716	-157.9639193
$1,313.00 	0.46	$57.06 	-134.9639193	102.8438034	-147.0463239
$1,028.00 	0.38	($12.16)	-24.07379203	-137.3484738	39.84380343
$1,373.00 	0.47	$90.09 	152.9536761	-24.07379203	14.17342157
$714.00 	0.31	($137.35)	-69.82657843	-26.12872839	-8.211132924
$971.00 	0.41	($150.07)	44.92620797	-74.93645114	-163.2111329
$818.00 	0.37	($195.18)	-61.34847381	179.0086125	90.09101704
$982.00 	0.44	($219.99)	40.65152619	90.09101704	152.9536761
$1,021.00 	0.42	($127.05)	-74.93645114	44.92620797	176.7888671
$1,144.00 	0.45	($84.96)	95.06354886	219.8438034	-137.3484738
$1,094.00 	0.45	($134.96)	-164.0188557	-37.26606928	188.6789944
$1,011.00 	0.43	($164.02)	-84.96391932	50.14595339	-73.04632386
$1,351.00 	0.46	$95.06 	-49.07379203	192.6789944	-84.96391932
$1,450.00 	0.47	$167.09 	-87.82657843	167.091017	192.6789944
$1,022.00 	0.46	($233.94)	-8.211132924	229.8163353	-72.21113292
$1,181.00 	0.46	($74.94)	172.7888671	-85.10126021	-24.26606928
$862.00 	0.41	($259.07)	179.0086125	-87.82657843	-74.93645114
$1,009.00 	0.4	($85.10)	167.091017	-164.0188557	-63.07379203
$1,072.00 	0.41	($49.07)	-4.293537458	14.17342157	-165.1836647
$848.00 	0.37	($165.18)	184.7339307	176.7888671	179.0086125
$1,435.00 	0.48	$125.12 	-137.3484738	-155.2111329	23.95367615
$894.00 	0.36	($92.21)	-23.10126021	-170.8815148	-49.07379203
$1,139.00 	0.48	($170.88)	50.14595339	201.0360807	102.8438034
$1,071.00 	0.4	($23.10)	-24.26606928	-165.1287284	219.8438034
$823.00 	0.36	($163.21)	-128.2111329	40.65152619	-127.0463239
$1,126.00 	0.43	($49.02)	-157.9639193	354.926208	167.091017
$1,126.00 	0.43	($49.02)	219.8438034	190.1459534	-4.293537458
$908.00 	0.34	($24.27)	-165.1836647	-73.04632386	354.926208
$1,097.00 	0.41	($24.07)	1.173421569	-92.21113292	-92.21113292
$892.00 	0.31	$40.65 	133.0635489	-233.9364511	40.65152619
$1,301.00 	0.42	$152.95 	0.87127161	-195.1836647	-49.01885568
$1,220.00 	0.39	$152.87 	-43.18366475	-219.9913875	-219.9913875
$902.00 	0.39	($165.13)	-47.96391932	39.84380343	63.03608068
$913.00 	0.37	($100.18)	-72.21113292	-72.21113292	125.1184852
$1,277.00 	0.48	($32.88)	90.09101704	95.06354886	-150.073792
$790.00 	0.31	($61.35)	318.8438034	125.1184852	-170.8815148
$831.00 	0.36	($155.21)	-122.2111329	48.87127161	-50.82657843
$1,049.00 	0.45	($179.96)	22.73393072	39.84380343	-26.12872839
$1,040.00 	0.4	($54.10)	-49.01885568	-50.82657843	133.0635489
$864.00 	0.36	($122.21)	63.03608068	-23.10126021	0.87127161
$1,058.00 	0.41	($63.07)	-49.01885568	-127.0463239	167.6515262
$1,068.00 	0.39	$0.87 	229.8163353	167.6515262	-177.2111329
$1,041.00 	0.39	($26.13)	-54.10126021	-4.293537458	-72.21113292
$1,504.00 	0.48	$194.12 	240.1734216	-100.1836647	-69.82657843
$1,075.00 	0.42	($73.05)	39.84380343	23.95367615	22.73393072
$1,181.00 	0.45	($47.96)	77.81633525	-8.211132924	57.06354886
$1,389.00 	0.46	$133.06 	-155.2111329	-11.85404661	-233.9364511
$970.00 	0.37	($43.18)	39.84380343	-259.073792	240.1734216
$1,143.00 	0.38	$102.84 	-63.07379203	-72.21113292	-122.2111329
$1,292.00 	0.45	$63.04 	48.87127161	-179.9639193	-134.9639193
$1,172.00 	0.42	$23.95 	-195.1836647	-49.01885568	95.06354886
$914.00 	0.36	($72.21)	-73.04632386	-63.07379203	229.8163353
$1,609.00 	0.47	$326.09 	23.95367615	-157.9639193	-194.9639193
$1,408.00 	0.41	$286.93 	188.6789944	-54.10126021	-43.18366475
$1,067.00 	0.32	$188.68 	201.0360807	318.8438034	-54.10126021
$1,159.00 	0.36	$172.79 	125.1184852	-49.07379203	-47.96391932
$1,001.00 	0.42	($147.05)	-16.82657843	188.6789944	172.7888671
$809.00 	0.36	($177.21)	-177.2111329	-150.073792	-85.10126021
$815.00 	0.33	($90.29)	-100.1836647	-49.01885568	48.87127161
$895.00 	0.34	($37.27)	-12.15619657	77.81633525	-12.15619657
$858.00 	0.36	($128.21)	-305.9639193	0.87127161	50.14595339
$901.00 	0.33	($4.29)	-127.0463239	22.73393072	-195.1836647
$1,527.00 	0.49	$190.15 	-90.29353746	-194.9639193	-61.34847381
$914.00 	0.36	($72.21)	-92.21113292	133.0635489	1.173421569
$955.00 	0.34	$22.73 	-219.9913875	63.03608068	-37.26606928
$1,080.00 	0.38	$39.84 	152.8712716	-134.9639193	-165.1287284
$1,080.00 	0.38	$39.84 	-233.9364511	-24.26606928	-305.9639193
$1,260.00 	0.38	$219.84 	-85.10126021	-147.0463239	-23.10126021
$1,430.00 	0.45	$201.04 	-37.26606928	-305.9639193	-11.85404661
$1,116.00 	0.39	$48.87 	14.17342157	-128.2111329	152.8712716
$1,387.00 	0.49	$50.15 	-50.82657843	-61.34847381	77.81633525
$1,325.00 	0.49	($11.85)	-72.21113292	240.1734216	77.81633525
$978.00 	0.36	($8.21)	77.81633525	1.173421569	39.84380343
$1,091.00 	0.37	$77.82 	-179.9639193	-84.96391932	201.0360807
$1,091.00 	0.37	$77.82 	167.6515262	-69.82657843	-128.2111329
$1,166.00 	0.41	$44.93 	192.6789944	172.7888671	-100.1836647
$1,019.00 	0.31	$167.65 	354.926208	-122.2111329	-24.07379203
$1,381.00 	0.44	$179.01 	286.926208	57.06354886	44.92620797
$1,359.00 	0.38	$318.84 	-11.85404661	-32.88151479	-90.29353746
$1,243.00 	0.37	$229.82 	-259.073792	326.091017	-259.073792
$1,071.00 	0.32	$192.68 	190.1459534	184.7339307	318.8438034
$1,117.00 	0.34	$184.73 	-194.9639193	-43.18366475	190.1459534
$1,476.00 	0.41	$354.93 	-147.0463239	-163.2111329	-32.88151479
$1,163.00 	0.36	$176.79 	-150.073792	-16.82657843	184.7339307
$1,276.00 	0.5	($87.83)	326.091017	194.1184852	-155.2111329
$1,365.00 	0.5	$1.17 	-163.2111329	-165.1836647	-87.82657843
$1,347.00 	0.5	($16.83)	102.8438034	152.9536761	-164.0188557
$1,313.00 	0.5	($50.83)	-170.8815148	-90.29353746	194.1184852
$1,378.00 	0.5	$14.17 	176.7888671	286.926208	-49.01885568
$1,604.00 	0.5	$240.17 	-165.1287284	-47.96391932	286.926208
$1,294.00 	0.5	($69.83)	194.1184852	-12.15619657	326.091017
