Transfer Time (sec)	File Size (MB)	Hours past 8	Vendor	Vendor Dummy	Vendor Dummy * File Size
18.4	22	0	MS	1	22
22.4	22	0.0625	NP	0	0
11.7	22	0.125	MS	1	22
23.5	22	0.1875	NP	0	0
16.2	23	0.25	MS	1	23
12.1	23	0.3125	NP	0	0
15.8	26	0.375	MS	1	26
9.9	26	0.4375	NP	0	0
15.1	26	0.5	MS	1	26
16.6	26	0.5625	NP	0	0
12.9	27	0.625	MS	1	27
18	27	0.6875	NP	0	0
16.7	29	0.75	MS	1	29
17.7	29	0.8125	NP	0	0
19.5	29	0.875	MS	1	29
9.1	29	0.9375	NP	0	0
15.4	29	1	MS	1	29
15	29	1.0625	NP	0	0
11.3	30	1.125	MS	1	30
12.8	30	1.1875	NP	0	0
20.9	31	1.25	MS	1	31
19.9	31	1.3125	NP	0	0
15.8	31	1.375	MS	1	31
10.5	31	1.4375	NP	0	0
17.8	31	1.5	MS	1	31
26.4	31	1.5625	NP	0	0
16.6	39	1.625	MS	1	39
21.9	39	1.6875	NP	0	0
18.5	40	1.75	MS	1	40
25.9	40	1.8125	NP	0	0
24.5	50	1.875	MS	1	50
11.2	50	1.9375	NP	0	0
25.2	52	2	MS	1	52
15.4	52	2.0625	NP	0	0
23.1	54	2.125	MS	1	54
27.4	54	2.1875	NP	0	0
20.9	54	2.25	MS	1	54
38.3	54	2.3125	NP	0	0
23.8	56	2.375	MS	1	56
27.4	56	2.4375	NP	0	0
19.3	59	2.5	MS	1	59
35.2	59	2.5625	NP	0	0
20.4	59	2.625	MS	1	59
24.6	59	2.6875	NP	0	0
21.8	60	2.75	MS	1	60
20.6	60	2.8125	NP	0	0
17.4	60	2.875	MS	1	60
31.9	60	2.9375	NP	0	0
22.4	63	3	MS	1	63
25.9	63	3.0625	NP	0	0
25.9	64	3.125	MS	1	64
32.1	64	3.1875	NP	0	0
22.6	71	3.25	MS	1	71
37.4	71	3.3125	NP	0	0
25.3	73	3.375	MS	1	73
19.1	73	3.4375	NP	0	0
25.4	74	3.5	MS	1	74
41.1	74	3.5625	NP	0	0
28.9	75	3.625	MS	1	75
32.4	75	3.6875	NP	0	0
28.3	86	3.75	MS	1	86
43.8	86	3.8125	NP	0	0
25.4	89	3.875	MS	1	89
43.4	89	3.9375	NP	0	0
33.4	89	4	MS	1	89
49.9	89	4.0625	NP	0	0
28.6	89	4.125	MS	1	89
45.8	89	4.1875	NP	0	0
28.5	90	4.25	MS	1	90
32.7	90	4.3125	NP	0	0
35.6	91	4.375	MS	1	91
45.6	91	4.4375	NP	0	0
24.5	93	4.5	MS	1	93
41.2	93	4.5625	NP	0	0
33.3	95	4.625	MS	1	95
35.6	95	4.6875	NP	0	0
31.4	98	4.75	MS	1	98
43.1	98	4.8125	NP	0	0
35.5	99	4.875	MS	1	99
52.6	99	4.9375	NP	0	0
