Profit from Sales	Number Accounts	Early Commission	Early Selling	Log Profit	Log Accounts	Log Commission	Office	Office Dummy
9316.01	20	928.73	725827	9.139489704	2.995732274	6.833818061	Existing	0
19129.41	19	1018	103427	9.85898222	2.944438979	6.925595197	New	1
60119.47	231	5200.84	8258725	11.00408903	5.442417711	8.55657543	Existing	0
10954.31	15	397.33	15340	9.301488265	2.708050201	5.98476717	New	1
18563.97	11	298.17	28479	9.828977884	2.397895273	5.697663794	Existing	0
32943.85	17	175	127669	10.40255988	2.833213344	5.164785974	New	1
29308.98	27	3633.78	106557	10.28564923	3.295836866	8.198028708	New	1
19483.26	16	2525.99	100838	9.877310914	2.772588722	7.834388344	Existing	0
113627.65	60	2578.67	478771	11.64068215	4.094344562	7.855029041	New	1
110336.13	78	1225	1955507	11.61128671	4.356708827	7.110696123	New	1
3485.9	7	63.69	2428	8.156481539	1.945910149	4.154027564	New	1
15542.36	9	1183.4	37597	9.651324479	2.197224577	7.07614693	New	1
14542.68	21	288.33	20677	9.584843053	3.044522438	5.664105658	New	1
12054.76	14	2257	163192	9.397214882	2.63905733	7.721791777	New	1
12538.4	10	2367.1	2646693	9.436551214	2.302585093	7.769420856	Existing	0
14782.08	12	1.82	14308	9.601170915	2.48490665	0.598836501	Existing	0
21175.24	9	104	15243	9.960587854	2.197224577	4.644390899	New	1
29372.83	89	1396.32	621862	10.28782538	4.48863637	7.241595483	Existing	0
8232.76	7	200	13144	9.015876596	1.945910149	5.298317367	Existing	0
10120.77	28	724.02	62410	9.222345027	3.33220451	6.584819016	New	1
9672.38	12	405	51461	9.17702968	2.48490665	6.003887067	Existing	0
10521.55	13	488.5	26741	9.261180814	2.564949357	6.191339471	Existing	0
6149.37	7	17.5	71405	8.724104917	1.945910149	2.862200881	New	1
16874.92	13	1407.5	157430	9.733583775	2.564949357	7.24957036	New	1
15384.9	19	555	27893	9.641141788	2.944438979	6.318968114	New	1
62262.42	102	12064.97	1186360	11.03911331	4.624972813	9.398061492	New	1
22275.43	265	526.65	6548739	10.01123956	5.579729826	6.266536191	Existing	0
16761.63	16	250	71955	9.726847625	2.772588722	5.521460918	New	1
11289.15	8	1405.7	69321	9.331597366	2.079441542	7.248290678	New	1
32324.12	22	245	116962	10.38356898	3.091042453	5.501258211	New	1
15812.08	16	671.79	46958	9.668529484	2.772588722	6.509945792	New	1
19751.74	10	3232.54	425457	9.890996868	2.302585093	8.081023485	Existing	0
15982.33	22	2554.25	97736	9.679239016	3.091042453	7.845513917	New	1
59382.43	42	2527.72	557151	10.99175367	3.737669618	7.83507299	New	1
22468.04	79	705.7	1618132	10.01984913	4.369447852	6.559190218	Existing	0
28713.75	24	497	253535	10.26513138	3.17805383	6.208590026	Existing	0
64575.98	22	11215.39	2019010	11.07559779	3.091042453	9.325042221	New	1
47495.21	465	3255.66	11548394	10.76838414	6.142037406	8.088150299	Existing	0
48592.06	123	517.74	2688428	10.79121542	4.812184355	6.249473186	Existing	0
72825.9	46	2407.16	6137511	11.19582694	3.828641396	7.786202908	New	1
44477.72	95	3015.43	1336877	10.70274367	4.553876892	8.011497719	Existing	0
6252.96	5	4102.61	161202	8.740810231	1.609437912	8.319378636	New	1
1113.08	17	595	15843	7.014886227	2.833213344	6.388561406	New	1
5747.08	12	1501.04	114209	8.656447179	2.48490665	7.31391348	New	1
8518.93	8	533	70823	9.050046025	2.079441542	6.278521424	Existing	0
6605.32	10	297.38	30465	8.795630664	2.302585093	5.695010782	Existing	0
8887.47	67	1110.69	295060	9.092397699	4.204692619	7.012736723	Existing	0
7416.68	15	173.45	191180	8.911486797	2.708050201	5.155889373	New	1
4961.22	3	210	14668	8.509406957	1.098612289	5.347107531	New	1
8363.74	14	860.44	44519	9.031660974	2.63905733	6.757443886	New	1
9983.25	13	50	1010	9.208663968	2.564949357	3.912023005	New	1
13889.28	28	4565.56	393246	9.538872599	3.33220451	8.426296458	Existing	0
9799.45	166	129.33	2213105	9.190081541	5.111987788	4.862367277	Existing	0
16659.74	23	815	52224	9.720750309	3.135494216	6.703188113	Existing	0
14260.92	9	1.25	46	9.565278208	2.197224577	0.223143551	Existing	0
14660.48	99	1512.71	554503	9.592910717	4.59511985	7.321658023	Existing	0
61972.32	34	1985	227016	11.03444311	3.526360525	7.593374193	New	1
32810.16	300	2685.91	6264743	10.3984935	5.703782475	7.895774869	Existing	0
10539.01	6	150	260834	9.26283889	1.791759469	5.010635294	New	1
18454.67	9	255	18691	9.823072734	2.197224577	5.541263545	New	1
42002.73	285	1126.66	7965483	10.6454899	5.65248918	7.027012783	Existing	0
23715.78	69	305.31	840724	10.07389593	4.234106505	5.721327654	Existing	0
18577.19	20	933.01	321497	9.829689763	2.995732274	6.838415919	New	1
18699.78	1	0	0	9.836267038	0	0	New	1
13885.68	5	0	2278	9.538613372	1.609437912	0	New	1
7258.09	5	12.5	231	8.889871988	1.609437912	2.525728644	New	1
38955.43	22	145.13	44142	10.57017345	3.091042453	4.977629892	New	1
31315.78	35	3037.91	5210470.5	10.3518774	3.555348061	8.018925058	New	1
27539.01	12	6080.21	286691	10.22335882	2.48490665	8.712794514	New	1
22450.38	19	6230.49	5908253.5	10.01906282	2.944438979	8.73721026	New	1
22466.15	29	4034.69	491844	10.01976501	3.36729583	8.30268475	New	1
29199.51	11	2125	71998	10.28190721	2.397895273	7.661527081	New	1
17124.11	25	600	88797	9.748242691	3.218875825	6.396929655	New	1
34256.52	33	2719.41	482630	10.44163219	3.496507561	7.908170224	New	1
26424.79	16	50	497430	10.18205786	2.772588722	3.912023005	New	1
40710.8	28	1086.82	167658	10.61424869	3.33220451	6.99101128	New	1
29702.1	15	0	8950542	10.29897303	2.708050201	0	Existing	0
66672.52	46	10502.91	5755783.5	11.10754815	3.828641396	9.259407641	New	1
18091.06	18	1496.47	95191	9.803173173	2.890371758	7.31086428	Existing	0
37131.31	24	2819.12	340817.5	10.52221583	3.17805383	7.944180058	New	1
102919.87	1240	10140.2	37168711	11.541706	7.122866659	9.224263001	Existing	0
79929.16	48	6604.06	1854714	11.28889602	3.871201011	8.79543989	New	1
14913.94	192	1411.44	592686	9.610051625	5.257495372	7.252365739	Existing	0
13365.13	11	816.32	25582	9.500404355	2.397895273	6.704806435	New	1
18661.84	34	5728.39	246926	9.834236076	3.526360525	8.653189793	New	1
19805.54	18	1877.38	257345	9.893716976	2.890371758	7.537632467	New	1
12905.67	7	150	394996	9.465422029	1.945910149	5.010635294	New	1
5456.59	89	141	685566	8.604579332	4.48863637	4.94875989	Existing	0
9894.48	8	791.75	50148	9.199732305	2.079441542	6.674245685	New	1
10935.03	12	135.63	251355	9.299726677	2.48490665	4.90993059	New	1
6093.8	10	654.11	44392	8.71502714	2.302585093	6.483275533	New	1
5178.85	6	1204.41	118237	8.552338303	1.791759469	7.093745099	New	1
18085.34	7	1087.23	49818	9.802856944	1.945910149	6.991388456	New	1
31104.03	131	1564.77	2444971	10.34509267	4.875197323	7.355494127	Existing	0
24981.67	243	4836.86	1939871	10.12589763	5.493061443	8.484021029	Existing	0
11018.8	3	0	0	9.307358184	1.098612289	0	Existing	0
15357.85	19	772.69	44234	9.639382023	2.944438979	6.649877933	New	1
16155.15	201	2164.16	817620	9.689994163	5.303304908	7.679787574	Existing	0
45410.21	10	5275	206383	10.72349225	2.302585093	8.570733958	New	1
29305	32	2389.74	657264	10.28551343	3.465735903	7.778939852	Existing	0
16258.35	17	7.4	19156	9.696361902	2.833213344	2.00148	Existing	0
25025.39	21	675	300200	10.12764619	3.044522438	6.514712691	Existing	0
36220.26	82	1801.57	2117805	10.49737391	4.406719247	7.496413786	Existing	0
6206.8	67	849.72	420876	8.733400744	4.204692619	6.744906883	Existing	0
10012.98	5	330	163153	9.21163753	1.609437912	5.799092654	Existing	0
11242.64	11	958.19	41812	9.327468971	2.397895273	6.865046088	Existing	0
11417.53	15	2069.17	129222	9.342905173	2.708050201	7.63490284	Existing	0
28486.22	26	3010.21	157605	10.25717574	3.258096538	8.009765123	New	1
14450.21	17	225	850202	9.578464226	2.833213344	5.416100402	Existing	0
43176.28	24	6769.52	206863	10.67304655	3.17805383	8.820185462	Existing	0
