Price	Age	Residuals
$34,989 	1	($428.50)
$30,989 	4	$5,360.24 
$34,989 	3	$6,097.33 
$24,989 	3	($3,902.67)
$29,989 	4	$4,360.24 
$30,989 	3	$2,097.33 
$30,989 	3	$2,097.33 
$25,989 	3	($2,902.67)
$28,989 	3	$97.33 
$27,989 	3	($902.67)
$31,989 	3	$3,097.33 
$24,989 	3	($3,902.67)
$24,989 	3	($3,902.67)
$35,989 	3	$7,097.33 
$28,989 	3	$97.33 
$29,989 	3	$1,097.33 
$24,985 	3	($3,906.67)
$29,659 	2	($2,495.59)
$21,554 	3	($7,337.67)
$21,688 	3	($7,203.67)
$21,995 	3	($6,896.67)
$23,987 	4	($1,641.76)
$29,995 	4	$4,366.24 
$32,488 	1	($2,929.50)
$28,991 	2	($3,163.59)
$28,578 	3	($313.67)
$28,777 	3	($114.67)
$27,489 	3	($1,402.67)
$27,491 	3	($1,400.67)
$27,995 	4	$2,366.24 
$31,895 	2	($259.59)
$31,900 	2	($254.59)
$24,995 	3	($3,896.67)
$24,995 	3	($3,896.67)
$35,995 	3	$7,103.33 
$36,995 	3	$8,103.33 
$36,995 	3	$8,103.33 
$26,995 	3	($1,896.67)
$29,995 	3	$1,103.33 
$29,995 	3	$1,103.33 
$32,995 	3	$4,103.33 
$32,995 	3	$4,103.33 
$26,995 	4	$1,366.24 
$27,995 	4	$2,366.24 
$36,995 	2	$4,840.41 
$36,995 	2	$4,840.41 
$35,995 	1	$577.50 
$28,995 	2	($3,159.59)
$35,995 	2	$3,840.41 
$20,399 	4	($5,229.76)
$20,990 	4	($4,638.76)
$20,995 	4	($4,633.76)
$25,995 	3	($2,896.67)
$26,495 	3	($2,396.67)
$27,795 	3	($1,096.67)
$33,585 	3	$4,693.33 
$33,995 	3	$5,103.33 
$23,900 	3	($4,991.67)
$24,900 	3	($3,991.67)
$23,958 	4	($1,670.76)
$36,306 	0	($2,374.42)
$34,857 	1	($560.50)
$35,944 	1	$526.50 
$30,910 	2	($1,244.59)
$31,999 	2	($155.59)
$28,994 	2	($3,160.59)
$28,543 	2	($3,611.59)
$28,532 	3	($359.67)
$27,305 	3	($1,586.67)
$27,424 	3	($1,467.67)
$29,843 	3	$951.33 
$24,461 	4	($1,167.76)
$25,979 	4	$350.24 
$23,769 	4	($1,859.76)
$25,495 	4	($133.76)
$23,779 	4	($1,849.76)
$24,658 	4	($970.76)
$25,286 	4	($342.76)
$24,985 	3	($3,906.67)
$34,619 	2	$2,464.41 
$27,695 	3	($1,196.67)
$31,888 	2	($266.59)
$32,910 	2	$755.41 
$35,898 	1	$480.50 
$30,888 	3	$1,996.33 
$29,988 	3	$1,096.33 
$26,880 	3	($2,011.67)
$30,877 	3	$1,985.33 
$29,977 	2	($2,177.59)
$26,677 	4	$1,048.24 
$30,877 	2	($1,277.59)
$28,377 	3	($514.67)
$28,777 	3	($114.67)
$33,992 	1	($1,425.50)
$22,993 	3	($5,898.67)
$27,994 	3	($897.67)
$29,990 	3	$1,098.33 
$21,994 	3	($6,897.67)
$25,991 	4	$362.24 
$26,992 	4	$1,363.24 
$35,991 	1	$573.50 
$24,991 	3	($3,900.67)
$28,992 	3	$100.33 
$26,992 	3	($1,899.67)
$26,791 	3	($2,100.67)
$37,990 	3	$9,098.33 
$26,990 	3	($1,901.67)
$23,994 	3	($4,897.67)
$22,988 	4	($2,640.76)
$29,998 	4	$4,369.24 
$24,998 	4	($630.76)
$23,998 	4	($1,630.76)
$21,998 	4	($3,630.76)
$28,998 	4	$3,369.24 
$27,998 	3	($893.67)
$28,998 	3	$106.33 
$28,995 	2	($3,159.59)
$39,995 	1	$4,577.50 
$39,995 	0	$1,314.58 
$28,789 	3	($102.67)
$25,884 	4	$255.24 
$26,995 	4	$1,366.24 
$36,995 	3	$8,103.33 
$36,995 	2	$4,840.41 
$36,995 	3	$8,103.33 
$28,841 	3	($50.67)
$39,593 	3	$10,701.33 
$21,468 	4	($4,160.76)
$27,995 	4	$2,366.24 
$39,995 	1	$4,577.50 
$30,995 	3	$2,103.33 
$25,995 	3	($2,896.67)
$26,995 	3	($1,896.67)
$33,871 	2	$1,716.41 
$28,981 	2	($3,173.59)
$33,798 	2	$1,643.41 
$29,777 	2	($2,377.59)
$29,777 	2	($2,377.59)
$29,777 	2	($2,377.59)
$26,584 	3	($2,307.67)
$27,472 	3	($1,419.67)
$30,464 	3	$1,572.33 
$28,457 	3	($434.67)
$28,431 	3	($460.67)
$29,453 	3	$561.33 
$28,841 	3	($50.67)
$35,871 	1	$453.50 
$35,871 	1	$453.50 
$35,871 	1	$453.50 
$30,993 	3	$2,101.33 
$32,993 	3	$4,101.33 
$29,993 	3	$1,101.33 
$35,989 	3	$7,097.33 
$24,989 	3	($3,902.67)
$24,989 	3	($3,902.67)
$24,989 	3	($3,902.67)
$28,989 	3	$97.33 
$34,989 	1	($428.50)
$30,989 	3	$2,097.33 
$38,900 	3	$10,008.33 
$25,900 	3	($2,991.67)
$29,900 	3	$1,008.33 
$29,900 	3	$1,008.33 
$29,900 	3	$1,008.33 
$27,900 	3	($991.67)
$28,995 	2	($3,159.59)
$24,995 	3	($3,896.67)
$24,995 	3	($3,896.67)
$35,995 	3	$7,103.33 
$36,995 	3	$8,103.33 
$24,753 	2	($7,401.59)
$32,771 	1	($2,646.50)
$36,611 	1	$1,193.50 
$38,998 	1	$3,580.50 
$30,974 	2	($1,180.59)
$25,395 	3	($3,496.67)
$36,560 	2	$4,405.41 
$34,971 	1	($446.50)
$32,980 	3	$4,088.33 
$26,980 	4	$1,351.24 
$24,620 	4	($1,008.76)
$25,962 	3	($2,929.67)
$23,980 	4	($1,648.76)
