Year	Quarter	Net Sales (million)
1994	4	$267.12 
1995	1	$195.05 
1995	2	$209.83 
1995	3	$257.23 
1995	4	$329.32 
1996	1	$249.69 
1996	2	$268.50 
1996	3	$265.64 
1996	4	$341.90 
1997	1	$264.98 
1997	2	$307.15 
1997	3	$355.18 
1997	4	$473.16 
1998	1	$354.22 
1998	2	$400.71 
1998	3	$444.22 
1998	4	$615.38 
1999	1	$462.00 
1999	2	$530.52 
1999	3	$590.37 
1999	4	$810.54 
2000	1	$637.59 
2000	2	$685.75 
2000	3	$732.04 
2000	4	$1,171.08 
2001	1	$913.00 
2001	2	$1,015.00 
2001	3	$1,105.00 
2001	4	$1,686.00 
2002	1	$1,154.00 
2002	2	$1,225.00 
2002	3	$1,329.00 
2002	4	$1,838.00 
2003	1	$1,278.00 
2003	2	$1,461.00 
2003	3	$1,366.00 
2003	4	$2,151.00 
2004	1	$1,414.00 
2004	2	$1,573.00 
2004	3	$1,649.00 
2004	4	$2,318.00 
2005	1	$1,667.00 
2005	2	$1,824.00 
2005	3	$1,899.00 
2005	4	$2,792.00 
2006	1	$1,886.00 
2006	2	$2,027.00 
2006	3	$2,118.00 
2006	4	$3,247.00 
2007	1	$2,027.00 
2007	2	$2,283.00 
2007	3	$2,477.00 
2007	4	$3,339.00 
2008	1	$2,286.00 
2008	2	$2,541.00 
2008	3	$3,110.00 
2008	4	$3,854.00 
2009	1	$2,774.00 
2009	2	$2,916.00 
2009	3	$3,173.00 
2009	4	$4,223.00 
2010	1	$3,036.00 
2010	2	$3,156.00 
2010	3	$3,233.00 
2010	4	$4,214.00 
2011	1	$3,004.00 
2011	2	$3,111.00 
