Name	Weight (1000 lbs)	Combined MPG	Gallons per 100 miles	Residual MPG	Scrambled Residual 1	Scrambled Residual 2	Residual Gal /100 miles	Horsepower
Audi A3	3.75	24	4.166666667	0.146712828	0.553838275	4.583253616	-0.236978218	200
Audi A4 QUATTRO	3.91	25	4	1.976432684	-1.963975344	-0.016594126	-0.596313546	211
Audi A4	3.92	25	4	2.028290175	-0.652830398	-9.179139789	-0.608355338	211
Audi A6	3.96	28	3.571428571	5.23572014	-1.27512029	0.569307237	-1.085093932	211
Audi Q7	6.02	18	5.555555556	5.918363295	-1.683007029	2.614191538	-1.581575973	225
Audi R8	4.35	16	6.25	-4.74183771	1.013582505	-7.430692764	1.123847633	430
Audi R8	4.23	14	7.142857143	-7.364127602	4.546103795	3.391292613	2.161206272	430
Audi R8	3.88	14	7.142857143	-9.179139789	-5.21628961	1.021316986	2.582668971	525
Audi S4	4.32	21	4.761904762	0.102589817	4.583253616	-1.778987531	-0.328122231	333
Audi S5	4.28	17	5.882352941	-4.104840147	-0.312270111	-2.090132477	0.840493114	354
Volkswagen TIGUAN	3.84	21	4.761904762	-2.386569753	2.931548383	-2.926825523	0.249883755	200
Audi TT COUPE QUATTRO	3.56	26	3.846153846	1.161420498	-1.659803588	2.606457057	-0.328697002	265
Aston Martin Lagonda Ltd DB9	4.41	13	7.692307692	-7.430692764	0.844063653	-0.378835273	2.493904577	470
Aston Martin Lagonda Ltd DB9	4.42	15	6.666666667	-5.378835273	-2.090132477	1.27984315	1.45622176	470
Aston Martin Lagonda Ltd DBS	4.4	13	7.692307692	-7.482550255	2.992662936	-6.423719574	2.505946368	510
Aston Martin Lagonda Ltd DBS	4.41	14	7.142857143	-6.430692764	2.614952829	0.77597591	1.944454027	510
Aston Martin Lagonda Ltd Rapide	4.69	15	6.666666667	-3.978683014	-5.764279861	2.511237847	1.131093392	470
Aston Martin Lagonda Ltd V8 Vantage S	3.91	16	6.25	-7.023567316	-2.579292047	1.962486305	1.653686454	430
Aston Martin Lagonda Ltd V8 Vantage	3.96	16	6.25	-6.764279861	1.650580068	-1.357154413	1.593477497	420
Aston Martin Lagonda Ltd V8 Vantage	4.11	15	6.666666667	-6.986417495	1.842541071	0.642845587	1.829517293	420
Aston Martin Lagonda Ltd Virage	4.44	15	6.666666667	-5.27512029	-3.015832835	2.29455082	1.432138177	490
Bentley Motors Ltd. Mulsanne	6.1	13	7.692307692	1.333223223	2.094855337	-0.268147101	0.458841833	505
BMW 128i	3.44	22	4.545454546	-3.460869395	1.406000283	-0.534407746	0.515105194	230
BMW 128i	3.56	21	4.761904762	-3.838579502	-0.549876707	-1.179139789	0.587053914	230
BMW 135i Convertible	3.96	22	4.545454546	-0.764279861	5.229508241	-0.579292047	-0.111067958	300
BMW 135i	3.54	23	4.347826087	-1.942294484	0.642845587	4.814648312	0.197058822	300
BMW 550i	4.53	17	5.882352941	-2.808402871	2.205543508	0.146712828	0.539448329	400
BMW 650i Convertible	4.64	17	5.882352941	-2.23797047	1.659075839	4.546103795	0.406988624	400
BMW 650i Coupe	4.49	17	5.882352941	-3.015832835	-2.652830398	-2.652830398	0.587615495	400
BMW 740Li	4.66	20	5	0.865744513	-1.179139789	1.310019781	-0.4994479	315
BMW 750i	5.01	17	5.882352941	-0.319243301	-4.808402871	0.229508241	-0.038557658	400
BMW M3 Convertible	4.45	16	6.25	-4.223262799	-7.482550255	1.970220786	1.003429719	414
Mini Mini Cooper Clubman	2.89	30	3.333333333	1.686968598	-5.75654538	0.042997846	-0.034717492	122
Mini Mini Cooper Convertible	3.12	30	3.333333333	2.879690892	3.968698204	-3.127282298	-0.311678694	122
Mini Mini Cooper Countryman	3.32	30	3.333333333	3.916840713	3.857248741	1.058466807	-0.552514521	122
Mini Mini Cooper S Clubman	3.19	30	3.333333333	3.242693329	-3.593999717	-2.645857208	-0.395971233	180
Mini Mini Cooper S Convertible	3.1	30	3.333333333	2.77597591	2.384319423	-1.385808462	-0.287595111	180
Mini Mini Cooper S Countryman All4	3.46	28	3.571428571	2.642845587	2.042997846	0.287577631	-0.483004363	180
Mini Mini Cooper S Countryman	3.42	29	3.448275862	3.435415623	0.399027093	2.205543508	-0.557989906	180
Mini Mini Cooper S	2.99	30	3.333333333	2.205543508	-0.74183771	4.481822506	-0.155135406	180
Mini Mini Cooper	2.91	32	3.125	3.79068358	-0.422958283	-1.135016778	-0.267134408	122
BMW X5 xDrive35i	5.19	19	5.263157895	2.614191538	-2.978683014	1.080147666	-0.874504949	300
BMW X5 xDriveM	5.51	14	7.142857143	-0.726368749	-5.378835273	-1.164432119	0.619856975	555
BMW X6 xDrive35i	4.98	19	5.263157895	1.525184226	3.916840713	-2.823871832	-0.62162733	300
BMW X6 xDriveM	5.43	14	7.142857143	-1.141228677	-0.622653767	4.620403437	0.716191306	555
Chrysler 200	3.84	24	4.166666667	0.613430247	2.427681143	-0.549876707	-0.34535434	173
Chrysler 300 AWD	4.52	21	4.761904762	1.139739638	-3.460869395	0.117297487	-0.568958059	292
Chrysler 300 AWD	4.73	18	5.555555556	-0.77125305	-6.778987531	-1.112574628	-0.028184884	359
FIAT 500	2.84	30	3.333333333	1.427681143	-4.186112979	1.427681143	0.025491465	100
FIAT 500	2.79	33	3.03030303	4.168393687	-2.112574628	0.316992971	-0.217329881	100
Dodge Avenger	3.73	24	4.166666667	0.042997846	0.162181789	2.028290175	-0.212894635	283
Dodge Avenger	3.89	22	4.545454546	-1.127282298	2.642845587	-2.830845022	-0.026775418	283
Dodge Caliber	3.46	24	4.166666667	-1.357154413	-0.349419932	1.977193975	0.112233733	172
Dodge Caliber	3.61	24	4.166666667	-0.579292047	-1.341685452	-3.882702513	-0.068393138	172
Dodge Caliber	3.16	27	3.703703704	0.087120856	-3.882702513	0.539130605	0.010524511	158
Dodge Challenger	4.46	18	5.555555556	-2.171405308	-2.430692764	0.146712828	0.296943483	370
Dodge Charger AWD	4.41	21	4.761904762	0.569307237	-2.830845022	0.894398562	-0.436498354	292
Dodge Charger	4.2	21	4.761904762	-0.519700075	2.606457057	-4.719395559	-0.183620735	292
Jeep Patriot 4WD	3.73	23	4.347826087	-0.957002155	4.814648312	-0.964736635	-0.031735215	172
Dodge Ram 1500 2WD	5.41	16	6.25	0.755056341	4.451645875	4.590988096	-0.152582254	310
Dodge Ram 1500 4WD	5.48	16	6.25	1.118058778	-1.778987531	2.227985659	-0.236874794	310
Chrysler Town & Country	4.69	20	5	1.021316986	-2.823871832	-0.304535631	-0.535573274	283
Jeep Wrangler 4WD	4.64	18	5.555555556	-1.23797047	1.25816229	1.139739638	0.080191238	290
Jeep Wrangler 4WD	4.73	18	5.555555556	-0.77125305	0.539130605	4.459380356	-0.028184884	290
Mitsubishi Motors North America ECLIPSE SPYDER	4	23	4.347826087	0.443150104	0.932309674	5.620403437	-0.356863582	162
Mitsubishi Motors North America ECLIPSE SPYDER	4.11	19	5.263157895	-2.986417495	-0.726368749	5.020555695	0.426008521	260
Mitsubishi Motors North America ECLIPSE	3.75	23	4.347826087	-0.853287172	-7.460869395	-1.659803588	-0.055818797	162
Mitsubishi Motors North America ECLIPSE	3.78	23	4.347826087	-0.697714699	2.184623939	1.281365732	-0.091944171	162
Mitsubishi Motors North America ECLIPSE	3.86	20	5	-3.282854771	1.977193975	1.25042781	0.463895411	263
Mitsubishi Motors North America GALANT	3.75	24	4.166666667	0.146712828	1.427681143	2.442388813	-0.236978218	160
Subaru FORESTER AWD	3.59	23	4.347826087	-1.683007029	-1.135016778	-0.957002155	0.136849865	170
Subaru FORESTER AWD	3.68	23	4.347826087	-1.21628961	4.635111107	1.118058778	0.028473742	224
Subaru IMPREZA AWD	3.45	30	3.333333333	4.590988096	1.139739638	0.806152541	-0.709057809	148
Subaru IMPREZA AWD	3.31	28	3.571428571	1.864983222	-1.704687889	-3.593999717	-0.302377492	148
Subaru IMPREZA AWD	3.83	21	4.761904762	-2.438427244	-6.430692764	-0.77125305	0.261925547	305
Subaru IMPREZA WAGON/OUTBACK SPORT AWD	3.45	30	3.333333333	4.590988096	-2.645095917	3.391292613	-0.709057809	148
Subaru IMPREZA WAGON/OUTBACK SPORT AWD	3.38	28	3.571428571	2.227985659	1.310019781	2.814648312	-0.386670032	148
Subaru TRIBECA AWD	4.55	18	5.555555556	-1.704687889	0.117297487	5.229508241	0.188567361	256
Ford Division E350 VAN	6.08	12	8.333333333	0.229508241	-0.764279861	1.406761574	1.123951057	305
Ford Division EDGE AWD	4.86	21	4.761904762	2.902894333	0.77597591	-0.27512029	-0.978378966	305
Ford Division EDGE FWD	4.14	24	4.166666667	2.169154978	4.481822506	-6.430692764	-0.706608082	237
Ford Division ESCAPE AWD	3.72	23	4.347826087	-1.008859646	-3.282854771	-4.423719574	-0.019693423	171
Ford Division EXPLORER FWD	4.79	23	4.347826087	4.539891896	-2.297562441	-3.008859646	-1.308165101	237
Ford Division EXPLORER FWD	4.69	20	5	1.021316986	2.614191538	-0.77822624	-0.535573274	287
Lincoln Truck MKX AWD	4.84	19	5.263157895	0.799179351	1.502742075	2.042997846	-0.45304225	305
Ford Division MUSTANG	3.69	23	4.347826087	-1.164432119	-4.74183771	2.76126824	0.016431951	300
Ford Division MUSTANG	4.09	20	5	-2.090132477	2.198570319	-1.186112979	0.186934209	400
Ford Division MUSTANG	3.7	22	4.545454546	-2.112574628	0.146712828	-2.957002155	0.202018618	300
Ford Division MUSTANG	3.89	20	5	-3.127282298	-0.423719574	4.842541071	0.427770036	400
Ford Division MUSTANG	3.96	17	5.882352941	-5.764279861	-5.060717137	-4.223262799	1.225830438	550
Ford Division TAURUS FWD	4.61	22	4.545454546	2.606457057	0.014343796	4.451645875	-0.893784398	263
Saab 9-4X FWD	4.68	20	5	0.969459495	5.471804153	-1.171405308	-0.523531483	265
GMC C15 SIERRA 2WD XFE	5.15	18	5.555555556	1.406761574	-0.497257925	2.384319423	-0.533940123	315
Chevrolet C15 SILVERADO 2WD XFE	5.3	18	5.555555556	2.184623939	4.620403437	2.666049029	-0.714566993	315
Chevrolet C15 SILVERADO 2WD	4.99	17	5.882352941	-0.422958283	-2.534407746	2.910628814	-0.014474075	195
Chevrolet C15 SILVERADO 2WD	5.12	16	6.25	-0.748810899	2.76126824	-2.867994843	0.196629696	295
Chevrolet C15 SILVERADO 2WD	6	17	5.882352941	4.814648312	-0.319243301	-5.001125165	-1.230695005	320
Chevrolet C15 SILVERADO 2WD	5.45	14	7.142857143	-1.037513695	-6.423719574	-0.764279861	0.692107723	403
Chevrolet C1500 TAHOE 2WD	5.93	17	5.882352941	4.451645875	3.679995408	1.161420498	-1.146402465	320
Chevrolet C2500 SUBURBAN 2WD	6.52	12	8.333333333	2.511237847	2.028290175	-3.015832835	0.594112236	352
Chevrolet CAMARO	3.89	20	5	-3.127282298	5.918363295	-7.127282298	0.427770036	304
Chevrolet CAMARO	4.3	19	5.263157895	-2.001125165	-1.638122728	0.613430247	0.197214484	420
Chevrolet CAMARO	3.95	22	4.545454546	-0.816137352	0.724118419	-5.764279861	-0.099026166	304
Chevrolet CAMARO	4.41	18	5.555555556	-2.430692764	-2.867994843	2.288338921	0.35715244	400
Chevrolet COLORADO 2WD	3.79	21	4.761904762	-2.645857208	-3.978683014	-1.037513695	0.310092712	190
Chevrolet COLORADO 2WD	3.71	19	5.263157895	-5.060717137	0.087120856	-4.423719574	0.907680176	245
Chevrolet COLORADO 2WD	3.9	21	4.761904762	-2.075424807	0.316992971	-2.579292047	0.177633007	190
Chevrolet COLORADO 4WD	4.15	20	5	-1.778987531	2.814648312	-0.608707387	0.11468346	190
Chevrolet COLORADO 4WD	3.98	19	5.263157895	-3.660564878	1.976432684	2.992662936	0.582551809	245
Chevrolet COLORADO 4WD	4.1	20	5	-2.038274986	1.25042781	1.895159853	0.174892417	190
Chevrolet COLORADO CREW CAB 2WD	4.3	16	6.25	-5.001125165	4.168393687	-0.608707387	1.18405659	300
Chevrolet COLORADO CREW CAB 4WD	4.62	18	5.555555556	-1.341685452	-0.808402871	-2.001125165	0.104274821	245
Chevrolet COLORADO CREW CAB 4WD	4.7	16	6.25	-2.926825523	-2.957002155	0.553838275	0.702384934	300
Chevrolet CORVETTE	3.68	19	5.263157895	-5.21628961	2.288338921	-0.675272549	0.94380555	420
Chevrolet CORVETTE	3.44	18	5.555555556	-7.460869395	-6.986417495	-1.27512029	1.525206204	505
Chevrolet CORVETTE	3.64	18	5.555555556	-6.423719574	5.620403437	0.799179351	1.284370377	420
Chevrolet CRUZE ECO	3.34	31	3.225806452	5.020555695	-2.075424807	2.642845587	-0.684124986	140
Chevrolet CRUZE	3.13	30	3.333333333	2.931548383	0.569307237	2.035263365	-0.323720485	138
Chevrolet CRUZE	3.27	29	3.448275862	2.657553258	2.035263365	-4.74183771	-0.377363036	138
Chevrolet CRUZE	3.33	30	3.333333333	3.968698204	0.613430247	-0.853287172	-0.564556313	140
Chevrolet CRUZE	3.39	27	3.703703704	1.27984315	-0.534407746	0.176889459	-0.266436691	140
Cadillac CTS AWD	4.48	21	4.761904762	0.932309674	-3.912117853	5.23572014	-0.520790893	265
Cadillac CTS AWD	4.52	21	4.761904762	1.139739638	2.858010032	2.169154978	-0.568958059	304
Cadillac CTS WAGON	4.71	21	4.761904762	2.125031968	1.021316986	1.525184226	-0.797752095	304
Cadillac CTS	4.24	19	5.263157895	-2.312270111	-0.460108104	-2.430692764	0.269465233	265
Cadillac CTS	4.51	16	6.25	-3.912117853	1.970220786	-1.20158194	0.931178971	550
Cadillac CTS	4.36	22	4.545454546	1.310019781	-3.772014341	0.310019781	-0.592739613	265
Cadillac CTS	4.54	14	7.142857143	-5.75654538	-0.259651329	-3.223262799	1.787910739	550
Chevrolet EQUINOX AWD	4.28	23	4.347826087	1.895159853	2.29455082	-0.497257925	-0.694033741	182
Chevrolet EQUINOX AWD	4.44	19	5.263157895	-1.27512029	2.77597591	-1.963975344	0.028629405	264
Chevrolet EQUINOX FWD	3.99	26	3.846153846	3.391292613	-0.816137352	-0.319243301	-0.846494031	182
Cadillac ESCALADE 2WD	5.88	16	6.25	3.19235842	-0.77125305	-3.460869395	-0.718546449	403
Cadillac ESCALADE AWD	5.98	15	6.666666667	2.71093333	3.26513548	2.546103795	-0.422297696	403
Chevrolet G1500 EXPRESS 2WD CARGO	5.62	15	6.666666667	0.844063653	1.895159853	1.317754262	0.011206794	301
Chevrolet G2500 EXPRESS 2WD CARGO MDPV	6.9	12	8.333333333	4.481822506	2.902894333	0.724118419	0.136524163	323
Chevrolet G3500 EXPRESS 2WD PASS MDPV	6.42	13	7.692307692	2.992662936	4.909106232	-0.853287172	0.073504508	280
Chevrolet G3500 EXPRESS 2WD PASS MDPV	6.54	12	8.333333333	2.614952829	0.146712828	1.333223223	0.570028653	323
Chevrolet H1500 EXPRESS AWD CARGO	5.53	14	7.142857143	-0.622653767	-0.27512029	2.879690892	0.595773392	301
Chevrolet IMPALA	4	22	4.545454546	-0.556849896	-5.27512029	-2.986417495	-0.159235123	280
Chevrolet K15 SILVERADO 4WD	5.19	15	6.666666667	-1.385808462	1.27984315	0.821621502	0.529003823	195
Chevrolet K15 SILVERADO 4WD	5.46	15	6.666666667	0.014343796	0.21403928	1.502742075	0.203875456	295
Chevrolet K15 SILVERADO 4WD	6.08	17	5.882352941	5.229508241	0.76900272	-2.112574628	-1.327029336	320
Chevrolet K15 SILVERADO 4WD	5.5	14	7.142857143	-0.77822624	-2.001125165	3.916840713	0.631898766	403
Chevrolet K1500 TAHOE 4WD	5.93	17	5.882352941	4.451645875	-0.111813337	1.139739638	-1.146402465	320
GMC K1500 YUKON XL AWD	6.51	14	7.142857143	4.459380356	1.333223223	-5.060717137	-0.584322163	403
GMC K2500 YUKON XL 4WD	6.9	12	8.333333333	4.481822506	-2.438427244	-2.23797047	0.136524163	352
Buick LACROSSE AWD	4.57	20	5	0.399027093	0.287577631	3.435415623	-0.391071778	280
Buick LACROSSE	4.09	29	3.448275862	6.909867523	2.087120856	-2.512726886	-1.364789929	182
Buick LACROSSE	4.36	21	4.761904762	0.310019781	0.102589817	2.902894333	-0.376289397	280
Chevrolet MALIBU	3.73	26	3.846153846	2.042997846	4.481822506	4.481822506	-0.533407455	175
Chevrolet MALIBU	3.8	20	5	-3.593999717	6.909867523	-1.638122728	0.536146159	250
Buick REGAL	4.04	24	4.166666667	1.650580068	3.472565444	-2.075424807	-0.586190168	270
Buick REGAL	3.92	22	4.545454546	-0.971709825	-0.556849896	1.013582505	-0.062900792	220
Buick REGAL	4.01	29	3.448275862	6.495007595	0.057705516	-6.764279861	-1.268455598	182
Chevrolet SONIC	2.93	29	3.448275862	0.894398562	2.910628814	0.597961286	0.032057871	138
Chevrolet SONIC	3.09	28	3.571428571	0.724118419	1.161420498	-3.282854771	-0.037458081	140
