Calendar Date	Date	Period	Subscriber Connections	Date-1984	Pct Growth	1/(Date-1984)	Predicted Pct Growth
31-Dec-84	1984.95	1	91600	0.95		1.052631579	155.2531828
30-Jun-85	1985.45	2	203600	1.45	122.2707	0.689655172	101.8878149
31-Dec-85	1985.95	3	340213	1.95	67.09872	0.512820513	75.88930233
30-Jun-86	1986.45	4	500000	2.45	46.96675	0.408163265	60.50242754
31-Dec-86	1986.95	5	681825	2.95	36.365	0.338983051	50.33144252
30-Jun-87	1987.45	6	883779	3.45	29.61962	0.289855073	43.10856909
31-Dec-87	1987.95	7	1230860	3.95	39.27237	0.253164557	37.71427122
30-Jun-88	1988.45	8	1608700	4.45	30.69724	0.224719101	33.53217511
31-Dec-88	1988.95	9	2060440	4.95	28.08106	0.202020202	30.19494691
30-Jun-89	1989.45	10	2691790	5.45	30.64151	0.183486239	27.47005415
31-Dec-89	1989.95	11	3500940	5.95	30.05992	0.168067227	25.20312657
30-Jun-90	1990.45	12	4368690	6.45	24.7862	0.15503876	23.28766062
31-Dec-90	1990.95	13	5283060	6.95	20.93007	0.143884892	21.64780129
30-Jun-91	1991.45	14	6380050	7.45	20.76429	0.134228188	20.2280573
31-Dec-91	1991.95	15	7557150	7.95	18.4497	0.125786164	18.98689746
30-Jun-92	1992.45	16	8892540	8.45	17.67055	0.118343195	17.89262045
31-Dec-92	1992.95	17	11032800	8.95	24.06804	0.111731844	16.92060902
30-Jun-93	1993.45	18	13067300	9.45	18.44047	0.105820106	16.05145594
31-Dec-93	1993.95	19	16009500	9.95	22.51575	0.100502513	15.26965493
30-Jun-94	1994.45	20	19283300	10.45	20.44911	0.09569378	14.56266742
31-Dec-94	1994.95	21	24134400	10.95	25.157	0.091324201	13.92024497
30-Jun-95	1995.45	22	28154415	11.45	16.65678	0.087336245	13.33392929
31-Dec-95	1995.95	23	33785661	11.95	20.00129	0.083682008	12.79667769
30-Jun-96	1996.45	24	38195466	12.45	13.0523	0.080321285	12.30257882
31-Dec-96	1996.95	25	44042992	12.95	15.30948	0.077220077	11.8466343
30-Jun-97	1997.45	26	48705553	13.45	10.58639	0.074349442	11.42458901
31-Dec-97	1997.95	27	55312293	13.95	13.56465	0.071684588	11.03279786
30-Jun-98	1998.45	28	60831431	14.45	9.97814	0.069204152	10.66812028
31-Dec-98	1998.95	29	69209321	14.95	13.7723	0.066889632	10.32783585
30-Jun-99	1999.45	30	76284753	15.45	10.22324	0.064724919	10.00957631
31-Dec-99	1999.95	31	86047003	15.95	12.79712	0.062695925	9.711270337
30-Jun-00	2000.45	32	97035925	16.45	12.77084	0.060790274	9.431098469
31-Dec-00	2000.95	33	109478031	16.95	12.82216	0.05899705	9.167455914
30-Jun-01	2001.45	34	118397734	17.45	8.147482	0.05730659	8.918921816
31-Dec-01	2001.95	35	128374512	17.95	8.426494	0.055710306	8.684233628
30-Jun-02	2002.45	36	134561370	18.45	4.819382	0.054200542	8.462265668
31-Dec-02	2002.95	37	140766842	18.95	4.61163	0.052770449	8.252011056
30-Jun-03	2003.45	38	148065824	19.45	5.185157	0.051413882	8.05256645
31-Dec-03	2003.95	39	158721981	19.95	7.196905	0.050125313	7.863119067
30-Jun-04	2004.45	40	169467393	20.45	6.769958	0.048899756	7.682935615
31-Dec-04	2004.95	41	182140362	20.95	7.478116	0.047732697	7.511352805
30-Jun-05	2005.45	42	194479364	21.45	6.774447	0.046620047	7.347769194
31-Dec-05	2005.95	43	207896198	21.95	6.898847	0.045558087	7.191638139
30-Jun-06	2006.45	44	219420457	22.45	5.543275	0.04454343	7.042461697
31-Dec-06	2006.95	45	233040781	22.95	6.207408	0.043572985	6.899785317
30-Jun-07	2007.45	46	243428202	23.45	4.45734	0.042643923	6.763193218
31-Dec-07	2007.95	47	255395599	23.95	4.916192	0.041753653	6.632304339
30-Jun-08	2008.45	48	262720165	24.45	2.86793	0.040899796	6.506768787
31-Dec-08	2008.95	49	270333881	24.95	2.898033	0.04008016	6.386264721
30-Jun-09	2009.45	50	276610580	25.45	2.321832	0.039292731	6.270495589
31-Dec-09	2009.95	51	290941191	25.95	5.180789	0.038535646	6.159187694
30-Jun-10	2010.45	52	300520098	26.45	3.292386	0.037807183	6.052088038
31-Dec-10	2010.95	53	310996629	26.95	3.486133	0.037105751	5.948962395
30-Jun-11	2011.45	54	322857207	27.45	3.813732	0.036429873	5.849593606
	2011.95	55		27.95		0.035778175	5.753780051
