Nation	GDP (billion dollars)	CO2 (million tons)	Log GDP	Log CO2
Canada	$846.80 	520.7	6.741464539	6.25517406
Chile	$103.30 	64.9	4.637637376	4.172847624
Mexico	$724.40 	399.7	6.585343726	5.990714266
United States	$11,357.10 	5195	9.337598378	8.555451904
Australia	$535.20 	394.9	6.282640509	5.978632568
Israel	$162.20 	64.6	5.088830142	4.168214411
Japan	$4,872.20 	1092.9	8.49130086	6.996589993
Korea	$752.80 	515.5	6.623799588	6.245137304
New Zealand	$67.50 	31.3	4.212127598	3.443618098
Austria	$218.40 	63.4	5.386328244	4.149463861
Belgium	$260.80 	100.7	5.56375383	4.6121458
Czech Republic	$75.90 	109.8	4.329416684	4.698660529
Denmark	$167.70 	46.8	5.122176669	3.845883203
Estonia	$8.00 	14.7	2.079441542	2.687847494
Finland	$141.20 	55	4.950177325	4.007333185
France	$1,472.80 	354.3	7.29492063	5.870144012
Germany	$1,998.70 	750.2	7.600252248	6.620339838
Greece	$168.10 	90.2	5.12455904	4.502029427
Hungary	$56.40 	48.2	4.032469159	3.875359021
Iceland	$11.20 	2	2.415913778	0.693147181
Ireland	$125.10 	39.5	4.829113418	3.676300672
Italy	$1,110.70 	389.3	7.012745726	5.964350255
Luxembourg	$26.50 	10	3.277144733	2.302585093
Netherlands	$432.50 	176.1	6.069582326	5.171052016
Norway	$196.00 	37.3	5.278114659	3.618993327
Poland	$241.70 	286.8	5.487697288	5.658785109
Portugal	$123.40 	53.1	4.815431112	3.972176928
Slovak Republic	$31.30 	33.2	3.443618098	3.502549876
Slovenia	$25.70 	15.2	3.246490992	2.721295428
Spain	$713.40 	283.4	6.570042273	5.646859327
Sweden	$286.30 	41.7	5.657040212	3.730501129
Switzerland	$286.30 	42.4	5.657040212	3.747148362
Turkey	$357.00 	256.3	5.877735782	5.546348633
United Kingdom	$1,677.10 	465.8	7.42482139	6.143756358
Algeria	$76.40 	92.5	4.335982696	4.527208645
Angola	$24.30 	12.9	3.19047635	2.557227311
Benin	$3.20 	4.2	1.16315081	1.435084525
Botswana	$8.00 	4.2	2.079441542	1.435084525
Cameroon	$13.60 	4.8	2.610069793	1.568615918
Congo	$4.70 	1.7	1.547562509	0.530628251
Dem. Rep. of Congo	$6.40 	2.9	1.85629799	1.064710737
Côte d'Ivoire	$11.30 	6.1	2.424802726	1.808288771
Egypt	$152.40 	175.4	5.026508643	5.16706908
Eritrea	$0.80 	0.5	-0.223143551	-0.693147181
Ethiopia	$16.60 	7.4	2.809402695	2.00148
Gabon	$6.00 	1.7	1.791759469	0.530628251
Ghana	$8.20 	9	2.104134154	2.197224577
Kenya	$18.00 	10	2.890371758	2.302585093
Libyan Arab Jamahiriya	$52.00 	50	3.951243719	3.912023005
Morocco	$57.90 	41.3	4.058717385	3.7208625
Mozambique	$8.50 	2.2	2.140066164	0.78845736
Namibia	$5.80 	3.7	1.757857918	1.30833282
Nigeria	$78.30 	41.2	4.360547603	3.718438256
Senegal	$6.70 	5.3	1.902107526	1.667706821
South Africa	$181.90 	369.4	5.203457086	5.911880068
Sudan	$22.70 	13.3	3.122364925	2.587764035
United Rep. of Tanzania	$16.20 	6.3	2.785011242	1.840549633
Togo	$1.60 	1.1	0.470003629	0.09531018
Tunisia	$29.30 	20.8	3.377587516	3.034952987
Zambia	$5.20 	1.7	1.648658626	0.530628251
Zimbabwe	$4.70 	8.7	1.547562509	2.163323026
Other Africa	$75.40 	29.4	4.322807275	3.380994674
Bahrain	$13.70 	22.8	2.617395833	3.126760536
Islamic Rep. of Iran	$158.10 	533.2	5.063227744	6.278896588
Iraq	$23.00 	98.8	3.135494216	4.593097605
Jordan	$14.90 	19.2	2.701361213	2.954910279
Kuwait	$63.60 	80.7	4.15261347	4.390738575
Lebanon	$26.80 	19.3	3.288401888	2.960105096
Oman	$31.60 	38.9	3.453157121	3.660994251
