Date	Net Income	Log Op Income
1990.125	253.443	5.53513895
1990.375	272.931	5.60921902
1990.625	282.807	5.64476469
1990.875	481.843	6.17761833
1991.125	306.953	5.72669464
1991.375	345.893	5.84612948
1991.625	353.2	5.86703447
1991.875	602.43	6.40097148
1992.125	386.955	5.95830841
1992.375	420.447	6.04131843
1992.625	437.804	6.08177132
1992.875	749.588	6.61952372
1993.125	450.65	6.11069099
1993.375	495.875	6.20632388
1993.625	518.739	6.25140087
1993.875	868.013	6.76620669
1994.125	498.456	6.21151532
1994.375	564.815	6.33649824
1994.625	588.085	6.3768715
1994.875	1029.644	6.93696839
1995.125	553	6.315358
1995.375	634	6.45204895
1995.625	611	6.41509696
1995.875	942	6.84800527
1996.125	571	6.34738921
1996.375	706	6.55961524
1996.625	684	6.52795792
1996.875	1095	6.99850964
1997.125	652	6.48004456
1997.375	795	6.67834211
1997.625	792	6.67456139
1997.875	1287	7.16006921
1998.125	828	6.71901315
1998.375	1034	6.94119006
1998.625	1009	6.91671502
1998.875	1559	7.35179987
1999.125	916	6.82001636
1999.375	1251	7.13169851
1999.625	1294	7.16549348
1999.875	1916	7.55799496
2000.125	1326	7.18992217
2000.375	1596	7.37525578
2000.625	1369	7.22183583
2000.875	2004	7.60290046
2001.125	1380	7.22983878
2001.375	1621	7.39079852
2001.625	1481	7.30047281
2001.875	2189	7.6912001
2002.125	1631	7.3969486
2002.375	2019	7.61035762
2002.625	1797	7.49387389
2002.875	2508	7.8272409
2003.125	1861	7.52886926
2003.375	2444	7.80139132
2003.625	2028	7.61480536
2003.875	2721	7.90875474
2004.125	2166	7.68063743
2004.375	2651	7.88269221
2004.625	2286	7.73455884
2004.875	3164	8.05959233
2005.125	2461	7.80832305
2005.375	2805	7.93915882
2005.625	2374	7.77233158
2005.875	3591	8.18618599
2006.125	2615	7.86901938
2006.375	2083	7.64156444
2006.625	2647	7.8811822
2006.875	3939	8.27868216
2007.125	2826	7.94661756
2007.375	2952	7.99023819
2007.625	2857	7.9575274
2007.875	4096	8.31776617
2008.125	3022	8.01367414
2008.375	3449	8.14583961
2008.625	3137	8.05102221
2008.875	3792	8.24064886
2009.125	2996	8.00503334
2009.375	3472	8.15248608
2009.625	3144	8.05325115
2009.875	4758	8.46758269
2010.125	3301	8.10198073
2010.375	3596	8.1875774
2010.625	3436	8.14206328
2010.875	6056	8.7088048
2011.125	3399	8.13123655
2011.375	3801	8.24301947
2011.625	3336	8.11252776
2011.875	5163	8.54927308
