Rating	Year	Price	Log Price	Vintage
92	0	130	4.86753445	2000
92	0	30	3.40119738	2000
90	1	45	3.80666249	2001
94	2	75	4.31748811	2002
86	0	9	2.19722458	2000
92	1	33	3.49650756	2001
90	2	15	2.7080502	2002
92	0	117	4.76217393	2000
95	1	125	4.82831374	2001
90	1	19	2.94443898	2001
91	9	75	4.31748811	2009
87	0	17	2.83321334	2000
91	0	33	3.49650756	2000
89	1	15	2.7080502	2001
91	0	36	3.58351894	2000
90	1	85	4.44265126	2001
94	0	72	4.27666612	2000
91	1	23	3.13549422	2001
89	0	40	3.68887945	2000
91	0	45	3.80666249	2000
92	0	50	3.91202301	2000
91	9	80	4.38202663	2009
92	0	50	3.91202301	2000
90	1	29	3.36729583	2001
90	0	40	3.68887945	2000
91	1	42	3.73766962	2001
92	1	50	3.91202301	2001
93	1	50	3.91202301	2001
92	0	80	4.38202663	2000
91	1	23	3.13549422	2001
95	1	100	4.60517019	2001
90	0	28	3.33220451	2000
87	1	15	2.7080502	2001
90	9	38	3.63758616	2009
88	0	16	2.77258872	2000
94	9	70	4.24849524	2009
90	0	30	3.40119738	2000
89	2	30	3.40119738	2002
90	0	20	2.99573227	2000
92	9	67	4.20469262	2009
95	1	150	5.01063529	2001
94	0	105	4.65396035	2000
95	1	100	4.60517019	2001
88	0	23	3.13549422	2000
93	0	45	3.80666249	2000
91	0	25	3.21887582	2000
91	2	15	2.7080502	2002
89	1	23	3.13549422	2001
93	0	99	4.59511985	2000
