Sales (000 gal.)	Traffic Volume (000)
6.64	33.6
7.76	37.2
9.56	48
6.29	33.7
10.18	45.1
4.68	28.8
8.54	44.9
7.14	30.2
6.38	34.5
9.74	49.9
6.59	31
6.46	41.4
10.29	49.1
7.76	38.2
9.86	43.5
8.68	42.1
11.57	42.2
3.07	28.4
10.28	44.7
6.08	31.4
12.26	42.4
2.85	28.6
5.23	26.9
7.18	42.2
7.82	46.4
7.77	44
7.03	29.5
4.6	32.2
7.88	36.3
8.4	37.8
10.59	48.6
10.42	42.7
3.85	28
5.79	25.3
10.58	43.5
9.9	45.6
6.99	28.1
12.22	49.5
8.4	38
9.17	44.8
4.5	25.9
4.76	34.9
9.29	45.4
9.71	48
6.68	34.1
6.25	35.2
9.3	45.5
8.24	45
11.31	37.3
5.57	39.2
10.82	47.7
8.45	46.3
3.07	32.7
9.81	36.1
9.75	44.9
6.18	27.5
7.2	34
4.97	26.8
10.01	44.4
7.21	34.8
6.62	36.9
4.9	39.2
8.84	40
8.76	41.7
4.69	27.4
5.41	29.6
9.81	36.7
7.67	31.2
9.57	39.8
6.21	39.3
9.74	35.3
7.99	38.3
6.06	30.9
5.64	30.5
7.89	45.4
4.82	38.4
10.47	42.3
8.49	48.6
6.7	38.5
8.07	48.4
