datadate	Fiscal Year	tic	Company Name	Nation	Total Assets	Return on Assets	Net Income	Cost of Goods Sold	Total Revenue	Expense: R&D	Expense: Admin, Selling	# Employees	Book Value per Share	Description	NAICS	cusip
20110430	2010	AMSWA	AMERICAN SOFTWARE  -CL A	USA	$104.83 	0.070245727	$7.36 	$38.95 	$85.59 	$7.39 	$35.31 	297	2.8428	American Software, Inc., together with its subsidiaries, develops, markets, and supports a portfolio of software and services that deliver enterprise management and collaborative supply chain solutions worldwide.	511210	29683109
20110131	2010	ADSK	AUTODESK INC	USA	$2,787.60 	0.076051083	$212.00 	$91.20 	$1,951.80 	$496.20 	$1,473.00 	6800	7.0894	Autodesk, Inc. operates as a design software and service company.	511210	52769106
20100630	2010	ADP	AUTOMATIC DATA PROCESSING	USA	$26,862.20 	0.045096828	$1,211.40 	$4,729.70 	$8,927.70 	$513.90 	$2,120.60 	47000	11.136	Automatic Data Processing, Inc. provides technology-based outsourcing solutions to employers, and vehicle retailers and manufacturers worldwide. It operates in three segments: Employer Services, Professional Employer Organization Services, and Dealer Services.	518210	53015103
20101231	2010	BTEC	BANCTEC INC-REDH	USA	$222.04 	-0.100717448	($22.36)	$165.25 	$254.21 	$5.09 	$82.69 			BancTec, Inc. provides payment processing, and document and content processing services and solutions to banking, insurance, government, healthcare, utilities, telecommunications, and transportation and logistics industries primarily in North America and Europe.	511210	05999Z930
20110331	2010	BT	BT GROUP PLC	GBR	$37,776.99 	0.063806298	$2,410.41 	$23,497.48 	$32,816.56 	$1,336.80 		92600	3.9796	BT Group plc provides communications solutions and services worldwide. It engages in the provision of networked IT services; and local, national, and international telecommunications services for use at home, at work, and on the move.	517110	5.58E+104
20110331	2010	ACXM	ACXIOM CORP	USA	$1,306.63 	-0.017715106	($23.15)	$777.74 	$1,159.97 	$11.60 	$159.88 	6600	7.2617	Acxiom Corporation provides marketing technology and services that enable marketers to manage audience, personalize consumer experiences, and create customer relationships. It operates in two segments, Information Services and Information Products.	518210	5125109
20101231	2010	CTIG	CTI GROUP HOLDINGS INC	USA	$12.43 	-0.267717802	($3.33)	$4.84 	$15.24 	$2.44 	$9.74 	124	0.1801	CTI Group (Holdings) Inc.	511210	126431105
20110331	2010	CA	CA INC	USA	$12,414.00 	0.066618334	$827.00 	$581.00 	$4,429.00 	$471.00 	$2,208.00 	13400	11.1885	CA Technologies, together with its subsidiaries, designs, develops, markets, delivers, licenses, and supports information technology (IT) management software products that operate on a range of hardware platforms and operating systems.	511210	12673P105
20101231	2010	VERA	VERAMARK TECHNOLOGIES INC	USA	$12.87 	0.047463684	$0.61 	$2.23 	$13.17 	$1.39 	$8.90 	95	0.0437	Veramark Technologies, Inc. designs and produces communications management and operation support software for users and providers of telecommunication services in the United States and internationally.	511210	923351100
20110331	2010	NTT	NIPPON TELEGRAPH & TELEPHONE	JPN	$237,621.99 	0.025914748	$6,157.91 	$49,950.21 	$124,516.71 	$3,240.95 	$36,101.78 	219343	36.6235	Nippon Telegraph and Telephone Corporation, together with its subsidiaries, provides telecommunications services to residential and business customers in Japan.	517110	654624105
