Price ($, using Credit Card)	Weight (carats)	Clarity	Color	Depth %	Table %	Cut
$853.00 	0.47	VS1	J	65.2	70	Ideal
$1,041.00 	0.48	SI1	I	67.3	60	Premium
$1,120.00 	0.48	VS2	I	69	60	Premium
$923.00 	0.45	VS2	I	65.5	58	Good
$923.00 	0.45	VS2	I	66.8	55	Average
$1,087.00 	0.46	VS2	I	67.7	56	Average
$1,159.00 	0.48	VS1	I	67.9	55	Average
$900.00 	0.41	VS1	I	76.4	54	Average
$824.00 	0.41	VS1	I	69.5	58	Good
$914.00 	0.42	VS1	I	69.7	56	Average
$940.00 	0.39	VVS2	I	66.7	55	Average
$1,219.00 	0.47	VVS1	I	68.3	59	Good
$1,169.00 	0.48	SI1	H	66.8	60	Premium
$1,103.00 	0.47	SI1	H	68.5	59	Good
$900.00 	0.41	SI1	H	71.3	57	Average
$1,181.00 	0.47	VS2	H	68.2	56	Average
$1,034.00 	0.45	VS2	H	68.9	57	Average
$1,034.00 	0.45	VS2	H	70.4	54	Average
$931.00 	0.41	VS2	H	96.9	58	Poor
$1,038.00 	0.43	VS1	H	69.7	58	Good
$994.00 	0.43	VS1	H	64.9	59	Good
$1,071.00 	0.45	VS1	H	71.7	57	Average
$1,277.00 	0.48	VS1	H	68.5	57	Average
$1,313.00 	0.46	VVS2	H	69.5	61	Premium
$1,313.00 	0.46	VVS2	H	71	58	Good
$879.00 	0.37	VVS2	H	68	55	Average
$978.00 	0.4	VVS2	H	68.8	58	Good
$1,028.00 	0.38	VVS2	H	67.4	56	Average
$1,011.00 	0.42	VVS2	H	69.3	59	Good
$1,108.00 	0.45	VVS2	H	69.7	56	Average
$1,159.00 	0.42	VVS1	H	68	58	Good
$1,112.00 	0.44	VVS1	H	67.2	60	Premium
$1,373.00 	0.47	VVS1	H	62.2	67	Ideal
$1,165.00 	0.47	VVS1	H	62.1	64	Ideal
$1,144.00 	0.44	VVS1	H	68.7	57	Average
$923.00 	0.36	VVS1	H	66.1	59	Good
$714.00 	0.31	SI1	G	65.7	56	Average
$1,181.00 	0.47	SI1	G	69.4	59	Good
$971.00 	0.41	SI1	G	66.4	57	Average
$961.00 	0.43	SI1	G	68.9	59	Good
$818.00 	0.37	SI1	G	67	59	Good
$1,276.00 	0.46	VS2	G	61.6	65	Premium
$994.00 	0.43	VS2	G	68.4	53	Average
$963.00 	0.41	VS2	G	64.7	56	Average
$1,071.00 	0.45	VS2	G	66.7	57	Average
$1,009.00 	0.44	VS2	G	68.8	60	Premium
$1,054.00 	0.44	VS2	G	67.3	56	Average
$726.00 	0.32	VS2	G	67.6	57	Average
$982.00 	0.44	VS2	G	67.5	59	Good
$1,021.00 	0.42	VS2	G	66.5	60	Premium
$775.00 	0.36	VS2	G	66.7	59	Good
$820.00 	0.33	VS1	G	67.9	59	Good
$1,009.00 	0.4	VS1	G	66.8	57	Average
$1,077.00 	0.44	VS1	G	65.3	56	Average
$787.00 	0.32	VS1	G	66.8	58	Good
$1,144.00 	0.45	VS1	G	69.7	58	Good
$1,094.00 	0.45	VS1	G	65.2	59	Good
$1,144.00 	0.45	VS1	G	70.5	57	Average
$1,395.00 	0.48	VS1	G	69.9	58	Good
$1,462.00 	0.48	VS1	G	69.5	59	Good
$1,395.00 	0.48	VS1	G	69.2	59	Good
$1,011.00 	0.43	VS1	G	63.9	55	Average
$1,351.00 	0.46	VS1	G	68.3	57	Average
$1,351.00 	0.46	VS1	G	63.4	57	Average
$1,144.00 	0.45	VS1	G	67	56	Average
$1,018.00 	0.38	VS1	G	62.1	56	Average
$939.00 	0.37	VVS2	G	65.7	55	Average
$1,450.00 	0.47	VVS2	G	62.8	62	Ideal
$1,039.00 	0.41	VVS2	G	67	57	Average
$1,408.00 	0.47	VVS2	G	67.8	58	Good
$970.00 	0.47	VVS2	G	70.9	74	Premium
$1,022.00 	0.46	VVS1	G	68.7	79	Good
$818.00 	0.38	VVS1	G	67.5	63	Ideal
$881.00 	0.31	VVS1	G	63.4	59	Good
$898.00 	0.32	VVS1	G	61.2	60	Premium
$1,240.00 	0.41	VVS1	G	68.8	58	Good
$1,030.00 	0.37	VVS1	G	61.4	59	Good
$1,181.00 	0.46	VVS1	G	65.2	57	Average
$1,166.00 	0.43	VVS1	G	69.3	55	Average
$1,194.00 	0.4	IF	G	67.4	58	Good
$862.00 	0.41	SI2	F	65.9	55	Average
$1,086.00 	0.49	SI2	F	66	59	Good
$1,071.00 	0.48	SI2	F	67.5	56	Average
$1,200.00 	0.46	SI1	F	65.8	57	Average
$963.00 	0.41	SI1	F	69.5	58	Good
$1,219.00 	0.47	SI1	F	60.2	64	Good
$1,238.00 	0.48	SI1	F	68.6	55	Average
$1,027.00 	0.44	SI1	F	68.4	58	Good
$735.00 	0.33	SI1	F	68.4	56	Average
$1,009.00 	0.4	VS2	F	68.2	57	Average
$1,036.00 	0.39	VS2	F	67.5	56	Average
$1,080.00 	0.39	VS2	F	66.5	59	Good
$1,027.00 	0.44	VS2	F	56.1	64	Average
$1,195.00 	0.45	VS2	F	67.4	59	Good
$1,072.00 	0.41	VS2	F	67.9	58	Good
$1,308.00 	0.47	VS2	F	66.1	59	Good
$848.00 	0.37	VS2	F	68.5	56	Average
$1,415.00 	0.46	VS2	F	61.1	61	Premium
$1,455.00 	0.46	VS1	F	65	60	Premium
$1,218.00 	0.45	VS1	F	68.7	60	Premium
$1,389.00 	0.46	VS1	F	70	56	Average
$909.00 	0.37	VS1	F	62.8	52	Poor
$909.00 	0.37	VS1	F	68.1	59	Good
$909.00 	0.37	VS1	F	63.5	55	Average
$1,080.00 	0.38	VS1	F	68	57	Average
$1,435.00 	0.48	VS1	F	68.6	59	Good
$1,412.00 	0.47	VS1	F	65.5	57	Average
$894.00 	0.36	VS1	F	68.1	56	Average
$878.00 	0.35	VS1	F	67	57	Average
$1,139.00 	0.48	VS1	F	79.8	66	Good
$961.00 	0.45	VS1	F	58.1	73	Good
$1,071.00 	0.4	VS1	F	68.3	55	Average
$823.00 	0.36	VS1	F	65	58	Good
$1,126.00 	0.43	VS1	F	71.6	58	Good
$1,126.00 	0.43	VS1	F	68.1	58	Good
$1,249.00 	0.43	VVS2	F	64.5	58	Good
$908.00 	0.34	VVS2	F	70.6	53	Average
$1,097.00 	0.41	VVS2	F	67.2	56	Average
$1,172.00 	0.42	VVS2	F	62.3	61	Premium
$941.00 	0.36	VVS2	F	64.5	53	Average
$1,538.00 	0.49	VVS2	F	65.6	60	Premium
$1,216.00 	0.39	VVS2	F	69.1	57	Average
$1,216.00 	0.39	VVS2	F	69.4	58	Good
$857.00 	0.31	VVS2	F	69	59	Good
$892.00 	0.31	VVS2	F	67.5	58	Good
$1,561.00 	0.47	VVS2	F	67.9	59	Good
$1,513.00 	0.48	VVS2	F	68.2	58	Good
$1,143.00 	0.38	VVS2	F	68.9	58	Good
$1,464.00 	0.46	VVS2	F	70.7	56	Average
$1,236.00 	0.44	VVS2	F	57	63	Average
$1,540.00 	0.46	VVS1	F	72.1	55	Average
$1,267.00 	0.38	VVS1	F	67.8	58	Good
