Number of Units	Production Time (min)	Residual Production Time (min)	StdErr Indiv Production Time (min)	Lower 95% Indiv Production Time (min)	Upper 95% Indiv Production Time (min)	Pred Formula Production Time (min)
120	462	-2.871552325	122.2452779	218.6569238	711.0861808	464.8715523
240	800	42.00770686	120.7569946	514.7752211	1001.209365	757.9922931
310	879	-49.97939195	121.1094573	685.0524236	1172.90636	928.979392
130	422	-67.29828073	122.0216004	243.5341619	735.0623996	489.2982807
200	704	43.71462047	120.9608782	416.6576649	903.9130941	660.2853795
220	694	-15.13883634	120.8221179	465.7905992	952.4870735	709.1388363
170	495	-92.00519433	121.3064984	342.6813648	831.3290239	587.0051943
170	305	-282.0051943	121.3064984	342.6813648	831.3290239	587.0051943
190	709	73.14134887	121.0577983	392.0357294	879.6815729	635.8586511
120	455	-9.871552325	122.2452779	218.6569238	711.0861808	464.8715523
220	495	-214.1388363	120.8221179	465.7905992	952.4870735	709.1388363
340	1160	157.7404229	121.5353911	757.474734	1247.04442	1002.259577
300	835	-69.55266355	121.0039633	660.8381709	1148.267156	904.5526636
280	825	-30.69920674	120.8480005	612.2988393	1099.099574	855.6992067
340	1100	97.74042285	121.5353911	757.474734	1247.04442	1002.259577
260	757	-49.84574994	120.7656274	563.6112905	1050.080209	806.8457499
80	540	172.8353613	123.3166639	118.792128	615.5371494	367.1646387
90	449	57.40863288	123.0225392	143.811254	639.3714802	391.5913671
90	224	-167.5913671	123.0225392	143.811254	639.3714802	391.5913671
270	861	29.72752166	120.7976027	587.9736174	1074.571339	831.2724783
240	641	-116.9922931	120.7569946	514.7752211	1001.209365	757.9922931
250	898	115.5809785	120.7520893	539.2118292	1025.626214	782.4190215
460	1208	-87.38031797	124.840484	1043.938676	1546.82196	1295.380318
320	1056	102.5938797	121.2332318	709.2298573	1197.582383	953.4061204
120	359	-105.8715523	122.2452779	218.6569238	711.0861808	464.8715523
200	720	59.71462047	120.9608782	416.6576649	903.9130941	660.2853795
440	1080	-166.5268612	124.1164251	996.5435489	1496.510174	1246.526861
400	1264	115.1800524	122.8731881	901.3406429	1396.299252	1148.819948
180	908	296.5680773	121.1730224	367.3769277	855.4869178	611.4319227
240	832	74.00770686	120.7569946	514.7752211	1001.209365	757.9922931
120	458	-6.871552325	122.2452779	218.6569238	711.0861808	464.8715523
360	952	-99.11303395	121.9098993	805.5738927	1296.652175	1051.113034
490	1460	91.33949683	126.051352	1114.780048	1622.540958	1368.660503
480	1498	153.7662252	125.6312992	1091.199349	1597.2682	1344.233775
320	1011	57.59387965	121.2332318	709.2298573	1197.582383	953.4061204
430	1102	-120.1001328	123.7797995	972.794819	1471.405447	1222.100133
330	765	-212.8328488	121.3752311	733.3705845	1222.295113	977.8328488
170	494	-93.00519433	121.3064984	342.6813648	831.3290239	587.0051943
330	973	-4.83284875	121.3752311	733.3705845	1222.295113	977.8328488
260	906	99.15425006	120.7656274	563.6112905	1050.080209	806.8457499
180	764	152.5680773	121.1730224	367.3769277	855.4869178	611.4319227
70	387	44.26208968	123.6281053	93.73812454	591.7376961	342.7379103
450	1255	-15.95358956	124.4700346	1020.258071	1521.649108	1270.95359
200	493	-167.2853795	120.9608782	416.6576649	903.9130941	660.2853795
90	470	78.40863288	123.0225392	143.811254	639.3714802	391.5913671
300	995	90.44733645	121.0039633	660.8381709	1148.267156	904.5526636
70	385	42.26208968	123.6281053	93.73812454	591.7376961	342.7379103
