x	y	Residuals y
3.98238772	22.221252	-6.7039494
3.2281989	21.8748534	-4.3314436
4.48734633	29.80231	-0.9433031
-1.8008813	14.2360711	6.15996604
-0.1744027	9.84931204	-4.0903642
-1.5903128	14.5245663	5.68934699
0.97543546	11.1833996	-6.9015249
5.78806735	42.0772723	6.64246736
4.64865568	32.1411867	0.81404183
3.74712886	18.5650876	-9.5119889
5.85309863	44.5075933	8.83834599
-1.4071289	8.99918241	-0.4964279
2.16605383	21.2130902	-1.1640983
2.96285194	12.9655376	-12.284165
6.33393185	48.2050695	10.8023841
3.7321243	25.4259004	-2.5970836
0.25153864	9.62936445	-5.8458605
2.64858914	15.1181546	-8.998608
4.8563522	30.2685915	-1.807314
5.33182217	42.2019018	8.41189318
-0.9594945	11.6434112	0.53404708
-0.8071753	10.4834814	-1.1750046
-0.3549404	11.1142051	-2.1746198
-1.4852397	7.67563875	-1.5383768
5.27323035	38.9487892	5.37000826
6.42894776	48.7155284	10.9703039
-1.0772309	12.9244421	2.23952599
-1.2786522	13.9222465	3.96346832
0.89900223	10.207709	-7.6016683
1.66834419	8.68103395	-11.901876
-0.1760399	7.83905238	-6.0947216
1.82363573	11.3050429	-9.837704
-2.7512701	13.8947537	9.24486788
1.26272347	11.6349329	-7.4856854
6.07327336	45.1916071	8.72861424
6.84727877	60.2917796	21.0384421
-1.8101634	13.5262181	5.48357595
4.9764771	37.1579467	4.6489823
2.6806929	15.7520174	-8.4804815
1.82295159	14.2203624	-6.9199181
5.03337347	39.1032862	6.38920635
4.54137755	34.2154927	3.2750932
5.26157463	37.7022583	4.16549707
5.93382626	48.3668449	12.4065687
-2.425005	15.0194397	9.19334502
2.93938546	22.6890534	-2.4760506
-1.9502089	16.0596735	8.52190505
6.82931375	56.4521612	17.2635889
0.05649304	14.2357665	-0.5363051
-1.7239323	14.9575315	6.60402
4.04448428	30.3943804	1.24531648
-2.391766	15.4251694	9.47924591
-2.3240915	14.886402	8.69650701
-0.0529599	8.68017039	-5.6973155
2.05332069	6.01457499	-15.956202
1.90143162	15.4213647	-6.0018419
-2.0098829	14.8904975	7.56785814
-2.8948184	19.967519	15.835135
1.65862585	17.4746029	-3.0732716
2.08322755	14.172089	-7.9065048
3.17003707	21.3541123	-4.6425072
-0.6474889	9.91104533	-2.3231215
5.2146261	36.2856548	2.91814637
1.09482138	13.4537735	-5.0615457
4.99316666	31.1392428	-1.4298886
-0.5657411	10.3097477	-2.2191256
-2.8038447	16.9954972	12.5351466
1.76206467	13.4641104	-7.4566684
-0.9872881	10.3492506	-0.6599157
-2.7842578	18.7828364	14.2518735
3.86379157	22.8939707	-5.6036832
-0.9582261	7.5944909	-3.5194461
1.91847984	10.6456825	-10.838984
1.47759998	8.32234841	-11.572915
3.33585128	21.5986511	-4.9957405
2.95066946	23.6406988	-1.5650849
3.40019305	22.1254021	-4.7009461
3.56072924	23.1332663	-4.2718263
-1.2340913	10.6887141	0.56929072
3.97868802	28.7507899	-0.1610738
3.91623728	26.3295934	-2.357131
4.21382291	29.0611643	-0.6983774
0.43362372	11.4174138	-4.7142408
3.96043628	26.1085628	-2.7375021
2.43143744	18.6730893	-4.660826
0.66365443	10.973977	-5.9869547
4.69419336	29.9134282	-1.5778832
2.50261057	14.3200091	-9.2704904
0.08784253	13.585592	-1.2994968
4.35946068	30.9922106	0.70763433
2.2771786	18.1781868	-4.5996143
6.03279316	45.8298554	9.51279649
-2.6970972	16.5846635	11.7394806
-2.8719893	17.8773266	13.662642
0.95881344	11.0584395	-6.9665614
6.3540978	53.0845585	15.6091735
2.565874	15.4655577	-8.3530109
2.49824918	12.1362398	-11.438537
0.17017025	7.74497954	-7.4369066
4.73250786	33.553369	1.92393109
