Units	Total Cost	Total Labor Hours	Total Material Cost ($)	Average Cost ($/unit)	Material Cost ($/unit)	1/Units	Labor Hours (Hrs/unit)	Machine Hours (Hrs/unit)	Break_Down (per run)	Detail	Rush	Plant	Plant Dummy	Plant Dummy * Mat Cost/Unit	Residual Average Cost ($/unit)
110	5007.2	60.5	78.7556	45.52	0.71596	0.00909091	0.55	0.017	0	DETAIL	RUSH	NEW	1	0.71596	10.7060853
130	4317.3	56.29	111.11672	33.21	0.854744	0.00769231	0.433	0.017	1	NONE	RUSH	OLD	0	0	-2.4895476
180	9025.2	90	159.56514	50.14	0.886473	0.00555556	0.5	0.017	1	DETAIL	NONE	NEW	1	0.886473	14.8619402
170	4807.6	45.39	151.30731	28.28	0.890043	0.00588235	0.267	0.017	0	NONE	RUSH	OLD	0	0	-7.5156333
120	4723.2	66	108.27936	39.36	0.902328	0.00833333	0.55	0.017	0	DETAIL	NONE	OLD	0	0	3.53092633
190	10242.9	76	173.90814	53.91	0.915306	0.00526316	0.4	0.033	1	NONE	NONE	OLD	0	0	18.0455996
110	4343.9	53.13	106.051	39.49	0.9641	0.00909091	0.483	0.017	1	DETAIL	NONE	NEW	1	0.9641	4.00063552
260	10020.4	99.58	251.27102	38.54	0.966427	0.00384615	0.383	0.017	6	DETAIL	NONE	OLD	0	0	2.53644558
300	12348	125.1	293.1396	41.16	0.977132	0.00333333	0.417	0.017	0	NONE	RUSH	NEW	1	0.977132	5.63516176
110	4867.5	47.63	112.73702	44.25	1.024882	0.00909091	0.433	0.017	0	NONE	RUSH	OLD	0	0	8.08732809
400	12148	120	416.772	30.37	1.04193	0.0025	0.3	0.017	0	DETAIL	NONE	NEW	1	1.04193	-5.3312217
2400	61656	679.2	2502.3	25.69	1.042625	0.00041667	0.283	0.017	10	DETAIL	RUSH	OLD	0	0	-10.520969
1200	35724	339.6	1256.3712	29.77	1.046976	0.00083333	0.283	0.033	12	NONE	RUSH	OLD	0	0	-6.4528129
300	9669	90	318.312	32.23	1.06104	0.00333333	0.3	0.017	0	DETAIL	NONE	NEW	1	1.06104	-3.5232401
2700	66285	675	2948.616	24.55	1.09208	0.00037037	0.25	0.017	0	DETAIL	NONE	NEW	1	1.09208	-11.287733
500	13100	150	553.6245	26.2	1.107249	0.002	0.3	0.017	7	DETAIL	NONE	OLD	0	0	-10.186879
150	5440.5	64.95	168.5997	36.27	1.123998	0.00666667	0.433	0.017	0	DETAIL	NONE	NEW	1	1.123998	0.34538501
2200	70268	477.4	2503.116	31.94	1.13778	0.00045455	0.217	0.017	17	DETAIL	NONE	OLD	0	0	-4.529986
500	10475	83.5	572.026	20.95	1.144052	0.002	0.167	0.017	0	NONE	RUSH	NEW	1	1.144052	-15.029203
170	6726.9	79.39	195.6394	39.57	1.15082	0.00588235	0.467	0.033	0	DETAIL	NONE	OLD	0	0	3.06451843
150	5931	62.55	173.5128	39.54	1.156752	0.00666667	0.417	0.017	0	DETAIL	NONE	NEW	1	1.156752	3.52622696
180	5270.4	81	213.53292	29.28	1.186294	0.00555556	0.45	0.017	0	DETAIL	RUSH	NEW	1	1.186294	-6.8141879
260	9622.6	78	312.61516	37.01	1.202366	0.00384615	0.3	0.017	0	NONE	RUSH	NEW	1	1.202366	0.87206332
120	5802	84	145.07004	48.35	1.208917	0.00833333	0.7	0.05	0	NONE	RUSH	OLD	0	0	11.6863754
160	5580.8	61.28	194.44944	34.88	1.215309	0.00625	0.383	0.017	0	DETAIL	NONE	OLD	0	0	-1.8010239
160	5374.4	77.28	194.688	33.59	1.2168	0.00625	0.483	0.05	0	NONE	RUSH	OLD	0	0	-3.0950825
190	5905.2	88.73	233.89912	31.08	1.231048	0.00526316	0.467	0.017	0	DETAIL	NONE	NEW	1	1.231048	-5.1360105
190	7731.1	79.23	235.38834	40.69	1.238886	0.00526316	0.417	0.017	1	DETAIL	NONE	NEW	1	1.238886	4.45265402
290	8070.7	87	361.09785	27.83	1.245165	0.00344828	0.3	0.033	3	DETAIL	NONE	OLD	0	0	-8.9322935
160	7168	53.28	201.20736	44.8	1.257546	0.00625	0.333	0.017	1	NONE	RUSH	NEW	1	1.257546	8.51186055
