Error	X	Residuals
-0.518656	100	-0.1094335
0.77513436	100	1.18435683
-1.4841458	100	-1.0749233
-0.276871	200	-0.4444101
-0.5196678	200	-0.6872069
1.36245061	200	1.19491149
1.70627812	200	1.53873899
0.65978902	200	0.4922499
2.25142028	200	2.08388115
-0.2148053	200	-0.3823444
-1.8635631	200	-2.0311022
-0.1812674	200	-0.3488065
0.68044834	200	0.51290921
0.64843631	200	0.48089719
-1.0041583	200	-1.1716975
-0.1395375	200	-0.3070766
0.22542069	200	0.05788157
-0.8918039	200	-1.0593431
-0.1184768	200	-0.2860159
-0.2395653	200	-0.4071045
0.24391614	200	0.07637702
0.06595054	200	-0.1015886
0.11663533	200	-0.0509038
-0.2413071	200	-0.4088463
-2.1754252	200	-2.3429643
-0.9615258	200	-1.1290649
0.00559342	200	-0.1619457
1.58677733	200	1.4192382
-0.0184251	200	-0.1859643
0.08173937	200	-0.0857998
0.10462959	200	-0.0629095
-0.5710267	200	-0.7385658
1.23181133	200	1.0642722
0.38150427	200	0.21396514
0.54715096	200	0.37961183
0.15772919	200	-0.0098099
0.74006174	200	0.57252261
0.52446246	200	0.35692333
1.35578677	200	1.18824764
0.24287185	200	0.07533273
1.80127579	200	1.63373667
1.34370849	200	1.17616936
-0.525102	200	-0.6926412
0.30282827	200	0.13528914
-0.1834628	200	-0.3510019
-1.8053342	200	-1.9728733
0.09714661	200	-0.0703925
0.95399322	200	0.78645409
-1.7783537	200	-1.9458928
-0.1809848	200	-0.3485239
-0.1114185	200	-0.2789577
-1.9701764	200	-2.1377156
-1.0018722	200	-1.1694113
2.57625351	200	2.40871438
-1.2293288	200	-1.396868
-1.5101313	200	-1.6776705
-0.1224726	200	-0.2900117
0.3710194	200	0.20348027
2.03450334	200	1.86696421
1.28644127	200	1.11890215
1.47267663	200	1.3051375
-1.0645027	200	-1.2320418
-0.0042253	200	-0.1717644
0.00436172	200	-0.1631774
0.66852682	200	0.50098769
-0.5961968	200	-0.7637359
1.10286162	200	0.9353225
1.26943837	200	1.10189925
1.0022904	200	0.83475127
0.3453887	200	0.17784958
1.55362781	200	1.38608868
1.32287256	200	1.15533344
1.11356879	200	0.94602967
-0.4733588	200	-0.6408979
-0.7659975	200	-0.9335367
1.10755287	200	0.94001375
-0.1648055	200	-0.3323446
2.4102298	200	2.24269068
-1.0446167	200	-1.2121558
0.42072997	200	0.25319085
2.98815169	200	2.82061257
0.98253311	200	0.81499398
1.00584587	200	0.83830674
0.53345257	200	0.36591344
0.05164382	200	-0.1158953
-4.3404913	200	-4.5080304
0.63072091	200	0.46318178
0.61026257	200	0.44272344
-1.4736229	200	-1.641162
-0.4780931	200	-0.6456322
2.30616266	200	2.13862354
0.40197782	200	0.2344387
-0.1744526	200	-0.3419917
0.65321009	200	0.48567096
-0.9759979	200	-1.143537
-0.5438811	200	-0.7114202
1.57203009	200	1.40449096
-0.4204751	200	-0.5880142
0.70749158	200	0.53995245
-1.3993967	200	-1.5669358
0.74612596	200	0.57858683
-0.4081239	200	-0.575663
-1.7535543	200	-1.9210934
