Sales ($000)	Advertising ($000)
750	100
780	150
986	208
867	208
865	208
746	106
947	195
778	151
888	227
703	101
893	226
785	134
735	110
937	199
788	171
822	164
831	148
914	176
900	211
1018	250
880	188
798	148
893	194
640	104
902	206
716	103
812	140
972	233
808	151
779	148
875	227
893	194
970	215
784	160
846	122
648	103
984	233
880	155
766	153
715	103
753	119
831	176
703	120
880	197
788	148
861	208
928	225
698	148
791	146
698	123
793	122
918	226
738	118
830	228
708	118
700	133
770	118
707	118
1033	248
1078	245
