Price ($000)	Square Feet	Price ($/SqFt)	1/Sq Ft	Lot Size
225	868	259.21659	0.00115207	6533
212	1021	207.639569	0.00097943	.
210	1164	180.412371	0.00085911	6882
330	1598	206.508135	0.00062578	.
165	888	185.810811	0.00112613	6000
300	1210	247.933884	0.00082645	9170
320	1295	247.104247	0.0007722	.
210	1360	154.411765	0.00073529	14000
255	1440	177.083333	0.00069444	7110
229	1567	146.139119	0.00063816	6098
296	1767	167.515563	0.00056593	13068
450	1796	250.556793	0.00055679	148000
448	1940	230.927835	0.00051546	6380
285	1963	145.18594	0.00050942	3485
418	2022	206.726014	0.00049456	23958
319	2038	156.526006	0.00049068	7405
345	2690	128.252788	0.00037175	25265
272	2126	127.939793	0.00047037	6098
342	2163	158.113731	0.00046232	6300
455	2190	207.762557	0.00045662	3501
580	2320	250	0.00043103	4000
496	2420	204.958678	0.00041322	7420
575	2452	234.502447	0.00040783	248000
625	2690	232.342007	0.00037175	5000
495	2930	168.94198	0.0003413	12632
524	3260	160.736196	0.00030675	11191
355	3049	116.431617	0.00032798	.
255	1620	157.407407	0.00061728	.
