datadate	Fiscal Year	tic	Company Name	Nation	Total Assets	Return on Assets	Net Income	Cost of Goods Sold	Total Revenue	Expense: R&D	Expense: Admin, Selling	# Employees	Description	Log Total Assets	Log R&D
20110430	2010	AMSWA	AMERICAN SOFTWARE  -CL A	USA	$104.83 	0.070245727	$7.36 	$38.95 	$85.59 	$7.39 	$35.31 	297	American Software, Inc., together with its subsidiaries, develops, markets, and supports a portfolio of software and services that deliver enterprise management and collaborative supply chain solutions worldwide.	4.652359069	1.999857062
20110131	2010	ADSK	AUTODESK INC	USA	$2,787.60 	0.076051083	$212.00 	$91.20 	$1,951.80 	$496.20 	$1,473.00 	6800	Autodesk, Inc. operates as a design software and service company.	7.93293629	6.206979071
20100630	2010	ADP	AUTOMATIC DATA PROCESSING	USA	$26,862.20 	0.045096828	$1,211.40 	$4,729.70 	$8,927.70 	$513.90 	$2,120.60 	47000	Automatic Data Processing, Inc. provides technology-based outsourcing solutions to employers, and vehicle retailers and manufacturers worldwide. It operates in three segments: Employer Services, Professional Employer Organization Services, and Dealer Services.	10.19847537	6.242028694
20101231	2010	BTEC	BANCTEC INC-REDH	USA	$222.04 	-0.100717448	($22.36)	$165.25 	$254.21 	$5.09 	$82.69 		BancTec, Inc. provides payment processing, and document and content processing services and solutions to banking, insurance, government, healthcare, utilities, telecommunications, and transportation and logistics industries primarily in North America and Europe.	5.402844035	1.627867048
20110331	2010	BT	BT GROUP PLC	GBR	$37,776.99 	0.063806298	$2,410.41 	$23,497.48 	$32,816.56 	$1,336.80 		92600	BT Group plc provides communications solutions and services worldwide. It engages in the provision of networked IT services; and local, national, and international telecommunications services for use at home, at work, and on the move.	10.53945552	7.198032481
20110331	2010	ACXM	ACXIOM CORP	USA	$1,306.63 	-0.017715106	($23.15)	$777.74 	$1,159.97 	$11.60 	$159.88 	6600	Acxiom Corporation provides marketing technology and services that enable marketers to manage audience, personalize consumer experiences, and create customer relationships. It operates in two segments, Information Services and Information Products.	7.175202756	2.451005098
20101231	2010	CTIG	CTI GROUP HOLDINGS INC	USA	$12.43 	-0.267717802	($3.33)	$4.84 	$15.24 	$2.44 	$9.74 	124	CTI Group (Holdings) Inc.	2.520193353	0.891998039
20110331	2010	CA	CA INC	USA	$12,414.00 	0.066618334	$827.00 	$581.00 	$4,429.00 	$471.00 	$2,208.00 	13400	CA Technologies, together with its subsidiaries, designs, develops, markets, delivers, licenses, and supports information technology (IT) management software products that operate on a range of hardware platforms and operating systems.	9.426580147	6.154858094
20101231	2010	VERA	VERAMARK TECHNOLOGIES INC	USA	$12.87 	0.047463684	$0.61 	$2.23 	$13.17 	$1.39 	$8.90 	95	Veramark Technologies, Inc. designs and produces communications management and operation support software for users and providers of telecommunication services in the United States and internationally.	2.555132095	0.332177312
20110331	2010	NTT	NIPPON TELEGRAPH & TELEPHONE	JPN	$237,621.99 	0.025914748	$6,157.91 	$49,950.21 	$124,516.71 	$3,240.95 	$36,101.78 	219343	Nippon Telegraph and Telephone Corporation, together with its subsidiaries, provides telecommunications services to residential and business customers in Japan.	12.37843641	8.083621776
20101231	2010	T	AT&T INC	USA	$268,488.00 	0.073984685	$19,864.00 	$52,263.00 	$124,280.00 	$1,345.00 	$33,065.00 	266590	AT&T Inc., together with its subsidiaries, provides telecommunication services to consumers, businesses, and other service providers worldwide.	12.5005615	7.204149292
20101231	2010	COVR	COVER-ALL TECHNOLOGIES INC	USA	$19.51 	0.15128376	$2.95 	$9.94 	$17.46 	$0.85 	$4.17 	82	Cover-All Technologies Inc., through its subsidiary, Cover-All Systems, Inc., provides software products and services for the property and casualty insurance industry primarily in the United States and Puerto Rico.	2.97108091	-0.166054584
20100731	2010	3SNDTF	SAND TECHNOLOGY INC  -CL A	CAN	$2.06 	-0.352455032	($0.73)	$1.16 	$6.38 	$2.10 	$5.52 	44	Sand Technology Inc., together with its subsidiaries, engages in the design, development, marketing, and support of software products and services that enable users to retrieve usable business information from large amounts of data.	0.721248611	0.743364897
20100630	2010	MSFT	MICROSOFT CORP	USA	$86,113.00 	0.217853286	$18,760.00 	$9,888.00 	$62,484.00 	$8,714.00 	$25,932.00 	89000	Microsoft Corporation develops, manufactures, licenses, and supports a range of software products and services for various computing devices worldwide. The company's Windows & Windows Live Division segment offers Windows operating system, Windows Live, and Internet Explorer.	11.36341567	9.072686207
20110531	2010	ORCL	ORACLE CORP	USA	$73,535.00 	0.116230367	$8,547.00 	$8,030.00 	$35,622.00 	$4,519.00 	$12,188.00 	108000	Oracle Corporation, an enterprise software company, develops, manufactures, markets, distributes, and services database and middleware software, applications software, and hardware systems worldwide.	11.20551676	8.416046009
20101231	2010	1027B	SUNGARD DATA SYSTEMS INC	USA	$12,968.00 	-0.043954349	($570.00)	$1,990.00 	$4,992.00 	$370.00 	$1,511.00 	20100	SunGard Data Systems Inc. provides software and processing solutions in the United States and internationally.	9.470240063	5.913503006
20101130	2010	ADBE	ADOBE SYSTEMS INC	USA	$8,141.15 	0.095156113	$774.68 	$211.43 	$3,800.00 	$680.33 	$2,308.03 	9117	Adobe Systems Incorporated operates as a diversified software company in the Americas, Europe, the Middle East, Africa, and Asia.	9.004686481	6.522580914
20101231	2010	3BCST	BROADCAST INTERNATIONAL INC	USA	$10.71 	-1.742670401	($18.66)	$4.38 	$7.31 	$2.71 	$7.11 	41	Broadcast International, Inc. engages in the installation, management, and support of private communication networks for large organizations in the United States.	2.371177885	0.99768637
20110131	2010	CMVT	COMVERSE TECHNOLOGY INC	USA	$2,813.92 	-0.047024047	($132.32)	$632.68 	$1,623.43 	$253.09 	$942.40 	5900	Comverse Technology, Inc., through its subsidiaries, provides software-based products, systems, and related services that offer prepaid, postpaid, and converged billing and active customer management for wireless, wireline, and cable network operators.	7.942334519	5.533741206
20100930	2010	CMPD	COMPUMED INC	USA	$0.74 	-0.510121457	($0.38)	$0.74 	$1.76 	$0.01 	$1.25 	10	CompuMed, Inc., a medical telemedicine and ehealth provider, focuses on the diagnosis, monitoring, and management of cardiovascular diseases and osteoporosis.	-0.299754654	-5.298317367
20101231	2010	CDNS	CADENCE DESIGN SYSTEMS INC	USA	$1,732.12 	0.073053999	$126.54 	$88.10 	$935.95 	$376.41 	$758.17 	4600	Cadence Design Systems, Inc. develops electronic design automation software and hardware for customers worldwide. Its products and services are used to design and develop integrated circuits (ICs), and electronics systems.	7.457099062	5.930686945
20101231	2010	EBIX	EBIX INC	USA	$303.30 	0.194589515	$59.02 	$29.60 	$132.19 	$13.61 	$45.54 	1179	Ebix, Inc. provides on-demand software and e-commerce solutions to the insurance industry.	5.714722415	2.610584366
20101231	2010	TEF	TELEFONICA SA	ESP	$172,198.45 	0.078343285	$13,490.59 	$58,346.45 	$81,762.25 	$1,057.54 		285106	Telefonica, S.A. provides fixed and mobile telephony services primarily in Spain, rest of Europe, and Latin America.	12.05640286	6.96369979
20101231	2010	3ANTS	ANTS SOFTWARE INC	USA	$29.20 	-1.453013699	($42.43)	$5.83 	$6.18 	$3.32 	$16.15 	68	ANTs software, inc. provides database migration solutions. The company develops and sells ANTs Compatibility Server (ACS), a middleware solution that accelerates database consolidation between database vendors, enabling application portability.	3.374168709	1.200867989
20110331	2010	TIGR	TIGERLOGIC CORP	USA	$40.04 	-0.074404316	($2.98)	$1.37 	$13.67 	$5.96 	$14.77 	97	TigerLogic Corporation engages in the design, development, sale, and support of software infrastructure, Internet search enhancement tools, and a social media content aggregation platform in North America, the United Kingdom, France, and Germany.	3.689829003	1.784399115
20110331	2010	BMC	BMC SOFTWARE INC	USA	$4,485.40 	0.101707763	$456.20 	$323.30 	$2,065.30 	$176.50 	$1,001.00 	6200	BMC Software, Inc. develops software that provides system and service management solutions for enterprises in the United States and internationally. The company operates in two segments, Enterprise Service Management and Mainframe Service Management.	8.408582957	5.173320876
20110331	2010	VOD	VODAFONE GROUP PLC	GBR	$242,677.86 	0.052691441	$12,787.05 	$36,810.90 	$73,634.64 	$460.58 	$13,427.36 	83862	Vodafone Group plc provides mobile communications in Europe, Africa, the Asia Pacific, the Middle East, and the United States.	12.39949015	6.132482223
20100630	2010	3SOMD	STUDIO ONE MEDIA INC	USA	$2.87 	-1.856545961	($5.33)	$0.38 	$0.21 	$0.01 	$4.82 	27	Studio One Media, Inc. engages in the development and manufacture of an interactive audio/video recording and conferencing studio designed for installation in shopping malls and other pedestrian high traffic public areas in the United States.	1.055008651	-5.11599581
20101231	2010	COMT.1	COMAMTECH INC -OLD	CAN	$8.91 	-0.37432675	($3.34)	$0.03 	$1.26 	$0.83 	$4.43 	2	As of June 15, 2011, Comamtech Inc. was acquired by Decisionpoint Systems, Inc., in a reverse merger transaction. Comamtech Inc. engages in developing, marketing, and selling search technology in the United States, Europe, and Canada.	2.187398683	-0.181521877
20110331	2010	SYMC	SYMANTEC CORP	USA	$12,719.00 	0.046937652	$597.00 	$673.00 	$6,190.00 	$862.00 	$3,860.00 	18600	Symantec Corporation provides security, storage, and systems management solutions to secure and manage information. It operates in four segments: Consumer, Security and Compliance, Storage and Server Management, and Services.	9.450852218	6.759255271
20101231	2010	ZIXI	ZIX CORP	USA	$66.85 	0.616481182	$41.21 	$5.06 	$33.07 	$5.09 	$21.19 	123	Zix Corporation provides Internet-based applications in a Software-as-a-Service model to connect, protect, and deliver information, enabling the use of the Internet for applications requiring security in the healthcare, finance, insurance, and government sectors primarily in the United States.	4.202481221	1.627081348
20110331	2010	ERTS	ELECTRONIC ARTS INC	USA	$4,928.00 	-0.056006494	($276.00)	$1,383.00 	$3,589.00 	$1,153.00 	$2,201.00 	7645	Electronic Arts Inc. develops, markets, publishes, and distributes game software and content for video game consoles, personal computers, mobile phones, tablets and electronic readers, hand held game players, and the Internet.	8.502688505	7.05012252
20100930	2010	PMTC	PARAMETRIC TECHNOLOGY CORP	USA	$1,307.06 	0.018643311	$24.37 	$261.12 	$1,010.05 	$201.57 	$611.97 	5317	Parametric Technology Corporation develops, markets, and supports product lifecycle management (PLM) software solutions and services that help companies design products, manage product information, and improve product development processes worldwide.	7.17553868	5.306121832
20101231	2010	TI	TELECOM ITALIA SPA - NEW	ITA	$118,267.92 	0.035015876	$4,141.26 	$21,437.40 	$36,922.32 	$926.18 		84129	Telecom Italia S.p.A., together with its subsidiaries, provides fixed-line and mobile telecommunications, Internet, and media services. The company also operates in office and system solutions.	11.68070787	6.831064281
20101130	2010	PRGS	PROGRESS SOFTWARE CORP	USA	$936.82 	0.051846507	$48.57 	$68.35 	$530.33 	$90.64 	$310.09 	1576	Progress Software Corporation operates as an enterprise software company worldwide.	6.842494364	4.506928714
20110331	2010	THQI	THQ INC	USA	$774.41 	-0.17574525	($136.10)	$197.39 	$665.26 	$79.37 	$278.56 	1750	THQ Inc. engages in developing, publishing, and distributing interactive entertainment software for various game systems.	6.652094993	4.374170859
20101031	2010	SNPS	SYNOPSYS INC	USA	$3,286.54 	0.07213146	$237.06 	$191.73 	$1,380.66 	$449.23 	$881.99 	6707	Synopsys, Inc. provides technology solutions used to develop electronics and electronic systems worldwide.	8.097590923	6.10753278
20101231	2010	ASUR	ASURE SOFTWARE INC	USA	$5.84 	-0.194825223	($1.14)	$2.02 	$10.03 	$1.45 	$7.14 	56	Asure Software, Inc. provides workforce management software and services. Its software empowers small to mid-size organizations and divisions of large enterprises to operate efficiently, increase worker productivity, and reduce costs.	1.764045631	0.368109322
20101231	2010	MEDQ	MEDQUIST INC	USA	$323.92 	0.095860681	$31.05 	$249.57 	$375.24 	$12.81 	$52.58 	6500	MedQuist Inc. provides integrated clinical documentation solutions for healthcare system in the United States. It offers medical transcription technology and services, maintenance services, digital dictation, speech recognition, and electronic signature services.	5.780490397	2.550460281
20100630	2010	ADAT	AUTHENTIDATE HOLDING CORP	USA	$20.54 	-0.438327492	($9.01)	$2.87 	$6.75 	$1.86 	$11.47 	59	Authentidate Holding Corp. provides secure health information exchange, workflow management services, and telehealth solutions worldwide. The company's software and Web-based services eliminate paper and manual work steps from clinical and administrative processes.	3.022568928	0.622724716
20101231	2010	3INTZ	INTRUSION INC	USA	$1.00 	0.225548902	$0.23 	$1.98 	$5.59 	$1.40 	$3.31 	27	Intrusion Inc. develops, markets, and supports entity identification, data mining, regulated information compliance, data privacy protection, and network intrusion prevention/detection products in the United States.	0.001998003	0.332894415
20100930	2010	DWCH	DATAWATCH CORP	USA	$11.49 	0.033080874	$0.38 	$4.04 	$17.67 	$2.66 	$12.01 	93	Datawatch Corporation designs, develops, manufactures, markets, and supports business computer software products primarily in the United States and the United Kingdom.	2.441215961	0.97757396
20101231	2010	MGIC	MAGIC SOFTWARE ENTERPRISES	ISR	$111.95 	0.083742742	$9.38 	$46.88 	$88.58 	$2.07 	$27.79 	678	Magic Software Enterprises Ltd. develops, markets, and supports software development and deployment technology, and applications. It offers uniPaaS, an application platform for software development and deployment; and iBOLT, a platform for business integration and business process management.	4.718052343	0.728514324
20101231	2010	3DIRI	DIRECT INSITE CORP	USA	$6.71 	0.154064131	$1.03 	$7.93 	$9.05 	$1.75 		38	Direct Insite Corp., a software as a service provider (SaaS), markets Invoices On-Line, an integrated transaction based electronic invoice presentment and payment service that processes transactional data for invoice presentment purposes.	1.902853517	0.561328606
20101231	2010	EEE	EVERGREEN ENERGY INC	USA	$29.56 	-0.688341566	($20.35)	$15.95 	$0.40 	$0.89 		23	Evergreen Energy Inc. operates as a cleaner coal technology, energy production, and environmental solutions company in the United States. It operates two clean energy business units that own two proprietary technologies: K-Fuel, and the GreenCert suite of software and services.	3.386354435	-0.118783536
20110331	2010	CPWR	COMPUWARE CORP	USA	$2,038.38 	0.052709092	$107.44 	$238.78 	$928.93 	$69.20 	$489.50 	4396	Compuware Corporation provides software products, professional services, and application services to various commercial and government organizations.	7.619909182	4.237000863
20101231	2010	IACI	IAC/INTERACTIVECORP	USA	$3,439.55 	0.028887176	$99.36 	$593.82 	$1,636.82 	$65.10 	$873.80 	3200	IAC/InterActiveCorp engages in the Internet business in the United States and internationally. The company operates in four segments: Search, Match, ServiceMagic, and Media and Other.	8.143097091	4.175878465
20100731	2010	INTU	INTUIT INC	USA	$5,198.00 	0.110427087	$574.00 	$439.00 	$3,455.00 	$573.00 	$1,897.00 	7700	Intuit Inc. provides business and financial management solutions for small and medium-sized businesses, consumers, accounting professionals, and financial institutions in the United States, Canada, India, and the United Kingdom.	8.556029215	6.350885717
20101231	2010	3ATTUF	ATTUNITY LTD	ISR	$10.71 	-0.14058851	($1.51)	$0.74 	$10.08 	$2.48 	$8.17 	49	Attunity Ltd., together with its subsidiaries, provides software for real-time data integration and event capture applications worldwide.	2.370710922	0.909064687
20101231	2010	SPNS	SAPIENS INTERNATIONAL CORP	ISR	$55.07 	0.111714395	$6.15 	$23.27 	$52.24 	$3.29 	$15.60 	361	Sapiens International Corporation N.V. provides information technology (IT) solutions for the insurance industry. It primarily offers Sapiens INSIGHT, a suite of modular business software solutions for the property and casualty, life insurance, and pension markets.	4.008586944	1.191799003
20101231	2010	LNET	LODGENET INTERACTIVE CORP	USA	$444.01 	-0.026317212	($11.69)	$255.27 	$452.19 	$0.57 	$91.09 	1049	LodgeNet Interactive Corporation provides interactive media and connectivity solutions for the hospitality industry in the United States, Canada, and Mexico.	6.095838076	-0.567395975
