Price ($000)	Square Feet	Size Range	Price per Square Foot ($/SqFt)	1/Sq Ft
225	868	less than 1500	259.21659	0.00115207
212	1021	less than 1500	207.639569	0.00097943
210	1164	less than 1500	180.412371	0.00085911
330	1598	1500 to 2500	206.508135	0.00062578
165	888	less than 1500	185.810811	0.00112613
300	1210	less than 1500	247.933884	0.00082645
320	1295	less than 1500	247.104247	0.0007722
210	1360	less than 1500	154.411765	0.00073529
255	1440	less than 1500	177.083333	0.00069444
229	1567	1500 to 2500	146.139119	0.00063816
296	1767	1500 to 2500	167.515563	0.00056593
450	1796	1500 to 2500	250.556793	0.00055679
448	1940	1500 to 2500	230.927835	0.00051546
285	1963	1500 to 2500	145.18594	0.00050942
418	2022	1500 to 2500	206.726014	0.00049456
319	2038	1500 to 2500	156.526006	0.00049068
345	2690	more than 2500	128.252788	0.00037175
272	2126	1500 to 2500	127.939793	0.00047037
342	2163	1500 to 2500	158.113731	0.00046232
455	2190	1500 to 2500	207.762557	0.00045662
580	2320	1500 to 2500	250	0.00043103
496	2420	1500 to 2500	204.958678	0.00041322
575	2452	1500 to 2500	234.502447	0.00040783
625	2690	more than 2500	232.342007	0.00037175
495	2930	more than 2500	168.94198	0.0003413
524	3260	more than 2500	160.736196	0.00030675
355	3049	more than 2500	116.431617	0.00032798
255	1620	1500 to 2500	157.407407	0.00061728
190	1038	less than 1500	183.044316	0.00096339
241	1788	1500 to 2500	134.787472	0.00055928
362	2495	1500 to 2500	145.09018	0.0004008
452	2339	1500 to 2500	193.244976	0.00042753
518	2333	1500 to 2500	222.031719	0.00042863
221	1278	less than 1500	172.926448	0.00078247
641	3074	more than 2500	208.523097	0.00032531
478	3106	more than 2500	153.895686	0.00032196
540	2988	more than 2500	180.722892	0.00033467
233	1736	1500 to 2500	134.21659	0.00057604
518	3498	more than 2500	148.08462	0.00028588
261	1114	less than 1500	234.290844	0.00089767
556	3074	more than 2500	180.871828	0.00032531
358	1336	less than 1500	267.964072	0.0007485
414	2627	more than 2500	157.594214	0.00038066
215	1890	1500 to 2500	113.756614	0.0005291
564	3468	more than 2500	162.629758	0.00028835
208	1084	less than 1500	191.881919	0.00092251
438	1686	1500 to 2500	259.786477	0.00059312
556	3246	more than 2500	171.287739	0.00030807
348	2510	more than 2500	138.645418	0.00039841
288	1189	less than 1500	242.220353	0.00084104
280	1299	less than 1500	215.550423	0.00076982
412	2240	1500 to 2500	183.928571	0.00044643
204	1441	less than 1500	141.568355	0.00069396
642	3456	more than 2500	185.763889	0.00028935
818	3430	more than 2500	238.483965	0.00029155
379	3429	more than 2500	110.527851	0.00029163
388	3369	more than 2500	115.167706	0.00029682
488	2802	more than 2500	174.161313	0.00035689
382	2256	1500 to 2500	169.326241	0.00044326
318	1980	1500 to 2500	160.606061	0.00050505
699	3361	more than 2500	207.973817	0.00029753
157	876	less than 1500	179.223744	0.00114155
748	3245	more than 2500	230.508475	0.00030817
519	3277	more than 2500	158.376564	0.00030516
379	2306	1500 to 2500	164.353859	0.00043365
691	2981	more than 2500	231.801409	0.00033546
305	2234	1500 to 2500	136.52641	0.00044763
418	1947	1500 to 2500	214.689266	0.00051361
675	2712	more than 2500	248.893805	0.00036873
555	3292	more than 2500	168.590522	0.00030377
319	1540	1500 to 2500	207.142857	0.00064935
306	2259	1500 to 2500	135.458167	0.00044267
417	2544	more than 2500	163.915094	0.00039308
635	3119	more than 2500	203.590895	0.00032062
246	1152	less than 1500	213.541667	0.00086806
363	1897	1500 to 2500	191.354771	0.00052715
373	1688	1500 to 2500	220.971564	0.00059242
192	995	less than 1500	192.964824	0.00100503
760	2697	more than 2500	281.794587	0.00037078
338	1512	1500 to 2500	223.544974	0.00066138
424	1835	1500 to 2500	231.06267	0.00054496
490	3054	more than 2500	160.445318	0.00032744
334	2420	1500 to 2500	138.016529	0.00041322
591	2666	more than 2500	221.68042	0.00037509
295	1855	1500 to 2500	159.02965	0.00053908
393	2774	more than 2500	141.672675	0.00036049
225	1013	less than 1500	222.112537	0.00098717
289	1101	less than 1500	262.488647	0.00090827
269	1184	less than 1500	227.195946	0.00084459
217	1687	1500 to 2500	128.630705	0.00059277
248	1293	less than 1500	191.802011	0.0007734
212	1040	less than 1500	203.846154	0.00096154
262	1611	1500 to 2500	162.631906	0.00062073
468	2842	more than 2500	164.672766	0.00035186
