Site	Region	Type of Location	Specialty	Sex of Physician	MD Age	Years of Experience	Journal Subscriber	Attend Conference	Direct to Consumer	Hospital Affliations	Practice Size	Patient Visits	Details Nosorr	Details Paenex	Details Other	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	nrx.nosorr	nrx.paenex	nrx.other	therapy.days.nosorr	therapy.days.paenex	therapy.days.other	NRx/Visit
Allentown	e	urban	RH	male	36	13	No	Yes	0.56	2	7	225	3	4	7	32	46	103	50	26	182	160	528	3253	3381	0.11555556
Allentown	e	urban	RH	male	56	36	No	No	0.56	0	6	179	13	2	3	91	259	37	20	50	95	101	875	1835	1930	0.27932961
Allentown	e	urban	PD	female	34	5	No	No	0.56	2	4	67	2	1	1	19	54	10	1	7	19	18	36	98	107	0.10447761
Allentown	e	urban	PD	female	52	23	No	Yes	0.56	6	5	86	1	1	1	11	32	13	28	8	24	30	54	103	191	0.09302326
Allentown	e	urban	PD	male	57	32	No	No	0.56	2	2	65	3	3	1	23	39	51	6	8	23	14	39	136	72	0.12307692
Allentown	e	urban	PD	male	42	17	Yes	Yes	0.56	7	6	71	3	3	2	37	31	76	9	5	19	17	34	81	78	0.07042254
Allentown	e	urban	GP	male	35	12	No	No	0.56	5	6	142	4	1	2	22	80	18	14	19	59	73	160	551	654	0.13380282
Allentown	e	urban	GP	female	48	25	No	No	0.56	4	5	102	4	5	2	34	107	60	32	13	64	47	100	627	438	0.12745098
Allentown	e	urban	RH	male	38	14	No	No	0.56	1	5	263	4	5	8	27	82	67	79	28	166	200	579	3266	3990	0.10646388
Allentown	e	rural	GP	male	55	32	Yes	No	0.56	3	5	151	5	1	4	35	63	9	12	22	67	89	203	645	832	0.14569536
Allentown	e	urban	PD	female	44	23	Yes	Yes	0.56	5	6	77	1	1	1	5	19	6	8	9	28	31	57	174	158	0.11688312
Allentown	e	urban	PD	male	48	22	No	Yes	0.56	2	3	66	1	1	1	3	17	0	15	9	22	23	61	144	130	0.13636364
Allentown	e	rural	GP	female	53	29	No	Yes	0.56	3	5	122	2	2	3	13	30	39	24	19	70	66	155	645	617	0.1557377
Allentown	e	urban	GP	female	40	18	No	No	0.56	3	4	179	5	1	5	29	90	3	43	22	64	124	183	532	1073	0.12290503
Allentown	e	rural	GP	male	68	34	No	No	0.56	3	4	116	4	2	1	27	36	42	13	24	62	49	226	599	436	0.20689655
Allentown	e	urban	GP	male	48	25	Yes	No	0.56	4	5	124	3	2	4	19	26	23	40	12	57	63	107	510	554	0.09677419
Allentown	e	rural	RH	male	64	34	No	Yes	0.56	5	3	163	5	4	2	39	58	70	12	24	140	85	493	2569	1489	0.14723926
Allentown	e	urban	PD	male	43	20	Yes	Yes	0.56	7	4	40	2	1	3	13	36	31	21	5	10	17	15	45	111	0.125
San Marcos	w	rural	GP	male	49	23	No	No	4.13	1	1	50	4	1	1	20	55	11	1	26	21	21	235	198	212	0.52
San Marcos	w	urban	PD	female	31	5	No	No	4.13	2	2	24	2	1	2	19	50	4	24	7	5	6	54	37	26	0.29166667
San Marcos	w	urban	RH	male	37	9	No	No	4.13	0	1	97	4	1	3	15	54	7	42	58	49	56	1039	913	1077	0.59793814
San Marcos	w	urban	GP	male	38	16	No	No	4.13	4	4	56	3	1	2	18	47	13	12	29	17	21	266	170	237	0.51785714
San Marcos	w	urban	GP	male	35	15	No	No	4.13	2	1	59	2	1	1	18	14	8	8	31	23	18	280	207	145	0.52542373
San Marcos	w	rural	PD	female	43	16	No	No	4.13	6	3	17	1	1	1	8	18	28	2	3	3	4	20	24	27	0.17647059
San Marcos	w	urban	GP	male	36	11	No	Yes	4.13	5	4	70	3	2	1	13	32	24	12	42	36	30	421	336	306	0.6
San Marcos	w	urban	GP	female	32	8	Yes	No	4.13	6	4	62	5	2	3	34	87	8	18	29	20	28	266	178	260	0.46774194
San Marcos	w	urban	PD	male	29	3	Yes	Yes	4.13	7	4	38	1	2	2	7	13	42	31	10	12	10	52	81	85	0.26315789
San Marcos	w	urban	GP	male	34	10	Yes	No	4.13	7	2	72	4	1	1	43	67	8	10	39	24	30	334	203	274	0.54166667
San Marcos	w	urban	GP	female	37	11	No	No	4.13	2	3	68	4	1	1	32	87	5	4	28	21	24	239	194	254	0.41176471
San Marcos	w	urban	PD	female	39	14	Yes	No	4.13	5	4	30	2	1	2	10	40	31	15	7	6	8	40	33	32	0.23333333
San Marcos	w	urban	GP	female	26	0	No	No	4.13	6	2	65	3	3	2	14	43	88	16	26	26	20	210	224	153	0.4
San Marcos	w	rural	GP	male	48	23	No	Yes	4.13	4	2	87	6	1	1	63	97	18	5	49	26	29	440	222	270	0.56321839
San Marcos	w	rural	PD	male	47	26	No	No	4.13	4	2	44	3	1	1	19	47	8	10	10	9	7	57	46	36	0.22727273
San Marcos	w	rural	RH	male	42	15	No	No	4.13	0	3	119	4	2	2	29	93	29	23	74	79	62	1500	1519	1162	0.62184874
San Marcos	w	rural	PD	male	50	26	No	No	4.13	0	1	17	2	1	1	15	40	30	11	4	6	2	27	44	10	0.23529412
San Marcos	w	urban	RH	male	45	21	Yes	No	4.13	5	1	125	1	1	3	10	2	23	17	82	53	61	1527	1141	1163	0.656
San Marcos	w	rural	GP	male	47	23	No	No	4.13	1	1	41	2	2	2	7	14	50	3	17	15	14	164	150	150	0.41463415
Dallas	c	rural	RH	male	61	34	No	No	2.35	0	2	86	4	2	2	29	58	51	0	32	63	49	467	1274	975	0.37209302
Dallas	c	rural	GP	male	40	14	No	No	2.35	4	1	64	2	1	1	10	60	8	8	22	33	22	229	276	194	0.34375
Dallas	c	urban	GP	male	38	12	Yes	No	2.35	1	1	68	7	1	1	61	96	4	4	22	29	23	167	257	219	0.32352941
Dallas	c	urban	PD	male	34	8	Yes	Yes	2.35	7	6	36	1	1	2	5	23	15	17	8	6	11	35	48	45	0.22222222
Dallas	c	rural	PD	male	37	4	Yes	Yes	2.35	5	1	4	1	1	1	9	24	12	2	0	0	4	0	0	23	0
Dallas	c	rural	GP	male	46	17	No	No	2.35	0	1	62	5	1	3	40	57	16	23	26	23	35	268	196	343	0.41935484
Dallas	c	rural	RH	male	48	26	No	No	2.35	6	1	124	3	1	4	22	50	20	10	59	63	86	1087	1157	1661	0.47580645
Dallas	c	urban	RH	male	26	0	Yes	Yes	2.35	7	1	130	2	2	1	10	35	17	5	59	79	55	1135	1534	1132	0.45384615
Dallas	c	rural	GP	male	43	20	No	No	2.35	1	1	58	4	1	2	26	85	13	11	22	23	35	248	175	311	0.37931034
Dallas	c	urban	PD	female	36	12	Yes	Yes	2.35	7	2	10	2	1	1	13	31	11	14	2	1	2	10	3	6	0.2
Dallas	c	urban	PD	female	42	11	Yes	Yes	2.35	5	2	29	1	1	1	9	6	29	0	8	7	10	65	25	71	0.27586207
Dallas	c	urban	PD	female	28	5	Yes	Yes	2.35	6	2	30	2	1	2	10	34	17	6	9	8	14	90	58	96	0.3
Dallas	c	rural	GP	male	48	21	No	No	2.35	1	1	50	3	1	1	15	41	1	1	17	19	22	156	187	237	0.34
Dallas	c	rural	GP	male	47	24	No	No	2.35	4	1	53	2	1	1	24	29	28	5	25	26	17	257	215	137	0.47169811
Dallas	c	urban	PD	female	53	31	Yes	Yes	2.35	7	1	19	1	1	1	5	11	7	10	4	3	4	27	20	23	0.21052632
Dallas	c	urban	GP	male	29	4	No	No	2.35	3	1	69	2	2	1	12	35	31	0	23	40	16	212	348	124	0.33333333
Dallas	c	rural	PD	male	48	15	Yes	No	2.35	4	3	23	2	2	2	11	35	27	9	5	7	5	37	55	30	0.2173913
Dallas	c	rural	RH	male	56	32	No	No	2.35	2	3	130	7	1	5	49	126	11	19	57	62	85	1137	1298	1668	0.43846154
Dallas	c	urban	PD	male	41	19	No	Yes	2.35	4	1	18	2	1	2	14	25	9	6	6	6	5	33	37	19	0.33333333
Warwick	w	urban	GP	male	35	6	Yes	Yes	0.58	6	2	42	2	1	1	8	45	28	18	16	20	15	123	158	117	0.38095238
Warwick	w	rural	PD	male	47	22	Yes	No	0.58	5	1	20	1	2	1	9	5	31	25	3	9	3	9	53	13	0.15
Warwick	w	urban	RH	male	39	9	Yes	Yes	0.58	3	1	90	3	1	1	9	50	14	2	38	59	54	808	1122	1077	0.42222222
Warwick	w	urban	PD	female	32	11	No	Yes	0.58	4	2	19	1	1	1	8	8	25	0	5	7	4	34	40	27	0.26315789
Warwick	w	rural	RH	female	45	20	Yes	Yes	0.58	6	1	112	8	3	2	69	109	64	14	40	80	81	815	1485	1479	0.35714286
Warwick	w	rural	RH	female	49	27	No	No	0.58	4	1	114	4	2	3	19	55	33	28	36	71	75	679	1379	1416	0.31578947
Warwick	w	urban	PD	male	44	14	Yes	Yes	0.58	5	3	16	2	1	2	18	27	4	12	2	3	7	21	20	73	0.125
Warwick	w	rural	PD	female	40	17	No	Yes	0.58	4	1	23	1	1	1	9	8	20	5	3	5	11	24	19	75	0.13043478
Warwick	w	urban	RH	male	47	26	No	No	0.58	1	2	88	6	3	3	30	57	34	20	26	56	57	450	1089	1157	0.29545455
Warwick	w	urban	PD	female	35	11	Yes	Yes	0.58	3	2	20	2	1	2	14	17	20	11	5	4	7	30	24	58	0.25
Warwick	w	urban	RH	female	29	0	Yes	Yes	0.58	4	3	113	8	2	2	49	128	13	10	40	84	56	760	1656	1057	0.3539823
Warwick	w	urban	PD	male	38	14	Yes	No	0.58	5	3	38	2	2	1	4	20	22	6	3	8	14	20	50	78	0.07894737
Warwick	w	urban	RH	female	41	15	Yes	Yes	0.58	7	2	121	9	3	1	38	176	51	10	54	83	59	1089	1502	1083	0.44628099
Warwick	w	urban	PD	female	46	23	Yes	No	0.58	7	8	51	2	1	1	16	20	11	13	9	14	15	38	94	79	0.17647059
Warwick	w	rural	RH	female	45	23	No	No	0.58	0	1	136	3	2	3	18	55	48	24	31	93	80	529	1752	1300	0.22794118
Warwick	w	urban	PD	female	34	4	Yes	Yes	0.58	7	2	17	3	1	1	17	39	13	1	9	2	8	79	6	43	0.52941176
Warwick	w	urban	GP	female	40	17	Yes	Yes	0.58	4	2	40	4	1	1	41	61	14	7	12	14	19	103	132	152	0.3
Warwick	w	urban	GP	female	31	2	Yes	Yes	0.58	6	1	81	2	1	2	22	27	15	10	29	34	38	289	300	382	0.35802469
Warwick	w	rural	RH	male	51	27	No	No	0.58	4	2	126	4	2	3	23	29	48	13	39	100	88	677	1673	1526	0.30952381
