Name	Class	Vehicle Type	Transmission	Combined MPG	Weight (pounds)	Displacement (liters)	Horsepower	Air Aspiration	# Cylinders	City MPG	Highway MPG	log10(HP)	log10(displacement)	log10(MPG)	log10(weight)
Audi A3	Small Station Wagons	Car	Manual	24	3625	2	200	Turbocharged	4	21	30	2.301029996	0.301029996	1.380211242	3.559308011
Audi A4 QUATTRO	Compact Cars	Car	Manual	25	4000	2	211	Turbocharged	4	21	31	2.324282455	0.301029996	1.397940009	3.602059991
Audi A4	Compact Cars	Car	Continuously Variable	25	3875	2	211	Turbocharged	4	22	30	2.324282455	0.301029996	1.397940009	3.588271707
Audi A6	Midsize Cars	Both	Continuously Variable	28	4000	2	211	Turbocharged	4	25	33	2.324282455	0.301029996	1.447158031	3.602059991
Audi Q7	Special Purpose Vehicle, SUV 4WD	Truck	Semi-Automatic	18	6000	3	225	Supercharged	6	16	22	2.352182518	0.477121255	1.255272505	3.77815125
Audi R8	Two Seaters	Car	Automated Manual	16	4250	4.2	430	Naturally Aspirated	8	13	21	2.633468456	0.62324929	1.204119983	3.62838893
Audi R8	Two Seaters	Car	Manual	14	4250	4.2	430	Naturally Aspirated	8	11	20	2.633468456	0.62324929	1.146128036	3.62838893
Audi R8	Two Seaters	Car	Manual	14	4000	5.2	525	Naturally Aspirated	10	12	19	2.720159303	0.716003344	1.146128036	3.602059991
Audi S4	Compact Cars	Car	Manual	21	4250	3	333	Supercharged	6	18	27	2.522444234	0.477121255	1.322219295	3.62838893
Audi S5	Subcompact Cars	Car	Manual	17	4250	4.2	354	Naturally Aspirated	8	14	22	2.549003262	0.62324929	1.230448921	3.62838893
Volkswagen TIGUAN	Special Purpose Vehicle, SUV 2WD	Car	Manual	21	3875	2	200	Turbocharged	4	18	26	2.301029996	0.301029996	1.322219295	3.588271707
Audi TT COUPE QUATTRO	Subcompact Cars	Car	Semi-Automatic	26	3625	2	265	Turbocharged	4	23	31	2.423245874	0.301029996	1.414973348	3.559308011
Aston Martin Lagonda Ltd DB9	Minicompact Cars	Car	Manual	13	4500	5.9	470	Naturally Aspirated	12	11	17	2.672097858	0.770852012	1.113943352	3.653212514
Aston Martin Lagonda Ltd DB9	Minicompact Cars	Car	Semi-Automatic	15	4500	5.9	470	Naturally Aspirated	12	13	20	2.672097858	0.770852012	1.176091259	3.653212514
