Y	X1	X2
-50.912502	-77.10142	-14.355398
61.2369499	10.4721659	19.4079415
-54.467996	10.0058623	-18.776446
73.2415198	72.4405387	23.6970523
87.8800972	89.3288777	31.004615
16.0391643	15.9971888	4.7169693
-62.435589	21.4057693	-16.58459
10.5125944	54.6314482	3.738773
51.1180572	48.3344968	14.7933863
-12.693392	-79.214691	0.34009626
64.8910785	95.0943933	19.4843974
1.33623668	52.5283128	6.71316237
-48.301605	-85.90634	-18.790536
-40.575498	-74.30343	-13.30898
-122.90146	-89.897808	-39.677806
34.8639662	-55.023243	9.77745096
35.2283436	75.7514375	11.7358207
64.4850463	65.0267229	21.7357539
-30.122737	-6.5641945	-12.31735
2.90442752	-50.579451	0.62016043
-42.982214	63.208193	-10.879598
26.1056464	75.3731261	14.5839686
14.9851609	23.0640217	10.0425718
66.2682569	9.1074836	22.1869
-27.65388	-71.926062	-5.0176826
48.4057377	-6.4813968	13.0248737
-74.654918	-57.949423	-27.536259
-121.8686	-80.79505	-35.034498
59.2526558	25.3361979	20.9016946
15.4086173	27.4402616	10.0441202
104.839386	49.7024585	34.5274836
-9.506334	76.9524609	-2.374252
24.3690585	17.2352197	11.8807783
-7.0861896	43.6784859	-2.9722798
74.3738464	94.3953266	26.0520698
-48.145789	-93.63189	-17.319008
22.1935735	-56.383191	5.49364329
-130.89868	-80.141941	-46.656262
39.2388533	38.0668902	16.5994387
50.9380659	60.1568918	14.9562122
1.40551103	-2.8948355	-0.6410336
18.2680987	-86.207233	3.34185907
-18.884979	-58.902412	-11.399599
81.2263928	11.824645	26.0787159
16.1188221	15.4188629	8.51041953
44.4576547	79.0080159	12.0226824
9.05096072	52.7111843	3.68642447
10.2183265	17.880809	0.44152414
-16.94489	-55.181506	-11.025818
-12.154483	-56.879109	-8.7787293
-24.893891	-32.705416	-4.603596
-132.58742	-58.580053	-47.804127
23.7621721	6.50144266	4.72315646
48.3042579	50.5770014	11.8445636
3.64589461	-22.791774	-4.8326508
-31.282133	16.7879136	-3.9022717
-76.087017	-70.981051	-20.386107
-25.66904	-55.879428	-4.1412425
-66.065522	-37.505469	-18.216741
-35.262674	-1.8138495	-5.6087732
