datadate	Fiscal Year	tic	Company Name	Nation	Total Assets	Return on Assets	Net Income	Cost of Goods Sold	Total Revenue	Expense: R&D	Expense: Admin, Selling	# Employees	Book Value per Share	log(R&D)	log(assets)	log(cgs)	log(revenue)
20110430	2010	AMSWA	AMERICAN SOFTWARE  -CL A	USA	$104.83 	0.070245727	$7.36 	$38.95 	$85.59 	$7.39 	$35.31 	297	2.8428	1.999857062	4.652359069	3.662330119	4.44955677
20110131	2010	ADSK	AUTODESK INC	USA	$2,787.60 	0.076051083	$212.00 	$91.20 	$1,951.80 	$496.20 	$1,473.00 	6800	7.0894	6.206979071	7.93293629	4.513054897	7.576507303
20100630	2010	ADP	AUTOMATIC DATA PROCESSING	USA	$26,862.20 	0.045096828	$1,211.40 	$4,729.70 	$8,927.70 	$513.90 	$2,120.60 	47000	11.136	6.242028694	10.19847537	8.461617055	9.096914082
20101231	2010	BTEC	BANCTEC INC-REDH	USA	$222.04 	-0.100717448	($22.36)	$165.25 	$254.21 	$5.09 	$82.69 			1.627867048	5.402844035	5.107459479	5.538164631
20110331	2010	BT	BT GROUP PLC	GBR	$37,776.99 	0.063806298	$2,410.41 	$23,497.48 	$32,816.56 	$1,336.80 		92600	3.9796	7.198032481	10.53945552	10.06464859	10.39868839
20110331	2010	ACXM	ACXIOM CORP	USA	$1,306.63 	-0.017715106	($23.15)	$777.74 	$1,159.97 	$11.60 	$159.88 	6600	7.2617	2.451005098	7.175202756	6.656389707	7.056149422
20101231	2010	CTIG	CTI GROUP HOLDINGS INC	USA	$12.43 	-0.267717802	($3.33)	$4.84 	$15.24 	$2.44 	$9.74 	124	0.1801	0.891998039	2.520193353	1.577534363	2.723661049
20110331	2010	CA	CA INC	USA	$12,414.00 	0.066618334	$827.00 	$581.00 	$4,429.00 	$471.00 	$2,208.00 	13400	11.1885	6.154858094	9.426580147	6.364750757	8.395929104
20101231	2010	VERA	VERAMARK TECHNOLOGIES INC	USA	$12.87 	0.047463684	$0.61 	$2.23 	$13.17 	$1.39 	$8.90 	95	0.0437	0.332177312	2.555132095	0.803345973	2.577561793
20110331	2010	NTT	NIPPON TELEGRAPH & TELEPHONE	JPN	$237,621.99 	0.025914748	$6,157.91 	$49,950.21 	$124,516.71 	$3,240.95 	$36,101.78 	219343	36.6235	8.083621776	12.37843641	10.81878191	11.7321952
20101231	2010	T	AT&T INC	USA	$268,488.00 	0.073984685	$19,864.00 	$52,263.00 	$124,280.00 	$1,345.00 	$33,065.00 	266590	18.8877	7.204149292	12.5005615	10.86404394	11.73029236
20101231	2010	COVR	COVER-ALL TECHNOLOGIES INC	USA	$19.51 	0.15128376	$2.95 	$9.94 	$17.46 	$0.85 	$4.17 	82	0.6081	-0.166054584	2.97108091	2.296667619	2.859740714
20100731	2010	3SNDTF	SAND TECHNOLOGY INC  -CL A	CAN	$2.06 	-0.352455032	($0.73)	$1.16 	$6.38 	$2.10 	$5.52 	44	-0.1498	0.743364897	0.721248611	0.149281703	1.852384091
20100630	2010	MSFT	MICROSOFT CORP	USA	$86,113.00 	0.217853286	$18,760.00 	$9,888.00 	$62,484.00 	$8,714.00 	$25,932.00 	89000	5.3271	9.072686207	11.36341567	9.19907718	11.0426658
20110531	2010	ORCL	ORACLE CORP	USA	$73,535.00 	0.116230367	$8,547.00 	$8,030.00 	$35,622.00 	$4,519.00 	$12,188.00 	108000	7.8485	8.416046009	11.20551676	8.990939807	10.4807187
20101231	2010	1027B	SUNGARD DATA SYSTEMS INC	USA	$12,968.00 	-0.043954349	($570.00)	$1,990.00 	$4,992.00 	$370.00 	$1,511.00 	20100		5.913503006	9.470240063	7.595889918	8.51559191
