Date	Apple Return	Market Return	S&P 500 Return	IBM Return	Price Apple	Treasury Bill	Inflation (CPI)	Apple Excess Return	Market Excess Return	SP500 Excess Return	IBM Excess Return
19900131	-0.035461	-0.070115	-0.0688	0.047809	34	0.005852	0.010309	-0.041313	-0.075967	-0.074652	0.041957
19900228	0.003235	0.014901	0.0085	0.065501	34	0.005818	0.00471	-0.002583	0.009083	0.002682	0.059683
19900330	0.183824	0.02414	0.0243	0.021661	40.25	0.00638	0.005469	0.177444	0.01776	0.01792	0.015281
19900430	-0.021739	-0.028286	-0.0269	0.027091	39.375	0.006829	0.001554	-0.028568	-0.035115	-0.033729	0.020262
19900531	0.050413	0.088936	0.092	0.112018	41.25	0.006404	0.002327	0.044009	0.082532	0.085596	0.105614
19900629	0.084848	-0.004196	-0.0089	-0.020833	44.75	0.005898	0.005418	0.07895	-0.010094	-0.014798	-0.026731
19900731	-0.061453	-0.009405	-0.0052	-0.051064	42	0.006704	0.003849	-0.068157	-0.016109	-0.011904	-0.057768
19900831	-0.116429	-0.091896	-0.0943	-0.075471	37	0.006154	0.009202	-0.122583	-0.09805	-0.100454	-0.081625
19900928	-0.216216	-0.053843	-0.0512	0.044172	29	0.005984	0.008359	-0.2222	-0.059827	-0.057184	0.038188
19901031	0.060345	-0.012504	-0.0067	-0.009401	30.75	0.006559	0.006029	0.053786	-0.019063	-0.013259	-0.01596
19901130	0.199024	0.065744	0.0599	0.089775	36.75	0.005651	0.002247	0.193373	0.060093	0.054249	0.084124
19901231	0.170068	0.029513	0.0248	-0.005501	43	0.005989	0	0.164079	0.023524	0.018811	-0.01149
19910131	0.290698	0.049078	0.0415	0.121681	55.5	0.004637	0.005979	0.286061	0.044441	0.036863	0.117044
19910228	0.033694	0.075847	0.0673	0.025325	57.25	0.004767	0.001486	0.028927	0.07108	0.062533	0.020558
19910328	0.187773	0.028923	0.0222	-0.115534	68	0.004391	0.001484	0.183382	0.024532	0.017809	-0.119925
19910430	-0.191176	0.003322	0.0003	-0.095499	55	0.005335	0.001481	-0.196511	-0.002013	-0.005035	-0.100834
19910531	-0.143273	0.040732	0.0386	0.042087	47	0.004461	0.002959	-0.147734	0.036271	0.034139	0.037626
