Calendar Date	Date	Sony % Change	Market % Change	Dow % Change	Small-Big	High-Low	Momentum	Market-Dow %Change	(Market+Dow)/2 %Chg	Value-Weighted	Risk-Free	Return DJIA	Sony	Return S&P 500	S&P % Change
1/31/1995	1995	-16.6784	1.6199	-0.1743318	-2.95	1.67	-1.82	1.79423179	0.7227841	0.020399	0.0042	0.002456682	-0.162584	0.0243	2.01
2/28/1995	1995.08333	-7.5809	3.5615	3.94953406	-0.33	0.37	-0.33	-0.3880341	3.75551703	0.039615	0.004	0.043495341	-0.071809	0.0361	3.21
3/31/1995	1995.16667	12.2483	2.2441	3.19590057	-0.35	-2.04	0.38	-0.9518006	2.72000029	0.027041	0.0046	0.036559006	0.127083	0.0273	2.27
4/28/1995	1995.25	3.6521	2.0648	3.49439626	-0.41	1.73	1.85	-1.4295963	2.77959813	0.025048	0.0044	0.039343963	0.040921	0.028	2.36
5/31/1995	1995.33333	-4.2255	2.8607	2.78934531	-2.24	1.97	-0.43	0.07135469	2.82502265	0.034007	0.0054	0.033293453	-0.036855	0.0363	3.09
6/30/1995	1995.41667	-1.4904	2.6473	1.56711418	3.07	-2.99	2.92	1.08018582	2.10720709	0.031173	0.0047	0.020371142	-0.010204	0.0213	1.66
7/31/1995	1995.5	11.4057	3.6283	2.89430763	2.22	-2.15	2.57	0.73399237	3.26130382	0.040783	0.0045	0.033443076	0.118557	0.0318	2.73
8/31/1995	1995.58333	1.1429	0.4605	-2.5494441	1.84	1.89	-0.02	3.00994407	-1.044472	0.009305	0.0047	-0.020794441	0.016129	-0.0003	-0.5
9/29/1995	1995.66667	-4.0676	3.2062	3.44198084	-2.02	-0.92	2.63	-0.2357808	3.32409042	0.036362	0.0043	0.038719808	-0.036376	0.0401	3.58
10/31/1995	1995.75	-13.9452	-1.6017	-1.1715961	-3.99	-0.08	4.14	-0.4301039	-1.3866481	-0.011317	0.0047	-0.007015961	-0.134752	-0.005	-0.97
11/30/1995	1995.83333	17.3396	3.8508	6.28826079	-0.81	0.34	-0.6	-2.4374608	5.06953039	0.042708	0.0042	0.067082608	0.177596	0.041	3.68
12/29/1995	1995.91667	13.4311	1.0291	0.35008442	0.42	1.41	2.56	0.67901558	0.68959221	0.015191	0.0049	0.008400844	0.139211	0.0174	1.25
