Sales (Dollars)	Volume (Gallons)	Washes	DayWeek	Price (cents)	Site	Dummy	Dummy * Volume
1756	2933	170	thu	139.9	Site 1	1	2933
2203	3329	167	fri	139.9	Site 1	1	3329
1848	3043	237	mon	139.9	Site 1	1	3043
2016	3043	222	tue	139.9	Site 1	1	3043
2346	3450	264	thu	139.9	Site 1	1	3450
2410	3478	150	fri	139.9	Site 1	1	3478
2050	3347	187	mon	139.9	Site 1	1	3347
2097	3708	119	tue	139.9	Site 1	1	3708
2311	3467	145	wed	139.9	Site 1	1	3467
2419	4114	173	thu	139.9	Site 1	1	4114
2523	3721	222	fri	139.9	Site 1	1	3721
2061	3448	179	mon	139.9	Site 1	1	3448
2247	3230	186	tue	142.9	Site 1	1	3230
3479	3557	96	wed	142.9	Site 1	1	3557
2135	3060	192	thu	142.9	Site 1	1	3060
2102	3619	118	fri	141.9	Site 1	1	3619
2536	3256	131	mon	141.9	Site 1	1	3256
1227	1757	37	tue	146.9	Site 1	1	1757
1966	2891	116	wed	146.9	Site 1	1	2891
2219	3381	221	thu	146.9	Site 1	1	3381
2226	2970	306	fri	148.9	Site 1	1	2970
1969	3301	167	mon	148.9	Site 1	1	3301
2044	3178	221	tue	146.9	Site 1	1	3178
2360	3426	133	wed	146.9	Site 1	1	3426
1907	3118	161	thu	149.9	Site 1	1	3118
2156	3037	98	fri	151.9	Site 1	1	3037
1816	3537	205	mon	157.9	Site 1	1	3537
1897	3808	294	tue	157.9	Site 1	1	3808
2051	3145	173	wed	157.9	Site 1	1	3145
2079	3766	223	thu	157.9	Site 1	1	3766
2328	2916	115	fri	156.9	Site 1	1	2916
1841	3957	188	mon	155.9	Site 1	1	3957
2104	3980	80	tue	155.9	Site 1	1	3980
1973	3675	106	wed	155.9	Site 1	1	3675
2089	3516	62	thu	155.9	Site 1	1	3516
2266	4149	37	fri	155.9	Site 1	1	4149
2327	3733	218	mon	155.9	Site 1	1	3733
2032	3738	32	tue	155.9	Site 1	1	3738
2137	4012	41	wed	155.9	Site 1	1	4012
2186	4114	214	thu	155.9	Site 1	1	4114
2369	3795	358	fri	157.9	Site 1	1	3795
2087	3543	63	mon	157.9	Site 1	1	3543
2273	3681	117	tue	157.9	Site 1	1	3681
2113	3618	40	wed	155.9	Site 1	1	3618
2181	4452	366	thu	155.9	Site 1	1	4452
2776	4346	569	fri	155.9	Site 1	1	4346
2652	4073	492	mon	155.9	Site 1	1	4073
2250	4260	324	tue	159.9	Site 1	1	4260
2548	4113	280	wed	159.9	Site 1	1	4113
2678	3829	130	thu	159.9	Site 1	1	3829
2878	4137	542	fri	159.9	Site 1	1	4137
2220	4269	362	mon	155.9	Site 1	1	4269
2303	3989	168	tue	155.9	Site 1	1	3989
2718	4238	347	wed	155.9	Site 1	1	4238
2317	3658	279	thu	155.9	Site 1	1	3658
2338	4005	398	fri	155.9	Site 1	1	4005
2143	3996	191	mon	155.9	Site 1	1	3996
2402	4077	145	tue	155.9	Site 1	1	4077
2401	3610	200	wed	155.9	Site 1	1	3610
2051	3701	274	thu	155.9	Site 1	1	3701
2468	3844	177	fri	155.9	Site 1	1	3844
2398	3904	589	mon	155.9	Site 1	1	3904
2106	3879	379	tue	155.9	Site 1	1	3879
2461	3266	206	wed	155.9	Site 1	1	3266
2466	3513	265	thu	155.9	Site 1	1	3513
2745	4052	359	fri	155.9	Site 1	1	4052
1994	4052	403	sat	151.9	Site 1	1	4052
2020	2874	70	mon	151.9	Site 1	1	2874
2241	3526	296	tue	151.9	Site 1	1	3526
2648	3487	320	wed	151.9	Site 1	1	3487
2022	3499	280	thu	149.9	Site 1	1	3499
2524	3236	294	fri	149.9	Site 1	1	3236
1919	2422	307	mon	149.9	Site 1	1	2422
2164	2876	242	tue	149.9	Site 1	1	2876
2074	2883	188	wed	149.9	Site 1	1	2883
2310	2771	266	thu	149.9	Site 1	1	2771
2062	2362	222	fri	149.9	Site 1	1	2362
1807	2564	198	mon	149.9	Site 1	1	2564
1976	2708	168	tue	149.9	Site 1	1	2708
2171	2519	293	wed	149.9	Site 1	1	2519
1745	2638	210	thu	146.9	Site 1	1	2638
2108	3448	427	fri	144.9	Site 1	1	3448
2057	1993	533	sat	143.9	Site 1	1	1993
1679	2560	137	mon	143.9	Site 1	1	2560
2014	2777	221	tue	141.9	Site 1	1	2777
2109	3097	288	wed	141.9	Site 1	1	3097
2274	2750	226	thu	141.9	Site 1	1	2750
2640	3260	337	fri	139.9	Site 1	1	3260
1664	2050	301	sat	139.9	Site 1	1	2050
1913	2921	595	mon	139.9	Site 1	1	2921
2331	2970	327	tue	137.9	Site 1	1	2970
1920	2624	321	wed	137.9	Site 1	1	2624
2074	3496	445	thu	137.9	Site 1	1	3496
2272	3729	353	fri	135.9	Site 1	1	3729
1651	2302	481	sat	135.9	Site 1	1	2302
1996	2672	385	mon	135.9	Site 1	1	2672
2093	3150	278	tue	134.9	Site 1	1	3150
1995	2948	359	wed	134.9	Site 1	1	2948
2337	3520	272	thu	134.9	Site 1	1	3520
2433	3195	347	fri	135.9	Site 1	1	3195
1731	2232	477	sat	135.9	Site 1	1	2232
2183	2979	236	mon	135.9	Site 1	1	2979
1795	3178	271	tue	135.9	Site 1	1	3178
1689	2618	253	wed	135.9	Site 1	1	2618
2040	3117	278	thu	135.9	Site 1	1	3117
2076	2847	271	fri	135.9	Site 1	1	2847
1483	2150	241	sat	135.9	Site 1	1	2150
930	1528	227	mon	135.9	Site 1	1	1528
1674	2309	226	tue	135.9	Site 1	1	2309
1934	2805	292	wed	135.9	Site 1	1	2805
2011	2721	300	thu	135.9	Site 1	1	2721
2172	2812	282	fri	135.9	Site 1	1	2812
1612	2173	302	sat	135.9	Site 1	1	2173
1780	2767	211	mon	135.9	Site 1	1	2767
2116	2544	190	tue	138.9	Site 1	1	2544
1937	2805	171	wed	138.9	Site 1	1	2805
1866	2131	77	thu	138.9	Site 1	1	2131
