Price ($)	Weight (carats)	Clarity Grade	Clarity	Clarity * Weight
$853.00 	0.47	VS1	0	0
$1,159.00 	0.48	VS1	0	0
$900.00 	0.41	VS1	0	0
$824.00 	0.41	VS1	0	0
$914.00 	0.42	VS1	0	0
$1,219.00 	0.47	VVS1	1	0.47
$1,038.00 	0.43	VS1	0	0
$994.00 	0.43	VS1	0	0
$1,071.00 	0.45	VS1	0	0
$1,277.00 	0.48	VS1	0	0
$1,159.00 	0.42	VVS1	1	0.42
$1,112.00 	0.44	VVS1	1	0.44
$1,373.00 	0.47	VVS1	1	0.47
$1,165.00 	0.47	VVS1	1	0.47
$1,144.00 	0.44	VVS1	1	0.44
$923.00 	0.36	VVS1	1	0.36
$820.00 	0.33	VS1	0	0
$1,009.00 	0.4	VS1	0	0
$1,077.00 	0.44	VS1	0	0
$787.00 	0.32	VS1	0	0
$1,144.00 	0.45	VS1	0	0
$1,094.00 	0.45	VS1	0	0
$1,144.00 	0.45	VS1	0	0
$1,395.00 	0.48	VS1	0	0
$1,462.00 	0.48	VS1	0	0
$1,395.00 	0.48	VS1	0	0
$1,011.00 	0.43	VS1	0	0
$1,351.00 	0.46	VS1	0	0
$1,351.00 	0.46	VS1	0	0
$1,144.00 	0.45	VS1	0	0
$1,018.00 	0.38	VS1	0	0
$1,022.00 	0.46	VVS1	1	0.46
$818.00 	0.38	VVS1	1	0.38
$881.00 	0.31	VVS1	1	0.31
$898.00 	0.32	VVS1	1	0.32
$1,240.00 	0.41	VVS1	1	0.41
$1,030.00 	0.37	VVS1	1	0.37
$1,181.00 	0.46	VVS1	1	0.46
$1,166.00 	0.43	VVS1	1	0.43
$1,455.00 	0.46	VS1	0	0
$1,218.00 	0.45	VS1	0	0
$1,389.00 	0.46	VS1	0	0
$909.00 	0.37	VS1	0	0
$909.00 	0.37	VS1	0	0
$909.00 	0.37	VS1	0	0
$1,080.00 	0.38	VS1	0	0
$1,435.00 	0.48	VS1	0	0
$1,412.00 	0.47	VS1	0	0
$894.00 	0.36	VS1	0	0
$878.00 	0.35	VS1	0	0
$1,139.00 	0.48	VS1	0	0
$961.00 	0.45	VS1	0	0
$1,071.00 	0.4	VS1	0	0
$823.00 	0.36	VS1	0	0
$1,126.00 	0.43	VS1	0	0
$1,126.00 	0.43	VS1	0	0
$1,540.00 	0.46	VVS1	1	0.46
$1,267.00 	0.38	VVS1	1	0.38
$1,566.00 	0.47	VVS1	1	0.47
$1,449.00 	0.46	VVS1	1	0.46
$1,036.00 	0.33	VVS1	1	0.33
$1,301.00 	0.42	VVS1	1	0.42
$1,220.00 	0.39	VVS1	1	0.39
$902.00 	0.39	VVS1	1	0.39
$1,324.00 	0.43	VVS1	1	0.43
$970.00 	0.37	VS1	0	0
$970.00 	0.37	VS1	0	0
$1,143.00 	0.38	VS1	0	0
$1,193.00 	0.38	VS1	0	0
$1,143.00 	0.38	VS1	0	0
$1,143.00 	0.38	VS1	0	0
$1,292.00 	0.45	VS1	0	0
$1,172.00 	0.42	VS1	0	0
$866.00 	0.31	VS1	0	0
$849.00 	0.32	VS1	0	0
$1,164.00 	0.39	VS1	0	0
$1,132.00 	0.4	VS1	0	0
$953.00 	0.36	VS1	0	0
$914.00 	0.36	VS1	0	0
$812.00 	0.39	VS1	0	0
$882.00 	0.34	VS1	0	0
$1,408.00 	0.41	VVS1	1	0.41
$1,577.00 	0.46	VVS1	1	0.46
$1,392.00 	0.38	VVS1	1	0.38
$1,330.00 	0.38	VVS1	1	0.38
$1,021.00 	0.32	VVS1	1	0.32
$1,067.00 	0.32	VVS1	1	0.32
$1,108.00 	0.36	VVS1	1	0.36
$1,159.00 	0.36	VVS1	1	0.36
$1,001.00 	0.42	VVS1	1	0.42
$1,019.00 	0.43	VVS1	1	0.43
$1,128.00 	0.46	VVS1	1	0.46
$809.00 	0.36	VVS1	1	0.36
$1,205.00 	0.38	VS1	0	0
$1,260.00 	0.38	VS1	0	0
$986.00 	0.34	VS1	0	0
$1,609.00 	0.47	VS1	0	0
$1,641.00 	0.48	VS1	0	0
$1,104.00 	0.42	VS1	0	0
$1,430.00 	0.45	VS1	0	0
$1,237.00 	0.42	VS1	0	0
$948.00 	0.32	VS1	0	0
$968.00 	0.31	VS1	0	0
$1,175.00 	0.48	VS1	0	0
$1,005.00 	0.35	VS1	0	0
$1,116.00 	0.39	VS1	0	0
$1,387.00 	0.49	VS1	0	0
$1,092.00 	0.47	VS1	0	0
$1,251.00 	0.4	VS1	0	0
$986.00 	0.34	VS1	0	0
$1,325.00 	0.49	VS1	0	0
$1,172.00 	0.39	VS1	0	0
$1,215.00 	0.41	VS1	0	0
$978.00 	0.36	VS1	0	0
$1,071.00 	0.36	VS1	0	0
$1,091.00 	0.37	VS1	0	0
$1,091.00 	0.37	VS1	0	0
$1,091.00 	0.37	VS1	0	0
$986.00 	0.34	VS1	0	0
$1,025.00 	0.36	VS1	0	0
$1,243.00 	0.37	VVS1	1	0.37
$1,392.00 	0.38	VVS1	1	0.38
$1,664.00 	0.46	VVS1	1	0.46
