Profit from Sales	Number Accounts	Early Commission	Early Selling	Log Profit	Log Accounts	Log Commission	Office	Office Dummy	Office Dummy * Log Accounts
9316.01	20	928.73	725827	9.1394897	2.99573227	6.83381806	Existing	0	0
19129.41	19	1018	103427	9.85898222	2.94443898	6.9255952	New	1	2.944438979
60119.47	231	5200.84	8258725	11.004089	5.44241771	8.55657543	Existing	0	0
10954.31	15	397.33	15340	9.30148827	2.7080502	5.98476717	New	1	2.708050201
18563.97	11	298.17	28479	9.82897788	2.39789527	5.69766379	Existing	0	0
32943.85	17	175	127669	10.4025599	2.83321334	5.16478597	New	1	2.833213344
29308.98	27	3633.78	106557	10.2856492	3.29583687	8.19802871	New	1	3.295836866
19483.26	16	2525.99	100838	9.87731091	2.77258872	7.83438834	Existing	0	0
113627.65	60	2578.67	478771	11.6406822	4.09434456	7.85502904	New	1	4.094344562
110336.13	78	1225	1955507	11.6112867	4.35670883	7.11069612	New	1	4.356708827
3485.9	7	63.69	2428	8.15648154	1.94591015	4.15402756	New	1	1.945910149
15542.36	9	1183.4	37597	9.65132448	2.19722458	7.07614693	New	1	2.197224577
14542.68	21	288.33	20677	9.58484305	3.04452244	5.66410566	New	1	3.044522438
12054.76	14	2257	163192	9.39721488	2.63905733	7.72179178	New	1	2.63905733
12538.4	10	2367.1	2646693	9.43655121	2.30258509	7.76942086	Existing	0	0
14782.08	12	1.82	14308	9.60117092	2.48490665	0.5988365	Existing	0	0
21175.24	9	104	15243	9.96058785	2.19722458	4.6443909	New	1	2.197224577
29372.83	89	1396.32	621862	10.2878254	4.48863637	7.24159548	Existing	0	0
8232.76	7	200	13144	9.0158766	1.94591015	5.29831737	Existing	0	0
10120.77	28	724.02	62410	9.22234503	3.33220451	6.58481902	New	1	3.33220451
9672.38	12	405	51461	9.17702968	2.48490665	6.00388707	Existing	0	0
10521.55	13	488.5	26741	9.26118081	2.56494936	6.19133947	Existing	0	0
6149.37	7	17.5	71405	8.72410492	1.94591015	2.86220088	New	1	1.945910149
