Name	Artist	Genre	Megabytes (MB)	Time (seconds)	Format	Format Dummy	Dummy * Time
Sufoco	Alcione	Latin	41.5433064	246	AIFF	1	246
Olere Camara	Alcione	Latin	31.229805	185	AIFF	1	185
Ghost In This House	Alison Krauss	Country	3.72106743	240	AAC	0	0
You Asked Me To	Alison Krauss	Country	36.7992802	218	AIFF	1	218
Down In Texas	The Allman Brothers Band	Rock	31.4787731	187	AIFF	1	187
Morning Dew	The Allman Brothers Band	Rock	38.089016	226	AIFF	1	226
Its Not My Cross To Bear	The Allman Brothers Band	Rock	49.9547234	296	AIFF	1	296
Trouble No More	The Allman Brothers Band	Rock	38.4075336	228	AIFF	1	228
In Memory Of Elizabeth Reed [Fillmore East 1971   Live]	The Allman Brothers Band	Rock	12.0195398	778	AAC	0	0
Just Aint Easy	The Allman Brothers Band	Rock	50.7397518	301	AIFF	1	301
Angeline	The Allman Brothers Band	Rock	37.0975647	220	AIFF	1	220
(You Make Me Feel Like) A Natural Woman	Aretha Franklin	R B	2.50650311	163	AAC	0	0
Since Youve Been Gone (Sweet Sweet Baby)	Aretha Franklin	R B	2.22969246	144	AAC	0	0
Aint No Way	Aretha Franklin	R B	3.8783474	252	AAC	0	0
Think	Aretha Franklin	R B	2.13035679	138	AAC	0	0
I Say A Little Prayer	Aretha Franklin	R B	3.27284431	212	AAC	0	0
See Saw	Aretha Franklin	R B	2.51023769	163	AAC	0	0
Day Dreaming	Aretha Franklin	R B	3.67565441	239	AAC	0	0
Until You Come Back To Me	Aretha Franklin	R B	3.17942047	207	AAC	0	0
When Your Lover Has Gone	Art Blakey	Jazz	6.238451	404	AAC	0	0
Begin The Beguine	Art Tatum	Jazz	27.2124825	161	AIFF	1	161
Bobs Breakdowns	Asleep At The Wheel	Country	37.0953197	220	AIFF	1	220
End Of The Line	Asleep At The Wheel	Country	28.2913799	168	AIFF	1	168
Deep Water	Asleep At The Wheel	Country	2.52096748	162	AAC	0	0
Cinco A Diez	Azabache	Latin	60.4229164	359	AIFF	1	359
Besitos De Coco	Azabache	Latin	69.9244442	415	AIFF	1	415
Love Shack	The B 52s	Rock	54.0998249	321	AIFF	1	321
Channel Z	The B 52s	Rock	48.7770844	289	AIFF	1	289
Aint Nobody Home (With Dangelo)	B.B. King	Blues	53.521122	318	AIFF	1	318
Life Is A Carnival	The Band	Rock	3.63519192	236	AAC	0	0
It Makes No Difference	The Band	Soundtrack	68.9802208	410	AIFF	1	410
Sarandonga	Barbarito Torres	Latin	3.43628502	221	AAC	0	0
Corazon De Chivo	Barbarito Torres	Latin	4.7423563	306	AAC	0	0
Things We Said Today	The Beatles	Rock	2.41216278	158	AAC	0	0
Here Comes The Sun	The Beatles	Pop	2.8716507	185	AAC	0	0
You Never Give Me Your Money	The Beatles	Pop	3.75294399	242	AAC	0	0
Mean Mr. Mustard	The Beatles	Pop	1.06279278	66	AAC	0	0
Speech: John	The Beatles	Rock	1.74051666	10	AIFF	1	10
I Want To Hold Your Hand	The Beatles	Rock	26.3983116	156	AIFF	1	156
Ill Be Back (Demo)	The Beatles	Rock	12.2491989	72	AIFF	1	72
Ill Be Back (Complete)	The Beatles	Rock	19.8306847	117	AIFF	1	117
Eight Days A Week	The Beatles	Rock	28.2017117	167	AIFF	1	167
Kansas City / Hey Hey Hey Hey!	The Beatles	Rock	27.6589241	164	AIFF	1	164
Im Down	The Beatles	Rock	29.1886234	173	AIFF	1	173
Youve Got To Hide Your Love Away	The Beatles	Rock	27.7149677	164	AIFF	1	164
Yesterday	The Beatles	Rock	27.3740044	162	AIFF	1	162
Help!	The Beatles	Rock	29.3972244	174	AIFF	1	174
Norwegian Wood	The Beatles	Rock	20.0886078	119	AIFF	1	119
Im Looking Thru You	The Beatles	Rock	29.2559261	173	AIFF	1	173
And Your Bird Can Sing	The Beatles	Rock	22.4438095	133	AIFF	1	133
You Know My Name (Look Up The Number)	The Beatles	Rock	57.7425766	343	AIFF	1	343
Dont Pass Me By	The Beatles	Rock	27.2820301	162	AIFF	1	162
Step Inside Love/Los Paranoias	The Beatles	Rock	25.3934727	150	AIFF	1	150
Why Dont We Do It In The Road	The Beatles	Rock	22.7466278	135	AIFF	1	135
Oh! Darling	The Beatles	Pop	41.7339497	248	AIFF	1	248
Babys In Black	The Beatles	Rock	21.4613132	127	AIFF	1	127
Everybodys Trying To Be My Baby	The Beatles	Rock	24.2045708	143	AIFF	1	143
With A Little Help From My Friends	The Beatles	Rock	2.5543108	164	AAC	0	0
Lovely Rita	The Beatles	Rock	2.525774	162	AAC	0	0
Happiness Is A Warm Gun	The Beatles	Rock	2.53543377	163	AAC	0	0
Martha My Dear	The Beatles	Rock	2.32049656	148	AAC	0	0
Savoy Truffle	The Beatles	Rock	29.4241428	174	AIFF	1	174
Limboland (Pop Remix)	Betty	Rock	31.9609642	189	AIFF	1	189
Happy On My Way	Bill Monroe	Country	22.1948338	131	AIFF	1	131
Im Sittin On Top Of The World	Bill Monroe	Country	23.6887379	140	AIFF	1	140
Ill Meet You In The Morning	Bill Monroe	Country	22.5559845	134	AIFF	1	134
Jerusalem Ridge	Bill Monroe	Country	35.8011284	212	AIFF	1	212
My Last Days On Earth	Bill Monroe	Country	46.8884907	278	AIFF	1	278
Brakemans Blues	Bill Monroe	Country	26.6338196	158	AIFF	1	158
Walking In Jerusalem	Bill Monroe	Country	20.3622761	121	AIFF	1	121
Salt Creek	Bill Monroe	Country	24.7137947	146	AIFF	1	146
Sailors Hornpipe	Bill Monroe	Country	19.5951786	116	AIFF	1	116
Dusty Miller	Bill Monroe	Country	24.0857296	143	AIFF	1	143
Soldiers Joy	Bill Monroe	Country	22.1746578	131	AIFF	1	131
With Body And Soul	Bill Monroe	Country	31.4765644	187	AIFF	1	187
Saturday Night	Billy Dean	Rock	34.8814621	207	AIFF	1	207
Santa Claus Is Coming To Town	Bing Crosby   Frank Sinatra	Holiday	19.1689415	113	AIFF	1	113
