Price ($000)	Square Feet	Price/Sq Ft	1/Sq Ft	Realtor	Bedrooms	Bathrooms	Realtor Dummy	Dummy * 1/SqFt
225	868	0.25921659	0.00115207	A	1	1	0	0
212	1021	0.20763957	0.00097943	A	3	2	0	0
210	1164	0.18041237	0.00085911	A	3	1	0	0
330	1598	0.20650814	0.00062578	A	3	3	0	0
165	888	0.18581081	0.00112613	A	2	1	0	0
300	1210	0.24793388	0.00082645	A	3	2	0	0
320	1295	0.24710425	0.0007722	A	2	2	0	0
210	1360	0.15441176	0.00073529	A	3	2	0	0
255	1440	0.17708333	0.00069444	A	3	2	0	0
229	1567	0.14613912	0.00063816	A	3	2	0	0
296	1767	0.16751556	0.00056593	A	3	2	0	0
450	1796	0.25055679	0.00055679	A	3	2	0	0
448	1940	0.23092784	0.00051546	A	2	1	0	0
285	1963	0.14518594	0.00050942	A	4	3	0	0
418	2022	0.20672601	0.00049456	A	4	2	0	0
319	2038	0.15652601	0.00049068	A	4	3	0	0
345	2690	0.12825279	0.00037175	A	4	3	0	0
272	2126	0.12793979	0.00047037	A	4	3	0	0
342	2163	0.15811373	0.00046232	A	3	3	0	0
455	2190	0.20776256	0.00045662	A	3	3	0	0
580	2320	0.25	0.00043103	A	3	2	0	0
496	2420	0.20495868	0.00041322	A	4	3	0	0
575	2452	0.23450245	0.00040783	A	3	2	0	0
625	2690	0.23234201	0.00037175	A	4	2	0	0
495	2930	0.16894198	0.0003413	A	4	3	0	0
524	3260	0.1607362	0.00030675	A	4	3	0	0
355	3049	0.11643162	0.00032798	A	3	3	0	0
255	1620	0.15740741	0.00061728	A	3	3	0	0
600	2167	0.27688048	0.00046147	B	3	2	1	0.00046147
599	1350	0.4437037	0.00074074	B	2	1	1	0.00074074
590	1630	0.36196319	0.0006135	B	3	2	1	0.0006135
580	1645	0.35258359	0.0006079	B	3	2	1	0.0006079
580	2300	0.25217391	0.00043478	B	4	2	1	0.00043478
575	2773	0.20735665	0.00036062	B	4	2	1	0.00036062
550	2490	0.22088353	0.00040161	B	3	1	1	0.00040161
600	1635	0.36697248	0.00061162	B	2	2	1	0.00061162
