Date	Market Return	Day of Week	Year	Month	D(Jan)	D(Feb)	D(Mar)	D(Apr)	D(May)	D(Jun)	D(Jul)	D(Aug)	D(Sep)	D(Oct)	D(Nov)	D(Dec)
20100104	0.017121	Monday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100105	0.003368	Tuesday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100106	0.002052	Wednesday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100107	0.002854	Thursday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100108	0.004162	Friday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100111	0.001122	Monday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100112	-0.010991	Tuesday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100113	0.008639	Wednesday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100114	0.00232	Thursday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100115	-0.011321	Friday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100119	0.012053	Tuesday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100120	-0.011062	Wednesday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100121	-0.017736	Thursday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100122	-0.020991	Friday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100125	0.003893	Monday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100126	-0.004906	Tuesday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100127	0.004153	Wednesday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100128	-0.011295	Thursday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100129	-0.010283	Friday	2010	1	1	0	0	0	0	0	0	0	0	0	0	0
20100201	0.015088	Monday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100202	0.012228	Tuesday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100203	-0.004967	Wednesday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100204	-0.031958	Thursday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100205	0.002662	Friday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
