Loaf Volume (ml)	Flour	Potassium Bromate (mg)
950	V1	0
890	V2	0
830	V3	0
770	V4	0
860	V5	0
835	V6	0
795	V7	0
800	V8	0
750	V9	0
885	V10	0
895	V11	0
685	V12	0
615	V13	0
885	V14	0
985	V15	0
710	V16	0
785	V17	0
1075	V1	1
980	V2	1
850	V3	1
815	V4	1
1040	V5	1
960	V6	1
900	V7	1
860	V8	1
940	V9	1
1000	V10	1
935	V11	1
835	V12	1
665	V13	1
910	V14	1
1075	V15	1
750	V16	1
845	V17	1
1055	V1	2
955	V2	2
820	V3	2
765	V4	2
1065	V5	2
985	V6	2
905	V7	2
870	V8	2
1000	V9	2
1015	V10	2
965	V11	2
870	V12	2
650	V13	2
890	V14	2
1070	V15	2
740	V16	2
865	V17	2
975	V1	3
865	V2	3
770	V3	3
725	V4	3
975	V5	3
915	V6	3
880	V7	3
850	V8	3
960	V9	3
960	V10	3
950	V11	3
875	V12	3
680	V13	3
835	V14	3
1015	V15	3
725	V16	3
825	V17	3
880	V1	4
825	V2	4
735	V3	4
700	V4	4
945	V5	4
845	V6	4
785	V7	4
850	V8	4
960	V9	4
895	V10	4
920	V11	4
880	V12	4
660	V13	4
785	V14	4
1005	V15	4
720	V16	4
820	V17	4
