Sales	Display Feet	D1	D2	D3	D4	D5	D6
29	1	1	0	0	0	0	0
358.41	6	0	0	0	0	0	1
382.3	7	0	0	0	0	0	0
279.9	4	0	0	0	1	0	0
400.4	6	0	0	0	0	0	1
398.3	7	0	0	0	0	0	0
279.9	5	0	0	0	0	1	0
204.9	2	0	1	0	0	0	0
284.8	5	0	0	0	0	1	0
357.8	7	0	0	0	0	0	0
256.7	5	0	0	0	0	1	0
25.3	1	1	0	0	0	0	0
220.4	2	0	1	0	0	0	0
41.9	1	1	0	0	0	0	0
281.2	7	0	0	0	0	0	0
291.9	5	0	0	0	0	1	0
316.4	5	0	0	0	0	1	0
201.5	4	0	0	0	1	0	0
237.5	3	0	0	1	0	0	0
194.7	2	0	1	0	0	0	0
334.5	5	0	0	0	0	1	0
286.5	5	0	0	0	0	1	0
365.9	6	0	0	0	0	0	1
321.3	6	0	0	0	0	0	1
214.2	2	0	1	0	0	0	0
72.9	1	1	0	0	0	0	0
314.8	4	0	0	0	1	0	0
328.3	7	0	0	0	0	0	0
234.1	3	0	0	1	0	0	0
317.9	3	0	0	1	0	0	0
316.4	6	0	0	0	0	0	1
293.2	7	0	0	0	0	0	0
103	1	1	0	0	0	0	0
247.7	2	0	1	0	0	0	0
177.8	2	0	1	0	0	0	0
388.9	6	0	0	0	0	0	1
332.1	5	0	0	0	0	1	0
351.3	6	0	0	0	0	0	1
262.5	5	0	0	0	0	1	0
300	6	0	0	0	0	0	1
199	3	0	0	1	0	0	0
292.9	7	0	0	0	0	0	0
247.3	4	0	0	0	1	0	0
343	7	0	0	0	0	0	0
213.2	2	0	1	0	0	0	0
310.5	6	0	0	0	0	0	1
389.7	5	0	0	0	0	1	0
