Department	Health Cost	D(Administrative)	D(Clerical)	D(IT)	D(Manfacturing)	D(Sales)
Administrative	2050	1	0	0	0	0
Administrative	2830	1	0	0	0	0
Administrative	2940	1	0	0	0	0
Administrative	3210	1	0	0	0	0
Administrative	3350	1	0	0	0	0
Administrative	3450	1	0	0	0	0
Administrative	3750	1	0	0	0	0
Administrative	3900	1	0	0	0	0
Administrative	4270	1	0	0	0	0
Administrative	4329	1	0	0	0	0
Administrative	5240	1	0	0	0	0
Administrative	5540	1	0	0	0	0
Administrative	7100	1	0	0	0	0
Administrative	9540	1	0	0	0	0
Administrative	3290	1	0	0	0	0
Clerical	2870	0	1	0	0	0
Clerical	3450	0	1	0	0	0
Clerical	3510	0	1	0	0	0
Clerical	3640	0	1	0	0	0
Clerical	3755	0	1	0	0	0
Clerical	3910	0	1	0	0	0
Clerical	3920	0	1	0	0	0
Clerical	4005	0	1	0	0	0
Clerical	4240	0	1	0	0	0
Clerical	4580	0	1	0	0	0
Clerical	5230	0	1	0	0	0
Clerical	5770	0	1	0	0	0
Clerical	5880	0	1	0	0	0
Clerical	6840	0	1	0	0	0
Clerical	3325	0	1	0	0	0
IT	2370	0	0	1	0	0
IT	2460	0	0	1	0	0
IT	2510	0	0	1	0	0
IT	2660	0	0	1	0	0
IT	2730	0	0	1	0	0
IT	2800	0	0	1	0	0
IT	2930	0	0	1	0	0
IT	3010	0	0	1	0	0
IT	3190	0	0	1	0	0
IT	3250	0	0	1	0	0
IT	4180	0	0	1	0	0
IT	4330	0	0	1	0	0
IT	4750	0	0	1	0	0
IT	5030	0	0	1	0	0
IT	6260	0	0	1	0	0
Manufacturing	2950	0	0	0	1	0
Manufacturing	3105	0	0	0	1	0
Manufacturing	3210	0	0	0	1	0
Manufacturing	3840	0	0	0	1	0
Manufacturing	3910	0	0	0	1	0
Manufacturing	4040	0	0	0	1	0
Manufacturing	4829	0	0	0	1	0
Manufacturing	4990	0	0	0	1	0
Manufacturing	5010	0	0	0	1	0
Manufacturing	6200	0	0	0	1	0
Manufacturing	6550	0	0	0	1	0
Manufacturing	6820	0	0	0	1	0
Manufacturing	6939	0	0	0	1	0
Manufacturing	7550	0	0	0	1	0
Manufacturing	4350	0	0	0	1	0
Sales	2510	0	0	0	0	1
Sales	2550	0	0	0	0	1
Sales	2590	0	0	0	0	1
Sales	2630	0	0	0	0	1
Sales	2710	0	0	0	0	1
Sales	2830	0	0	0	0	1
Sales	2960	0	0	0	0	1
Sales	3120	0	0	0	0	1
Sales	3420	0	0	0	0	1
Sales	3490	0	0	0	0	1
Sales	3960	0	0	0	0	1
Sales	4040	0	0	0	0	1
Sales	4250	0	0	0	0	1
Sales	4990	0	0	0	0	1
Sales	5030	0	0	0	0	1
