Rating (0-100)	Theatre Market	Dummy(Urban)	Dummy (Suburban)
40	Urban	1	0
65	Urban	1	0
55	Urban	1	0
65	Urban	1	0
75	Urban	1	0
65	Urban	1	0
15	Urban	1	0
75	Urban	1	0
75	Urban	1	0
30	Urban	1	0
35	Urban	1	0
55	Urban	1	0
65	Urban	1	0
70	Urban	1	0
70	Urban	1	0
60	Urban	1	0
100	Urban	1	0
90	Urban	1	0
60	Urban	1	0
80	Urban	1	0
60	Urban	1	0
80	Urban	1	0
85	Urban	1	0
75	Urban	1	0
95	Urban	1	0
55	Urban	1	0
100	Urban	1	0
80	Urban	1	0
100	Urban	1	0
100	Urban	1	0
45	Urban	1	0
0	Urban	1	0
60	Urban	1	0
35	Urban	1	0
50	Urban	1	0
75	Urban	1	0
30	Urban	1	0
40	Urban	1	0
100	Urban	1	0
65	Urban	1	0
60	Urban	1	0
45	Urban	1	0
70	Urban	1	0
100	Urban	1	0
80	Urban	1	0
85	Urban	1	0
70	Urban	1	0
60	Urban	1	0
85	Urban	1	0
25	Urban	1	0
50	Urban	1	0
45	Urban	1	0
65	Urban	1	0
75	Urban	1	0
55	Urban	1	0
5	Urban	1	0
70	Urban	1	0
55	Urban	1	0
60	Urban	1	0
50	Urban	1	0
65	Urban	1	0
40	Urban	1	0
65	Urban	1	0
60	Urban	1	0
50	Urban	1	0
50	Urban	1	0
45	Urban	1	0
95	Urban	1	0
50	Urban	1	0
75	Urban	1	0
45	Urban	1	0
55	Urban	1	0
80	Urban	1	0
15	Urban	1	0
100	Urban	1	0
80	Urban	1	0
90	Urban	1	0
45	Urban	1	0
100	Urban	1	0
35	Urban	1	0
60	Urban	1	0
95	Urban	1	0
90	Urban	1	0
100	Urban	1	0
55	Urban	1	0
25	Urban	1	0
100	Urban	1	0
60	Urban	1	0
80	Urban	1	0
70	Urban	1	0
70	Urban	1	0
50	Urban	1	0
45	Urban	1	0
75	Urban	1	0
40	Urban	1	0
100	Urban	1	0
40	Urban	1	0
70	Urban	1	0
65	Urban	1	0
45	Urban	1	0
60	Urban	1	0
75	Urban	1	0
35	Urban	1	0
90	Urban	1	0
85	Urban	1	0
45	Urban	1	0
45	Urban	1	0
25	Urban	1	0
80	Urban	1	0
100	Urban	1	0
65	Urban	1	0
65	Urban	1	0
65	Urban	1	0
60	Urban	1	0
80	Urban	1	0
45	Urban	1	0
55	Urban	1	0
75	Urban	1	0
50	Urban	1	0
85	Urban	1	0
60	Urban	1	0
75	Urban	1	0
80	Urban	1	0
90	Urban	1	0
90	Urban	1	0
50	Urban	1	0
55	Urban	1	0
40	Urban	1	0
80	Urban	1	0
30	Urban	1	0
45	Urban	1	0
65	Urban	1	0
35	Urban	1	0
65	Urban	1	0
55	Urban	1	0
100	Urban	1	0
70	Urban	1	0
45	Urban	1	0
55	Urban	1	0
50	Urban	1	0
70	Urban	1	0
20	Urban	1	0
55	Urban	1	0
70	Urban	1	0
70	Urban	1	0
65	Urban	1	0
75	Urban	1	0
90	Urban	1	0
20	Urban	1	0
35	Urban	1	0
65	Urban	1	0
65	Urban	1	0
55	Urban	1	0
30	Urban	1	0
60	Urban	1	0
90	Urban	1	0
75	Urban	1	0
100	Urban	1	0
60	Urban	1	0
35	Urban	1	0
55	Urban	1	0
100	Urban	1	0
55	Urban	1	0
60	Urban	1	0
80	Urban	1	0
75	Urban	1	0
95	Urban	1	0
30	Urban	1	0
35	Urban	1	0
90	Urban	1	0
25	Urban	1	0
65	Urban	1	0
25	Urban	1	0
80	Urban	1	0
40	Urban	1	0
35	Urban	1	0
60	Urban	1	0
85	Urban	1	0
50	Urban	1	0
65	Urban	1	0
25	Urban	1	0
30	Urban	1	0
65	Urban	1	0
35	Urban	1	0
50	Urban	1	0
65	Urban	1	0
85	Urban	1	0
50	Urban	1	0
55	Urban	1	0
85	Urban	1	0
35	Urban	1	0
40	Urban	1	0
75	Urban	1	0
65	Urban	1	0
40	Urban	1	0
65	Urban	1	0
95	Urban	1	0
55	Urban	1	0
85	Urban	1	0
50	Urban	1	0
25	Urban	1	0
40	Urban	1	0
70	Urban	1	0
95	Urban	1	0
35	Urban	1	0
90	Urban	1	0
100	Urban	1	0
95	Urban	1	0
100	Urban	1	0
55	Urban	1	0
80	Urban	1	0
75	Urban	1	0
95	Urban	1	0
80	Urban	1	0
20	Urban	1	0
85	Urban	1	0
80	Urban	1	0
50	Urban	1	0
10	Urban	1	0
100	Urban	1	0
10	Urban	1	0
55	Urban	1	0
30	Urban	1	0
40	Urban	1	0
90	Urban	1	0
65	Urban	1	0
70	Urban	1	0
55	Urban	1	0
40	Urban	1	0
95	Urban	1	0
65	Urban	1	0
75	Urban	1	0
75	Urban	1	0
65	Urban	1	0
100	Urban	1	0
50	Urban	1	0
80	Urban	1	0
0	Urban	1	0
60	Urban	1	0
85	Urban	1	0
45	Urban	1	0
50	Urban	1	0
90	Urban	1	0
45	Urban	1	0
75	Urban	1	0
40	Urban	1	0
90	Urban	1	0
90	Urban	1	0
100	Urban	1	0
45	Urban	1	0
25	Urban	1	0
70	Urban	1	0
75	Urban	1	0
55	Urban	1	0
30	Urban	1	0
55	Urban	1	0
100	Urban	1	0
30	Urban	1	0
55	Urban	1	0
60	Urban	1	0
75	Urban	1	0
65	Urban	1	0
60	Urban	1	0
95	Urban	1	0
30	Urban	1	0
60	Urban	1	0
100	Urban	1	0
10	Urban	1	0
65	Urban	1	0
70	Urban	1	0
85	Urban	1	0
55	Urban	1	0
45	Urban	1	0
35	Urban	1	0
50	Urban	1	0
50	Urban	1	0
55	Urban	1	0
85	Urban	1	0
35	Urban	1	0
80	Urban	1	0
60	Urban	1	0
100	Urban	1	0
0	Urban	1	0
35	Urban	1	0
85	Urban	1	0
80	Urban	1	0
85	Urban	1	0
55	Urban	1	0
70	Urban	1	0
60	Urban	1	0
70	Urban	1	0
65	Urban	1	0
65	Urban	1	0
55	Urban	1	0
80	Urban	1	0
85	Urban	1	0
100	Urban	1	0
100	Urban	1	0
100	Urban	1	0
25	Urban	1	0
100	Urban	1	0
45	Urban	1	0
100	Suburban	0	1
60	Suburban	0	1
85	Suburban	0	1
85	Suburban	0	1
55	Suburban	0	1
100	Suburban	0	1
40	Suburban	0	1
75	Suburban	0	1
50	Suburban	0	1
50	Suburban	0	1
45	Suburban	0	1
100	Suburban	0	1
90	Suburban	0	1
30	Suburban	0	1
45	Suburban	0	1
65	Suburban	0	1
85	Suburban	0	1
50	Suburban	0	1
20	Suburban	0	1
30	Suburban	0	1
90	Suburban	0	1
80	Suburban	0	1
70	Rural	0	0
30	Rural	0	0
45	Rural	0	0
40	Rural	0	0
65	Rural	0	0
50	Rural	0	0
50	Rural	0	0
20	Rural	0	0
30	Rural	0	0
45	Rural	0	0
45	Rural	0	0
60	Rural	0	0
25	Rural	0	0
75	Rural	0	0
50	Rural	0	0
80	Rural	0	0
85	Rural	0	0
60	Rural	0	0
40	Rural	0	0
40	Rural	0	0
70	Rural	0	0
45	Rural	0	0
10	Rural	0	0
