Name	Genre	Time	D(Rock)	D(Latin)	D(Jazz)	D(Folk)	D(Country)	D(Blues)
Im Gone	Country	208	0	0	0	0	1	0
Shapes Of Things	Rock	168	1	0	0	0	0	0
Trouble No More	Rock	228	1	0	0	0	0	0
Revival	Rock	244	1	0	0	0	0	0
Can You Fool	Rock	199	1	0	0	0	0	0
Little Martha	Rock	127	1	0	0	0	0	0
Sincerely Diana	Jazz	408	0	0	1	0	0	0
Sincerely Diana	Jazz	413	0	0	1	0	0	0
Gone With The Wind	Jazz	172	0	0	1	0	0	0
Red Wing	Country	205	0	0	0	0	1	0
Big Balls In Cowtown	Country	161	0	0	0	0	1	0
Yearning	Country	201	0	0	0	0	1	0
I Wonder If You Feel The Way I Do	Country	184	0	0	0	0	1	0
This Moment	Latin	354	0	1	0	0	0	0
Cosmic Thing	Rock	232	1	0	0	0	0	0
Cryin Wont Help You Babe (With David Gilmour & Paul Carrack)	Blues	252	0	0	0	0	0	1
Corazon De Chivo	Latin	306	0	1	0	0	0	0
El Amor De Mi Bohio	Latin	232	0	1	0	0	0	0
I Should Have Known Better	Rock	164	1	0	0	0	0	0
Speech: Brian Epstein	Rock	18	1	0	0	0	0	0
Searchin	Rock	179	1	0	0	0	0	0
Three Cool Cats	Rock	145	1	0	0	0	0	0
Besame Mucho	Rock	157	1	0	0	0	0	0
Yesterday	Rock	153	1	0	0	0	0	0
Everybodys Trying To Be My Baby	Rock	165	1	0	0	0	0	0
Being For The Benefit Of Mr Kite	Rock	153	1	0	0	0	0	0
Helter Skelter	Rock	277	1	0	0	0	0	0
Polythene Pam	Rock	86	1	0	0	0	0	0
Junk	Rock	144	1	0	0	0	0	0
I Will	Rock	115	1	0	0	0	0	0
Rock And Roll Music	Rock	153	1	0	0	0	0	0
Everybodys Trying To Be My Baby	Rock	143	1	0	0	0	0	0
Little Child	Rock	107	1	0	0	0	0	0
Sgt. Peppers Lonely Hearts Club Band (Reprise)	Rock	78	1	0	0	0	0	0
Things We Said Today	Rock	158	1	0	0	0	0	0
Tell Me Why	Rock	131	1	0	0	0	0	0
Ob-La-Di Ob-La-Da	Rock	188	1	0	0	0	0	0
Happiness Is A Warm Gun	Rock	163	1	0	0	0	0	0
Julia	Rock	174	1	0	0	0	0	0
You Really Got A Hold On Me	Rock	185	1	0	0	0	0	0
Wait	Rock	146	1	0	0	0	0	0
My Romance	Jazz	434	0	0	1	0	0	0
Memories Of Mother And Dad	Country	180	0	0	0	0	1	0
Put My Little Shoes Away	Country	154	0	0	0	0	1	0
Cheyenne	Country	171	0	0	0	0	1	0
A Good Womans Love	Country	143	0	0	0	0	1	0
Ill Meet You In The Morning	Country	134	0	0	0	0	1	0
Molly And Tenbrooks	Country	150	0	0	0	0	1	0
Kentucky Waltz	Country	186	0	0	0	0	1	0
Jenny Lynn	Country	136	0	0	0	0	1	0
Jerusalem Ridge	Country	212	0	0	0	0	1	0
My Sweet Blue-Eyed Darlin	Country	166	0	0	0	0	1	0
Lord Protect My Soul	Country	163	0	0	0	0	1	0
Raw Hide	Country	158	0	0	0	0	1	0
Im Going Back To Old Kentucky	Country	146	0	0	0	0	1	0
Bills Dream	Country	156	0	0	0	0	1	0
This Is The Time	Rock	301	1	0	0	0	0	0
Temptation	Rock	256	1	0	0	0	0	0
Cant Find My Way Home (Electric Version)	Rock	342	1	0	0	0	0	0
Lisa Listen To Me	Rock	179	1	0	0	0	0	0
Doctor Blooze	Blues	213	0	0	0	0	0	1
Skoshuss	Blues	319	0	0	0	0	0	1
Ben Dewberrys Final Run	Country	286	0	0	0	0	1	0
God Gave Noah the Rainbow Sign	Country	315	0	0	0	0	1	0
I Wanna Be Your Lover	Rock	208	1	0	0	0	0	0
Visions Of Johanna	Rock	454	1	0	0	0	0	0
Leopard-Skin Pill-Box Hat	Rock	240	1	0	0	0	0	0
Most Likely You Go Your Way And Ill Go Mine	Rock	209	1	0	0	0	0	0
Obviously 5 Believers	Rock	216	1	0	0	0	0	0
Youre A Big Girl	Rock	273	1	0	0	0	0	0
If You See Her Say Hello	Rock	289	1	0	0	0	0	0
Canadee-I-O	Rock	263	1	0	0	0	0	0
Tomorrow Night	Rock	223	1	0	0	0	0	0
It Takes a Lot to Laugh It Takes a Train to Cry	Rock	249	1	0	0	0	0	0
Just Like Tom Thumbs Blues	Rock	332	1	0	0	0	0	0
I Dreamed I Saw St. Augustine	Rock	233	1	0	0	0	0	0
Dear Landlord	Rock	196	1	0	0	0	0	0
Bye And Bye	Rock	196	1	0	0	0	0	0
Lonesome Day Blues	Rock	365	1	0	0	0	0	0
Floater (Too Much To Ask)	Rock	299	1	0	0	0	0	0
Moonlight	Rock	203	1	0	0	0	0	0
Nashville Skyline Rag	Rock	194	1	0	0	0	0	0
I Threw It All Away	Rock	145	1	0	0	0	0	0
Went To See The Gypsy	Rock	171	1	0	0	0	0	0
Sign On The Window	Rock	221	1	0	0	0	0	0
One More Weekend	Rock	192	1	0	0	0	0	0
Cant Wait	Rock	347	1	0	0	0	0	0
Highlands	Rock	991	1	0	0	0	0	0
Stack A Lee	Rock	230	1	0	0	0	0	0
Aint No More Cane	Rock	238	1	0	0	0	0	0
Nothing Was Delivered	Rock	263	1	0	0	0	0	0
Steady	Jazz	345	0	0	1	0	0	0
James	Jazz	293	0	0	1	0	0	0
Three Mice Blind	Jazz	438	0	0	1	0	0	0
El Mayor	Jazz	329	0	0	1	0	0	0
Pride And Joy	Blues	258	0	0	0	0	0	1
Storm Warning	Rock	271	1	0	0	0	0	0
Tangled And Dark	Rock	292	1	0	0	0	0	0
Shake A Little	Rock	279	1	0	0	0	0	0
I Cant Make You Love Me	Rock	344	1	0	0	0	0	0
Working on the Highway	Rock	195	1	0	0	0	0	0
No Surrender	Rock	246	1	0	0	0	0	0
Glory Days	Rock	262	1	0	0	0	0	0
Give My Love To Rose	Country	175	0	0	0	0	1	0
Thunder Road	Rock	288	1	0	0	0	0	0
Darkness on the Edge of Town	Rock	268	1	0	0	0	0	0
The Promised Land	Rock	268	1	0	0	0	0	0
Brilliant Disguise	Rock	255	1	0	0	0	0	0
None but the Brave (Bonus Track)	Rock	334	1	0	0	0	0	0
The Line	Rock	319	1	0	0	0	0	0
Waitin On A Sunny Day	Rock	258	1	0	0	0	0	0
The Fuse	Rock	337	1	0	0	0	0	0
Off Minor	Jazz	322	0	0	1	0	0	0
Ruby My Dear	Jazz	349	0	0	1	0	0	0
No Name Blues	Jazz	399	0	0	1	0	0	0
Early in the Morning (Single)	Rock	126	1	0	0	0	0	0
Everyday (Single)	Rock	128	1	0	0	0	0	0
Listen to Me (Single)	Rock	142	1	0	0	0	0	0
Oh Boy! (Single)	Rock	129	1	0	0	0	0	0
Rock Me My Baby	Rock	108	1	0	0	0	0	0
Rave On	Rock	109	1	0	0	0	0	0
Heartbeat (Single)	Rock	129	1	0	0	0	0	0
Crying Waiting Hoping (Overdubbed Version)	Rock	124	1	0	0	0	0	0
Go And Say Goodbye	Rock	144	1	0	0	0	0	0
Out Of My Mind	Rock	189	1	0	0	0	0	0
Down Down Down (Outtake Take 4)	Rock	166	1	0	0	0	0	0
No Sun Today (Outtake)	Rock	124	1	0	0	0	0	0
Sad Memory	Rock	184	1	0	0	0	0	0
For What Its Worth	Rock	163	1	0	0	0	0	0
Baby Dont Scold Me	Rock	193	1	0	0	0	0	0
Kind Woman	Rock	259	1	0	0	0	0	0
Nowadays Clancy Cant Even Sing	Rock	207	1	0	0	0	0	0
Belle Starr	Folk	327	0	0	0	1	0	0
Lay Lady Lay	Rock	198	1	0	0	0	0	0
Ill Feel a Whole Lot Better	Rock	154	1	0	0	0	0	0
El Ausente	Latin	219	0	1	0	0	0	0
Arco de Karma	Jazz	283	0	0	1	0	0	0
Harposaurus	Jazz	247	0	0	1	0	0	0
Para Luisa	Jazz	241	0	0	1	0	0	0
Looking Back / Reflections	Jazz	337	0	0	1	0	0	0
Listen To Monk / Rhythm A Ning (alt)	Jazz	181	0	0	1	0	0	0
Cumberland Gap	Folk	134	0	0	0	1	0	0
Time Draws Near	Folk	161	0	0	0	1	0	0
Isadoras Reel	Folk	116	0	0	0	1	0	0
First Song	Jazz	400	0	0	1	0	0	0
