Distance (meters)	Model	Residual Distance (meters)	Pontiac	Toyota	Chevrolet	Cadillac
44.8	Pontiac Grand Am	-0.3	1	0	0	0
45	Pontiac Grand Am	-0.1	1	0	0	0
45	Pontiac Grand Am	-0.1	1	0	0	0
45.3	Pontiac Grand Am	0.2	1	0	0	0
45.5	Pontiac Grand Am	0.4	1	0	0	0
45.5	Pontiac Grand Am	0.4	1	0	0	0
45.3	Pontiac Grand Am	0.2	1	0	0	0
44.4	Pontiac Grand Am	-0.7	1	0	0	0
44.4	Pontiac Grand Am	-0.7	1	0	0	0
45.8	Pontiac Grand Am	0.7	1	0	0	0
47.6	Toyota Camry	-1.06	0	1	0	0
49.7	Toyota Camry	1.04	0	1	0	0
49.3	Toyota Camry	0.64	0	1	0	0
48.2	Toyota Camry	-0.46	0	1	0	0
49.5	Toyota Camry	0.84	0	1	0	0
48.8	Toyota Camry	0.14	0	1	0	0
48.5	Toyota Camry	-0.16	0	1	0	0
48.5	Toyota Camry	-0.16	0	1	0	0
48.2	Toyota Camry	-0.46	0	1	0	0
48.3	Toyota Camry	-0.36	0	1	0	0
42.7	Chevrolet Malibu	-0.36	0	0	1	0
43.3	Chevrolet Malibu	0.24	0	0	1	0
42.9	Chevrolet Malibu	-0.16	0	0	1	0
43.5	Chevrolet Malibu	0.44	0	0	1	0
42.4	Chevrolet Malibu	-0.66	0	0	1	0
43.4	Chevrolet Malibu	0.34	0	0	1	0
42.7	Chevrolet Malibu	-0.36	0	0	1	0
43.6	Chevrolet Malibu	0.54	0	0	1	0
43.3	Chevrolet Malibu	0.24	0	0	1	0
42.8	Chevrolet Malibu	-0.26	0	0	1	0
48.1	Cadillac DeVille	0.46	0	0	0	1
49	Cadillac DeVille	1.36	0	0	0	1
45.6	Cadillac DeVille	-2.04	0	0	0	1
47.1	Cadillac DeVille	-0.54	0	0	0	1
47.5	Cadillac DeVille	-0.14	0	0	0	1
48	Cadillac DeVille	0.36	0	0	0	1
47	Cadillac DeVille	-0.64	0	0	0	1
47.9	Cadillac DeVille	0.26	0	0	0	1
48.4	Cadillac DeVille	0.76	0	0	0	1
47.8	Cadillac DeVille	0.16	0	0	0	1
