Time	Date	Year	Quarter	D(1)	D(2)	D(3)	Revenue	Cost of Goods Sold	Gross Profit (million)	Pct Change (year over year)	Lag Pct Change	Lag 2 Pct Change	Lag 3 Pct Change	Lag 4 Pct Change	Lag 5 Pct Change	Log Gross Profit	Segment
1995	19950228	1995	1	1	0	0	$1,947.11 	$1,679.99 	$267.12 							5.58771297	0
1995.25	19950531	1995	2	0	1	0	$1,274.70 	$1,079.65 	$195.05 							5.273261063	0
1995.5	19950831	1995	3	0	0	1	$1,437.91 	$1,228.08 	$209.83 							5.346292913	0
1995.75	19951130	1995	4	0	0	0	$1,929.28 	$1,672.05 	$257.23 							5.549978401	0
1996	19960229	1996	1	1	0	0	$2,575.56 	$2,246.24 	$329.32 	23.284						5.797032959	0
1996.25	19960531	1996	2	0	1	0	$1,637.18 	$1,387.49 	$249.69 	28.014	23.28					5.520228158	0
1996.5	19960831	1996	3	0	0	1	$1,778.64 	$1,510.14 	$268.50 	27.959	28.01	23.28394304				5.592836016	0
1996.75	19961130	1996	4	0	0	0	$2,007.32 	$1,741.69 	$265.64 	3.268	27.96	28.01369898	23.28394304			5.582138244	0
1997	19970228	1997	1	1	0	0	$2,347.54 	$2,005.64 	$341.90 	3.819	3.27	27.95943363	28.01369898	23.283943		5.834512447	0
1997.25	19970531	1997	2	0	1	0	$1,606.55 	$1,341.57 	$264.98 	6.122	3.82	3.268255894	27.95943363	28.013699	23.283943	5.579646804	0
1997.5	19970831	1997	3	0	0	1	$1,793.20 	$1,486.05 	$307.15 	14.398	6.12	3.819070147	3.268255894	27.9594336	28.013699	5.727349251	0
1997.75	19971130	1997	4	0	0	0	$2,106.36 	$1,751.18 	$355.18 	33.707	14.4	6.121942233	3.819070147	3.26825589	27.9594336	5.872616257	0
1998	19980228	1998	1	1	0	0	$2,852.10 	$2,378.94 	$473.16 	38.392	33.71	14.39797986	6.121942233	3.81907015	3.26825589	6.159431484	0
1998.25	19980531	1998	2	0	1	0	$1,943.66 	$1,589.45 	$354.22 	33.679	38.39	33.70664699	14.39797986	6.12194223	3.81907015	5.869915366	0
1998.5	19980831	1998	3	0	0	1	$2,172.49 	$1,771.78 	$400.71 	30.459	33.68	38.39185956	33.70664699	14.3979799	6.12194223	5.993237974	0
1998.75	19981130	1998	4	0	0	0	$2,492.47 	$2,048.25 	$444.22 	25.069	30.46	33.67864502	38.39185956	33.706647	14.3979799	6.09630868	0
1999	19990228	1999	1	1	0	0	$3,456.03 	$2,840.65 	$615.38 	30.058	25.07	30.458988	33.67864502	38.3918596	33.706647	6.422238338	0
1999.25	19990531	1999	2	0	1	0	$2,385.43 	$1,923.43 	$462.00 	30.428	30.06	25.06862776	30.458988	33.678645	38.3918596	6.13556922	0
1999.5	19990831	1999	3	0	0	1	$2,686.64 	$2,156.12 	$530.52 	32.395	30.43	30.05754937	25.06862776	30.458988	33.678645	6.273857658	0
1999.75	19991130	1999	4	0	0	0	$3,107.34 	$2,516.97 	$590.37 	32.901	32.39	30.42835082	30.05754937	25.0686278	30.458988	6.380744377	0
2000	20000229	2000	1	1	0	0	$4,314.62 	$3,504.08 	$810.54 	31.714	32.9	32.39499888	30.42835082	30.0575494	25.0686278	6.697700692	0
2000.25	20000531	2000	2	0	1	0	$2,963.72 	$2,326.13 	$637.59 	38.007	31.71	32.90118524	32.39499888	30.4283508	30.0575494	6.457700149	0
2000.5	20000831	2000	3	0	0	1	$3,169.17 	$2,483.43 	$685.75 	29.259	38.01	31.71395189	32.90118524	32.3949989	30.4283508	6.530505839	0
2000.75	20001130	2000	4	0	0	0	$3,732.08 	$3,000.04 	$732.04 	23.998	29.26	38.00654543	31.71395189	32.9011852	32.3949989	6.595836523	0
2001	20010228	2001	1	1	0	0	$5,461.58 	$4,290.50 	$1,171.08 	44.482	24	29.25902888	38.00654543	31.7139519	32.9011852	7.065684241	0
2001.25	20010531	2001	2	0	1	0	$3,697.00 	$2,784.00 	$913.00 	43.195	44.48	23.99761504	29.25902888	38.0065454	31.7139519	6.816735881	0
2001.5	20010831	2001	3	0	0	1	$4,164.00 	$3,149.00 	$1,015.00 	48.014	43.19	44.48182693	23.99761504	29.2590289	38.0065454	6.922643892	0
2001.75	20011130	2001	4	0	0	0	$4,756.00 	$3,651.00 	$1,105.00 	50.948	48.01	43.19479668	44.48182693	23.997615	29.2590289	7.007600614	0
2002	20020228	2002	1	1	0	0	$6,980.00 	$5,294.00 	$1,686.00 	43.969	50.95	48.01420353	43.19479668	44.4818269	23.997615	7.430114139	0
2002.25	20020531	2002	2	0	1	0	$4,202.00 	$3,048.00 	$1,154.00 	26.396	43.97	50.94782943	48.01420353	43.1947967	44.4818269	7.050989447	0.25
2002.5	20020831	2002	3	0	0	1	$4,624.00 	$3,399.00 	$1,225.00 	20.69	26.4	43.96930021	50.94782943	48.0142035	43.1947967	7.110696123	0.5
2002.75	20021130	2002	4	0	0	0	$5,131.00 	$3,802.00 	$1,329.00 	20.271	20.69	26.39649507	43.96930021	50.9478294	48.0142035	7.192182059	0.75
2003	20030228	2003	1	1	0	0	$6,989.00 	$5,151.00 	$1,838.00 	9.015	20.27	20.68965517	26.39649507	43.9693002	50.9478294	7.516433303	1
2003.25	20030531	2003	2	0	1	0	$4,668.00 	$3,390.00 	$1,278.00 	10.745	9.02	20.27149321	20.68965517	26.3964951	43.9693002	7.153051635	1.25
2003.5	20030831	2003	3	0	0	1	$5,399.00 	$3,938.00 	$1,461.00 	19.265	10.75	9.015421115	20.27149321	20.6896552	26.3964951	7.286876412	1.5
2003.75	20031130	2003	4	0	0	0	$6,032.00 	$4,666.00 	$1,366.00 	2.784	19.27	10.74523397	9.015421115	20.2714932	20.6896552	7.21964204	1.75
2004	20040229	2004	1	1	0	0	$8,449.00 	$6,298.00 	$2,151.00 	17.029	2.78	19.26530612	10.74523397	9.01542112	20.2714932	7.673688129	2
2004.25	20040531	2004	2	0	1	0	$5,479.00 	$4,065.00 	$1,414.00 	10.642	17.03	2.784048157	19.26530612	10.745234	9.01542112	7.254177847	2.25
