Date	Gasoline   ($/Gal)	Pct Change Gasoline	Lag Pct Change Gasoline	Lag 2 Pct Change Gasoline	Lag 3 Pct Change Gasoline	Lag 4 Pct Change Gasoline	Crude ($/Bbl)	Pct Change Crude	Lag Pct Change Crude	Lag 2 Pct Change Crude	Lag 3 Pct Change Crude	Lag 4 Pct Change Crude	Lag 5 Pct Change Crude	Lag 6 Pct Change Crude	Lag 7 Pct Change Crude	Lag 8 Pct Change Crude	Residual Pct Change Gasoline
1/6/1997	$1.23 						$26.25 										
1/13/1997	$1.24 	1.30612245					$25.20 	-4									
1/20/1997	$1.24 	0	1.306122449				$25.10 	-0.3968254	-4								
1/27/1997	$1.24 	-0.2417405	0	1.306122449			$23.85 	-4.9800797	-0.396825397	-4							
2/3/1997	$1.24 	-0.1615509	-0.241740532	0	1.306122449		$24.20 	1.46750524	-4.980079681	-0.396825397	-4						
2/10/1997	$1.23 	-0.1618123	-0.161550889	-0.241740532	0	1.306122449	$22.45 	-7.231405	1.467505241	-4.980079681	-0.396825397	-4					
2/17/1997	$1.23 	-0.5672609	-0.161812298	-0.161550889	-0.241740532	0	$21.73 	-3.2293987	-7.231404959	1.467505241	-4.980079681	-0.396825397	-4				
2/24/1997	$1.22 	-0.3259984	-0.56726094	-0.161812298	-0.161550889	-0.241740532	$21.00 	-3.3371692	-3.229398664	-7.231404959	1.467505241	-4.980079681	-0.396825397	-4			1.930623721
3/3/1997	$1.22 	-0.6541292	-0.32599837	-0.56726094	-0.161812298	-0.161550889	$20.25 	-3.5714286	-3.33716916	-3.229398664	-7.231404959	1.467505241	-4.980079681	-0.396825397	-4		1.46261273
3/10/1997	$1.21 	-0.7407407	-0.654129191	-0.32599837	-0.56726094	-0.161812298	$20.50 	1.2345679	-3.571428571	-3.33716916	-3.229398664	-7.231404959	1.467505241	-4.980079681	-0.396825397	-4	0.983925153
3/17/1997	$1.20 	-0.4975124	-0.740740741	-0.654129191	-0.32599837	-0.56726094	$20.90 	1.95121951	1.234567901	-3.571428571	-3.33716916	-3.229398664	-7.231404959	1.467505241	-4.980079681	-0.396825397	0.132425524
3/24/1997	$1.20 	0.33333333	-0.497512438	-0.740740741	-0.654129191	-0.32599837	$21.00 	0.4784689	1.951219512	1.234567901	-3.571428571	-3.33716916	-3.229398664	-7.231404959	1.467505241	-4.980079681	0.468997516
3/31/1997	$1.20 	-0.3322259	0.333333333	-0.497512438	-0.740740741	-0.654129191	$20.35 	-3.0952381	0.4784689	1.951219512	1.234567901	-3.571428571	-3.33716916	-3.229398664	-7.231404959	1.467505241	-0.021041805
4/7/1997	$1.20 	0.25	-0.332225914	0.333333333	-0.497512438	-0.740740741	$19.25 	-5.4054054	-3.095238095	0.4784689	1.951219512	1.234567901	-3.571428571	-3.33716916	-3.229398664	-7.231404959	1.424217079
4/14/1997	$1.20 	-0.3325021	0.25	-0.332225914	0.333333333	-0.497512438	$19.90 	3.37662338	-5.405405405	-3.095238095	0.4784689	1.951219512	1.234567901	-3.571428571	-3.33716916	-3.229398664	0.710715595
4/21/1997	$1.20 	0	-0.332502078	0.25	-0.332225914	0.333333333	$20.35 	2.26130653	3.376623377	-5.405405405	-3.095238095	0.4784689	1.951219512	1.234567901	-3.571428571	-3.33716916	-0.063452658
4/28/1997	$1.20 	-0.3336113	0	-0.332502078	0.25	-0.332225914	$19.85 	-2.4570025	2.261306533	3.376623377	-5.405405405	-3.095238095	0.4784689	1.951219512	1.234567901	-3.571428571	-0.415757991
5/5/1997	$1.19 	-0.167364	-0.333611343	0	-0.332502078	0.25	$19.60 	-1.2594458	-2.457002457	2.261306533	3.376623377	-5.405405405	-3.095238095	0.4784689	1.951219512	1.234567901	0.32477305
5/12/1997	$1.19 	0	-0.167364017	-0.333611343	0	-0.332502078	$21.40 	9.18367347	-1.259445844	-2.457002457	2.261306533	3.376623377	-5.405405405	-3.095238095	0.4784689	1.951219512	-0.526880266
5/19/1997	$1.20 	0.83822297	0	-0.167364017	-0.333611343	0	$21.50 	0.46728972	9.183673469	-1.259445844	-2.457002457	2.261306533	3.376623377	-5.405405405	-3.095238095	0.4784689	-0.734914016
5/26/1997	$1.21 	0.74812968	0.838222967	0	-0.167364017	-0.333611343	$21.33 	-0.8139535	0.46728972	9.183673469	-1.259445844	-2.457002457	2.261306533	3.376623377	-5.405405405	-3.095238095	-0.338122719
