Week	Calls	Cable Ads	Print Ads
1	25	$3,576.44 	$638.14 
2	28	$2,906.00 	$587.35 
3	26	$3,750.07 	$704.51 
4	25	$1,645.34 	$538.38 
5	24	$2,487.93 	$629.64 
6	28	$2,102.47 	$529.18 
7	21	$2,382.58 	$586.08 
8	30	$5,149.93 	$704.56 
9	26	$2,617.86 	$617.39 
10	31	$5,706.55 	$787.66 
11	27	$1,808.65 	$565.92 
12	30	$4,432.88 	$751.69 
13	24	$3,345.44 	$513.00 
14	25	$3,242.58 	$661.45 
15	26	$5,407.63 	$731.66 
16	31	$6,976.79 	$731.65 
17	27	$5,064.17 	$689.82 
18	26	$4,402.16 	$575.54 
19	26	$4,155.55 	$595.18 
20	31	$7,389.91 	$791.37 
21	28	$5,252.18 	$758.33 
22	28	$4,550.88 	$703.08 
23	28	$4,440.65 	$639.02 
24	23	$3,950.16 	$611.94 
25	35	$7,091.91 	$652.26 
26	27	$4,740.49 	$672.25 
27	31	$6,780.72 	$657.54 
28	23	$4,696.90 	$726.05 
29	35	$8,391.26 	$768.56 
30	30	$7,374.43 	$805.36 
31	34	$7,983.60 	$901.97 
32	34	$8,418.10 	$856.44 
33	27	$4,867.51 	$632.53 
34	31	$8,684.60 	$801.66 
35	28	$6,585.94 	$667.60 
36	28	$6,888.61 	$852.92 
37	34	$6,287.88 	$724.83 
38	28	$7,048.85 	$760.37 
39	30	$6,512.86 	$748.01 
40	31	$6,024.15 	$660.45 
41	30	$6,639.61 	$719.15 
42	34	$8,714.59 	$786.52 
43	29	$7,083.00 	$870.76 
44	32	$5,177.06 	$764.40 
45	28	$7,003.46 	$795.65 
46	34	$9,471.38 	$966.44 
47	32	$6,027.95 	$766.74 
48	28	$6,292.17 	$642.19 
49	33	$7,273.70 	$793.27 
50	34	$10,591.30 	$915.01 
51	32	$9,694.39 	$901.66 
52	40	$10,372.40 	$841.89 
53	31	$6,586.15 	$719.62 
54	35	$10,339.33 	$909.41 
55	32	$7,782.87 	$758.16 
56	33	$9,893.36 	$833.78 
57	36	$9,481.51 	$953.79 
58	34	$10,458.93 	$936.31 
59	33	$8,422.69 	$988.17 
60	31	$8,162.92 	$923.76 
61	37	$10,722.47 	$879.99 
62	32	$7,691.60 	$882.81 
63	36	$9,278.63 	$822.71 
64	38	$10,689.56 	$986.94 
65	31	$9,578.64 	$848.21 
66	41	$13,158.11 	$1,016.14 
67	36	$10,137.24 	$873.00 
68	33	$8,918.89 	$948.27 
69	32	$9,711.69 	$1,087.53 
70	37	$11,015.22 	$950.94 
71	35	$10,257.02 	$916.78 
72	39	$12,949.91 	$1,023.11 
73	31	$8,507.28 	$864.36 
74	36	$10,010.36 	$1,008.08 
75	34	$9,121.59 	$933.31 
76	37	$11,891.95 	$994.68 
77	36	$11,118.85 	$1,002.08 
78	38	$12,002.93 	$980.69 
79	33	$9,154.76 	$875.64 
80	37	$10,860.34 	$1,049.00 
81	36	$11,279.98 	$989.25 
82	36	$10,110.85 	$917.79 
83	35	$12,231.23 	$1,107.81 
