Time	Lowes Gross Profit (million)	Bank Loans, Real Estate (billion)	Quarter	Pct Change Gross Profit	Pct Change Loans
1990	$173.18 	$775.40 	1		
1990.25	$202.34 	$798.80 	2	16.8342158	3.01779727
1990.5	$174.75 	$820.80 	3	-13.63369	2.7541312
1990.75	$152.41 	$836.20 	4	-12.785048	1.87621832
1991	$167.42 	$852.50 	1	9.84784363	1.94929443
1991.25	$208.82 	$863.40 	2	24.7273292	1.27859238
1991.5	$188.49 	$864.90 	3	-9.7363229	0.17373176
1991.75	$170.54 	$868.20 	4	-9.5211821	0.381547
1992	$213.22 	$873.20 	1	25.024188	0.57590417
1992.25	$246.74 	$881.60 	2	15.7240344	0.96197893
1992.5	$231.37 	$880.90 	3	-6.2287986	-0.0794011
1992.75	$209.34 	$887.70 	4	-9.5236243	0.77193779
1993	$234.17 	$888.20 	1	11.8612572	0.05632534
1993.25	$292.48 	$898.60 	2	24.9023133	1.17090745
1993.5	$275.62 	$907.90 	3	-5.7644967	1.03494325
1993.75	$279.02 	$921.40 	4	1.23249401	1.4869479
1994	$336.71 	$930.80 	1	20.6765179	1.02018667
1994.25	$403.56 	$940.00 	2	19.8545921	0.98839708
1994.5	$381.15 	$957.70 	3	-5.5540688	1.88297872
1994.75	$391.13 	$978.90 	4	2.61946866	2.21363684
1995	$422.11 	$1,005.60 	1	7.9206402	2.72755133
1995.25	$493.57 	$1,027.60 	2	16.9297103	2.18774861
1995.5	$428.94 	$1,049.40 	3	-13.094138	2.12144803
1995.75	$418.62 	$1,060.00 	4	-2.4061472	1.01010101
1996	$476.50 	$1,072.00 	1	13.8258381	1.13207547
1996.25	$628.79 	$1,081.70 	2	31.9605456	0.90485075
1996.5	$566.17 	$1,087.70 	3	-9.9597323	0.55468244
1996.75	$552.30 	$1,112.50 	4	-2.4489284	2.28004045
1997	$623.70 	$1,137.20 	1	12.9280954	2.22022472
1997.25	$731.09 	$1,172.10 	2	17.2181311	3.06894126
1997.5	$670.89 	$1,198.40 	3	-8.235204	2.24383585
1997.75	$664.09 	$1,216.50 	4	-1.0128397	1.51034713
1998	$830.50 	$1,237.70 	1	25.058614	1.74270448
1998.25	$986.88 	$1,260.30 	2	18.8288302	1.82596752
