Month	Date	Single Unit Completed	Single Unit Permits
Jan	1990	1071	989
Feb	1990.08333	1036	963
Mar	1990.16667	1007	912
Apr	1990.25	964	818
May	1990.33333	989	793
Jun	1990.41667	947	795
Jul	1990.5	978	775
Aug	1990.58333	959	764
Sep	1990.66667	958	721
Oct	1990.75	926	708
Nov	1990.83333	923	682
Dec	1990.91667	890	655
Jan	1991	855	587
Feb	1991.08333	823	680
Mar	1991.16667	864	694
Apr	1991.25	821	742
May	1991.33333	800	763
Jun	1991.41667	816	763
Jul	1991.5	823	787
Aug	1991.58333	820	772
Sep	1991.66667	885	788
Oct	1991.75	877	787
Nov	1991.83333	827	789
Dec	1991.91667	835	860
Jan	1992	854	893
Feb	1992.08333	902	951
Mar	1992.16667	966	897
Apr	1992.25	895	868
May	1992.33333	995	885
Jun	1992.41667	992	888
Jul	1992.5	1035	884
Aug	1992.58333	956	883
Sep	1992.66667	941	914
Oct	1992.75	970	944
Nov	1992.83333	1004	945
Dec	1992.91667	991	1017
Jan	1993	975	989
Feb	1993.08333	1043	953
Mar	1993.16667	983	881
Apr	1993.25	1067	922
May	1993.33333	973	911
Jun	1993.41667	1017	932
Jul	1993.5	956	977
Aug	1993.58333	1084	1000
Sep	1993.66667	1047	1028
Oct	1993.75	1078	1071
Nov	1993.83333	1102	1125
Dec	1993.91667	1129	1161
Jan	1994	1083	1112
Feb	1994.08333	1198	1065
Mar	1994.16667	1091	1078
Apr	1994.25	1209	1084
May	1994.33333	1242	1110
Jun	1994.41667	1149	1067
Jul	1994.5	1170	1041
Aug	1994.58333	1149	1054
Sep	1994.66667	1158	1056
Oct	1994.75	1170	1042
Nov	1994.83333	1139	1014
Dec	1994.91667	1172	1086
Jan	1995	1195	967
Feb	1995.08333	1079	916
Mar	1995.16667	1195	914
Apr	1995.25	1098	925
May	1995.33333	1062	958
Jun	1995.41667	1038	982
Jul	1995.5	1054	1019
Aug	1995.58333	1028	1045
Sep	1995.66667	1005	1079
Oct	1995.75	1049	1052
Nov	1995.83333	1070	1060
Dec	1995.91667	1000	1091
Jan	1996	1113	1051
Feb	1996.08333	1046	1085
Mar	1996.16667	1103	1108
Apr	1996.25	1054	1108
May	1996.33333	1147	1096
Jun	1996.41667	1131	1089
Jul	1996.5	1145	1074
Aug	1996.58333	1172	1061
Sep	1996.66667	1116	1037
Oct	1996.75	1146	1010
Nov	1996.83333	1118	1031
Dec	1996.91667	1180	1015
Jan	1997	1128	1046
Feb	1997.08333	1247	1070
Mar	1997.16667	1150	1031
Apr	1997.25	1133	1054
May	1997.33333	1115	1046
Jun	1997.41667	1096	1057
Jul	1997.5	1056	1050
Aug	1997.58333	1062	1061
Sep	1997.66667	1148	1091
Oct	1997.75	1074	1098
Nov	1997.83333	1131	1093
Dec	1997.91667	1096	1080
Jan	1998	1018	1158
Feb	1998.08333	1127	1191
Mar	1998.16667	1131	1162
Apr	1998.25	1186	1157
May	1998.33333	1116	1165
Jun	1998.41667	1163	1148
Jul	1998.5	1223	1181
Aug	1998.58333	1179	1196
Sep	1998.66667	1186	1187
Oct	1998.75	1168	1217
Nov	1998.83333	1255	1248
Dec	1998.91667	1141	1317
Jan	1999	1239	1259
Feb	1999.08333	1199	1291
Mar	1999.16667	1319	1239
Apr	1999.25	1271	1227
May	1999.33333	1302	1254
Jun	1999.41667	1311	1276
Jul	1999.5	1228	1276
Aug	1999.58333	1225	1243
Sep	1999.66667	1292	1198
Oct	1999.75	1250	1208
Nov	1999.83333	1289	1233
Dec	1999.91667	1309	1257
Jan	2000	1262	1277
Feb	2000.08333	1326	1241
Mar	2000.16667	1312	1253
Apr	2000.25	1307	1192
May	2000.33333	1334	1182
Jun	2000.41667	1190	1156
Jul	2000.5	1187	1152
Aug	2000.58333	1231	1173
Sep	2000.66667	1175	1189
Oct	2000.75	1176	1224
Nov	2000.83333	1227	1208
Dec	2000.91667	1227	1180
Jan	2001	1122	1251
Feb	2001.08333	1198	1242
Mar	2001.16667	1193	1232
Apr	2001.25	1242	1259
May	2001.33333	1224	1240
Jun	2001.41667	1283	1252
Jul	2001.5	1273	1235
Aug	2001.58333	1281	1241
Sep	2001.66667	1262	1192
Oct	2001.75	1334	1185
Nov	2001.83333	1242	1229
Dec	2001.91667	1351	1251
Jan	2002	1324	1285
Feb	2002.08333	1370	1401
Mar	2002.16667	1324	1289
Apr	2002.25	1258	1285
May	2002.33333	1359	1289
Jun	2002.41667	1281	1314
Jul	2002.5	1275	1307
Aug	2002.58333	1339	1317
Sep	2002.66667	1331	1366
Oct	2002.75	1286	1382
Nov	2002.83333	1401	1382
Dec	2002.91667	1349	1409
Jan	2003	1317	1416
Feb	2003.08333	1342	1357
Mar	2003.16667	1305	1359
Apr	2003.25	1350	1391
May	2003.33333	1390	1389
Jun	2003.41667	1354	1461
Jul	2003.5	1424	1478
Aug	2003.58333	1329	1521
Sep	2003.66667	1413	1533
Oct	2003.75	1479	1566
Nov	2003.83333	1439	1513
Dec	2003.91667	1434	1549
Jan	2004	1434	1539
Feb	2004.08333	1447	1564
Mar	2004.16667	1491	1648
Apr	2004.25	1645	1617
May	2004.33333	1505	1675
Jun	2004.41667	1521	1615
Jul	2004.5	1546	1620
Aug	2004.58333	1554	1609
Sep	2004.66667	1533	1586
Oct	2004.75	1539	1593
Nov	2004.83333	1464	1572
Dec	2004.91667	1655	1613
Jan	2005	1589	1654
Feb	2005.08333	1608	1630
Mar	2005.16667	1524	1580
Apr	2005.25	1626	1654
May	2005.33333	1750	1644
Jun	2005.41667	1679	1683
Jul	2005.5	1639	1722
Aug	2005.58333	1649	1716
Sep	2005.66667	1631	1798
Oct	2005.75	1618	1742
Nov	2005.83333	1633	1730
Dec	2005.91667	1662	1661
Jan	2006	1663	1689
Feb	2006.08333	1742	1643
Mar	2006.16667	1911	1551
Apr	2006.25	1737	1496
May	2006.33333	1609	1450
Jun	2006.41667	1742	1393
Jul	2006.5	1654	1307
Aug	2006.58333	1614	1282
Sep	2006.66667	1675	1218
Oct	2006.75	1559	1175
Nov	2006.83333	1525	1163
Dec	2006.91667	1509	1198
Jan	2007	1496	1138
Feb	2007.08333	1303	1118
Mar	2007.16667	1310	1135
