Date	Quarter	Imports (billion)	Log 10 Imports	Percentage Change in Imports	Lag Pct Change
1/1/1981	1	$78.36 	1.8941166		
4/1/1981	2	$78.63 	1.89557723	0.33688939	1.894116596
7/1/1981	3	$75.64 	1.87876874	-3.7963575	1.895577229
10/1/1981	4	$77.94 	1.89173254	3.03002261	1.878768745
1/1/1982	5	$76.25 	1.88224554	-2.160775	1.89173254
4/1/1982	6	$73.68 	1.86732604	-3.3770049	1.882245544
7/1/1982	7	$76.49 	1.88360466	3.81942559	1.867326039
10/1/1982	8	$72.97 	1.8631622	-4.5979867	1.883604661
1/1/1983	9	$72.71 	1.8615822	-0.363148	1.863162201
4/1/1983	10	$78.34 	1.89398357	7.7460527	1.861582199
7/1/1983	11	$84.50 	1.92687213	7.86699004	1.893983567
10/1/1983	12	$88.33 	1.9460984	4.52646652	1.926872127
1/1/1984	13	$95.87 	1.98168726	8.53976089	1.946098397
4/1/1984	14	$100.68 	2.00295615	5.01924461	1.981687257
7/1/1984	15	$101.09 	2.00469101	0.40026618	2.002956148
10/1/1984	16	$102.53 	2.01083401	1.42452961	2.004691012
1/1/1985	17	$98.03 	1.99134128	-4.3891306	2.010834014
4/1/1985	18	$102.84 	2.01216629	4.91196213	1.991341281
7/1/1985	19	$102.06 	2.00885556	-0.7594247	2.012166291
10/1/1985	20	$108.03 	2.03353232	5.84656085	2.008855564
1/1/1986	21	$109.08 	2.03772522	0.97012784	2.033532316
4/1/1986	22	$110.81 	2.04457504	1.58973184	2.037725222
7/1/1986	23	$113.25 	2.05403438	2.2019872	2.044575036
10/1/1986	24	$115.44 	2.06235256	1.93379191	2.054034376
1/1/1987	25	$117.30 	2.0692832	1.60864179	2.062352556
4/1/1987	26	$123.19 	2.09055783	5.02063156	2.069283202
7/1/1987	27	$127.25 	2.10464073	3.29585583	2.090557828
10/1/1987	28	$132.83 	2.12328963	4.38759873	2.104640726
1/1/1988	29	$134.47 	2.12861249	1.23317373	2.123289634
4/1/1988	30	$135.12 	2.13071321	0.48488094	2.128612486
7/1/1988	31	$135.49 	2.13190404	0.27457482	2.130713208
10/1/1988	32	$140.65 	2.14812739	3.80621305	2.131904037
1/1/1989	33	$143.85 	2.15790685	2.2773488	2.148127385
4/1/1989	34	$146.25 	2.16510478	1.67119688	2.157906847
7/1/1989	35	$143.25 	2.15609766	-2.0526075	2.165104783
10/1/1989	36	$146.79 	2.16669943	2.47118694	2.156097662
1/1/1990	37	$153.12 	2.18503192	4.31157224	2.166699429
4/1/1990	38	$150.55 	2.17766922	-1.6810345	2.18503192
7/1/1990	39	$154.06 	2.1876758	2.33084904	2.177669221
10/1/1990	40	$158.37 	2.1996784	2.80224595	2.187675798
