Time	Inventory (million)	Consumer Credit Debt (billion)	Lag 1 Debt	Lag 2 Debt	Lag 3 Debt	Lag 4 Debt	Quarter	Column 9
1993	$10,630.70 	$4,000.77 					1	
1993.25	$10,509.10 	$4,062.41 	4000.77				2	
1993.5	$12,442.60 	$4,134.77 	4062.41	4000.77			3	61.64
1993.75	$11,013.70 	$4,204.81 	4134.77	4062.41	4000.77		4	72.36
1994	$12,422.00 	$4,276.96 	4204.81	4134.77	4062.41	4000.77	1	70.04
1994.25	$12,960.90 	$4,352.00 	4276.96	4204.81	4134.77	4062.41	2	72.15
1994.5	$15,958.60 	$4,430.89 	4352	4276.96	4204.81	4134.77	3	75.04
1994.75	$14,064.00 	$4,532.51 	4430.89	4352	4276.96	4204.81	4	78.89
1995	$14,682.00 	$4,611.97 	4532.51	4430.89	4352	4276.96	1	101.62
1995.25	$15,077.00 	$4,692.11 	4611.97	4532.51	4430.89	4352	2	79.46
1995.5	$18,322.00 	$4,779.97 	4692.11	4611.97	4532.51	4430.89	3	80.14
1995.75	$15,989.00 	$4,850.89 	4779.97	4692.11	4611.97	4532.51	4	87.86
1996	$16,213.00 	$4,959.08 	4850.89	4779.97	4692.11	4611.97	1	70.92
1996.25	$16,375.00 	$5,041.90 	4959.08	4850.89	4779.97	4692.11	2	108.19
1996.5	$19,044.00 	$5,117.01 	5041.9	4959.08	4850.89	4779.97	3	82.82
1996.75	$15,897.00 	$5,186.12 	5117.01	5041.9	4959.08	4850.89	4	75.11
1997	$15,919.00 	$5,267.56 	5186.12	5117.01	5041.9	4959.08	1	69.11
1997.25	$16,397.00 	$5,345.50 	5267.56	5186.12	5117.01	5041.9	2	81.44
1997.5	$19,303.00 	$5,418.47 	5345.5	5267.56	5186.12	5117.01	3	77.94
1997.75	$16,497.00 	$5,491.21 	5418.47	5345.5	5267.56	5186.12	4	72.97
1998	$17,512.00 	$5,596.24 	5491.21	5418.47	5345.5	5267.56	1	72.74
1998.25	$17,617.00 	$5,715.74 	5596.24	5491.21	5418.47	5345.5	2	105.03
1998.5	$20,620.00 	$5,799.12 	5715.74	5596.24	5491.21	5418.47	3	119.5
1998.75	$17,076.00 	$5,916.44 	5799.12	5715.74	5596.24	5491.21	4	83.38
1999	$18,149.00 	$6,049.54 	5916.44	5799.12	5715.74	5596.24	1	117.32
1999.25	$18,793.00 	$6,170.29 	6049.54	5916.44	5799.12	5715.74	2	133.1
1999.5	$22,373.00 	$6,305.35 	6170.29	6049.54	5916.44	5799.12	3	120.75
1999.75	$19,793.00 	$6,403.56 	6305.35	6170.29	6049.54	5916.44	4	135.06
2000	$20,971.00 	$6,536.22 	6403.56	6305.35	6170.29	6049.54	1	98.21
2000.25	$21,093.00 	$6,684.31 	6536.22	6403.56	6305.35	6170.29	2	132.66
2000.5	$24,975.00 	$6,842.94 	6684.31	6536.22	6403.56	6305.35	3	148.09
2000.75	$21,442.00 	$6,992.66 	6842.94	6684.31	6536.22	6403.56	4	158.63
2001	$22,748.00 	$7,143.86 	6992.66	6842.94	6684.31	6536.22	1	149.72
2001.25	$23,034.00 	$7,319.07 	7143.86	6992.66	6842.94	6684.31	2	151.2
2001.5	$27,582.00 	$7,497.14 	7319.07	7143.86	6992.66	6842.94	3	175.21
2001.75	$22,614.00 	$7,651.83 	7497.14	7319.07	7143.86	6992.66	4	178.07
2002	$23,532.00 	$7,847.02 	7651.83	7497.14	7319.07	7143.86	1	154.69
2002.25	$24,270.00 	$8,033.52 	7847.02	7651.83	7497.14	7319.07	2	195.19
2002.5	$29,508.00 	$8,222.89 	8033.52	7847.02	7651.83	7497.14	3	186.5
2002.75	$24,891.00 	$8,462.21 	8222.89	8033.52	7847.02	7651.83	4	189.37
2003	$25,927.00 	$8,702.35 	8462.21	8222.89	8033.52	7847.02	1	239.32
2003.25	$25,684.00 	$8,983.52 	8702.35	8462.21	8222.89	8033.52	2	240.14
2003.5	$31,286.00 	$9,242.40 	8983.52	8702.35	8462.21	8222.89	3	281.17
2003.75	$26,612.00 	$9,503.80 	9242.4	8983.52	8702.35	8462.21	4	258.88
2004	$28,320.00 	$9,736.97 	9503.8	9242.4	8983.52	8702.35	1	261.4
2004.25	$27,963.00 	$10,020.05 	9736.97	9503.8	9242.4	8983.52	2	233.17
2004.5	$33,347.00 	$10,272.91 	10020.05	9736.97	9503.8	9242.4	3	283.08
2004.75	$29,447.00 	$10,568.35 	10272.91	10020.05	9736.97	9503.8	4	252.86
2005	$31,349.00 	$10,824.96 	10568.35	10272.91	10020.05	9736.97	1	295.44
2005.25	$30,918.00 	$11,137.62 	10824.96	10568.35	10272.91	10020.05	2	256.61
2005.5	$36,573.00 	$11,446.76 	11137.62	10824.96	10568.35	10272.91	3	312.66
2005.75	$32,191.00 	$11,742.67 	11446.76	11137.62	10824.96	10568.35	4	309.14
2006	$32,206.00 	$12,086.19 	11742.67	11446.76	11137.62	10824.96	1	295.91
2006.25	$32,087.00 	$12,428.37 	12086.19	11742.67	11446.76	11137.62	2	343.52
2006.5	$38,531.00 	$12,694.25 	12428.37	12086.19	11742.67	11446.76	3	342.18
2006.75	$33,685.00 	$12,909.83 	12694.25	12428.37	12086.19	11742.67	4	265.88
2007	$35,200.00 	$13,144.42 	12909.83	12694.25	12428.37	12086.19	1	215.58
2007.25	$34,184.00 	$13,386.01 	13144.42	12909.83	12694.25	12428.37	2	234.59
2007.5	$39,555.00 	$13,598.18 	13386.01	13144.42	12909.83	12694.25	3	241.59
2007.75	$35,180.00 	$13,777.14 	13598.18	13386.01	13144.42	12909.83	4	212.17
2008	$35,541.00 	$13,891.10 	13777.14	13598.18	13386.01	13144.42	1	178.96
2008.25	$35,382.00 	$13,896.12 	13891.1	13777.14	13598.18	13386.01	2	113.96
2008.5	$40,416.00 	$13,868.44 	13896.12	13891.1	13777.14	13598.18	3	5.02
2008.75	$34,511.00 	$13,796.78 	13868.44	13896.12	13891.1	13777.14	4	-27.68
2009	$34,391.00 	$13,766.82 	13796.78	13868.44	13896.12	13891.1	1	-71.66
2009.25	$33,861.00 	$13,707.75 	13766.82	13796.78	13868.44	13896.12	2	-29.96
2009.5	$38,775.00 	$13,626.73 	13707.75	13766.82	13796.78	13868.44	3	-59.07
2009.75	$33,160.00 	$13,564.75 	13626.73	13707.75	13766.82	13796.78	4	-81.02
2010	$35,503.00 	$13,497.69 	13564.75	13626.73	13707.75	13766.82	1	-61.98
2010.25	$34,793.00 	$13,423.47 	13497.69	13564.75	13626.73	13707.75	2	-67.06
2010.5	$41,059.00 	$13,348.77 	13423.47	13497.69	13564.75	13626.73	3	-74.22
2010.75	$36,318.00 	$13,328.60 	13348.77	13423.47	13497.69	13564.75	4	-74.7
2011	$38,335.00 	$13,264.87 	13328.6	13348.77	13423.47	13497.69	1	-20.17
2011.25	$38,651.00 	$13,249.16 	13264.87	13328.6	13348.77	13423.47	2	-63.73
2011.5	$44,135.00 	$13,209.33 	13249.16	13264.87	13328.6	13348.77	3	-15.71
2011.75	$40,714.00 	$13,222.89 	13209.33	13249.16	13264.87	13328.6	4	-39.83
