t	Yt
1	0.508552275
2	0.084523101
3	-1.048346012
4	-0.995507357
5	-0.695131332
6	-0.431661718
7	-0.469546988
8	-0.246152803
9	0.593838226
10	0.899943601
11	-0.946997442
12	-0.172305508
13	-1.174928954
14	-1.5516242
15	-3.288925906
16	-2.503820789
17	-2.068726214
18	-4.154001327
19	-2.242226388
20	-2.586268479
21	-1.170037429
22	-1.496759083
23	-0.508364983
24	-0.059026313
25	2.081128038
26	1.793817737
27	0.312958096
28	-0.703205671
29	-1.902431959
30	-0.74980763
31	-1.327686628
32	-1.271504724
33	-2.256808446
34	-2.046369994
35	-2.3157594
36	-1.574621929
37	-2.03334147
38	-2.62216691
39	-2.967139157
40	-2.445044526
41	-2.57301864
42	-4.723199859
43	-4.562824049
44	-4.544987611
45	-2.078089531
46	-2.274822075
47	-4.361527462
48	-4.591386422
49	-4.395881057
50	-4.244353264
51	-1.81022698
52	-1.473173542
53	-0.296509064
54	-1.215402234
55	-0.963332783
56	-1.486423797
57	-1.979572784
58	-0.835280868
59	0.750753133
60	0.162266174
61	0.360009079
62	0.828495692
63	-0.151088188
64	-0.626798544
65	-0.37431592
66	-0.230414136
67	-1.08224158
68	-1.880918252
69	-3.084857858
70	-2.983013079
71	-2.716190117
72	-3.024886381
73	-4.45688503
74	-5.191479068
75	-7.764459765
76	-9.683304136
77	-10.82616913
78	-10.91620733
79	-11.32616165
80	-10.55389237
81	-9.788004219
82	-11.05754583
83	-11.23944906
84	-10.63815729
85	-11.1786029
86	-9.983884296
87	-10.8224373
88	-11.86053598
89	-13.08571776
90	-11.5154517
91	-12.47456934
92	-13.07054874
93	-12.53914128
94	-12.56170486
95	-12.05981295
96	-11.06149274
97	-10.38117399
98	-9.540960105
99	-10.50919699
100	-9.643291084
101	-11.27450164
102	-11.0917571
103	-11.02864529
104	-10.97611795
105	-11.22504858
106	-10.49778652
107	-12.54978991
108	-12.60119012
109	-13.61400729
110	-14.00868928
111	-15.04264044
112	-15.01932042
113	-15.33812024
114	-15.28520147
115	-16.99863509
116	-18.87462415
117	-19.64227348
118	-20.30511171
119	-19.80990781
120	-21.32315389
