Year	Shipments (billion)	Moving Average	Shipments (billion, SA)	Change in Shipments	Computer Disk Drives (billion)	Computer Shipments	Storage Shipments	Peripheral Shipments	Computer Orders	Month	Comp&Elect Shipments	C&E, SA	Non-durables
1992.041667	$19.17 		$22.36 		$0.47 	$2,727 	$471 	$697 		Jan	19172	22357	109885
1992.125	$21.27 		$21.94 	-0.421	$0.70 	$2,854 	$701 	$877 	$2,823 	Feb	21267	21936	108799
1992.208333	$24.87 		$22.50 	0.567	$1.10 	$3,676 	$1,095 	$1,212 	$3,623 	Mar	24865	22503	113650
1992.291667	$20.68 		$23.05 	0.544	$0.57 	$2,872 	$572 	$763 	$2,741 	Apr	20682	23047	113780
1992.375	$21.30 		$23.00 	-0.049	$0.65 	$2,926 	$654 	$919 	$3,004 	May	21304	22998	116045
1992.458333	$25.49 		$22.72 	-0.28	$1.28 	$4,044 	$1,279 	$1,357 	$4,121 	Jun	25486	22718	117756
1992.541667	$20.00 	$22.82 	$23.21 	0.493	$0.46 	$2,776 	$464 	$845 	$2,605 	Jul	20002	23211	116250
1992.625	$21.70 	$22.87 	$22.63 	-0.585	$0.65 	$2,797 	$652 	$940 	$2,774 	Aug	21695	22626	114975
1992.708333	$25.89 	$22.95 	$22.71 	0.083	$1.11 	$3,594 	$1,114 	$1,360 	$3,660 	Sep	25894	22709	118246
1992.791667	$22.64 	$23.00 	$22.87 	0.161	$0.52 	$2,877 	$516 	$912 	$2,953 	Oct	22643	22870	115481
1992.875	$23.71 	$23.02 	$23.08 	0.207	$0.79 	$3,073 	$787 	$1,083 	$3,136 	Nov	23710	23077	118039
1992.958333	$27.01 	$23.09 	$23.16 	0.078	$1.20 	$3,842 	$1,203 	$1,649 	$3,791 	Dec	27008	23155	118248
1993.041667	$19.50 	$23.15 	$23.13 	-0.029	$0.50 	$2,887 	$503 	$712 	$2,691 	Jan	19496	23126	118230
1993.125	$22.08 	$23.22 	$23.46 	0.333	$0.58 	$2,950 	$584 	$890 	$3,163 	Feb	22076	23459	118326
1993.208333	$25.99 	$23.36 	$23.37 	-0.092	$1.12 	$4,081 	$1,122 	$1,359 	$3,647 	Mar	25989	23367	118562
1993.291667	$20.64 	$23.50 	$22.99 	-0.374	$0.50 	$2,683 	$504 	$902 	$2,735 	Apr	20644	22993	117434
1993.375	$21.80 	$23.63 	$23.32 	0.325	$0.82 	$2,522 	$823 	$944 	$2,876 	May	21800	23318	118556
1993.458333	$26.64 	$23.79 	$23.98 	0.659	$1.32 	$3,869 	$1,321 	$1,380 	$3,671 	Jun	26641	23977	119279
1993.541667	$20.46 	$23.96 	$23.89 	-0.086	$0.59 	$2,566 	$588 	$941 	$2,685 	Jul	20455	23891	117677
1993.625	$22.95 	$24.13 	$23.99 	0.102	$0.76 	$2,823 	$764 	$958 	$2,966 	Aug	22951	23993	117188
1993.708333	$28.01 	$24.30 	$24.17 	0.176	$1.27 	$3,984 	$1,267 	$1,349 	$3,582 	Sep	28010	24169	118453
1993.791667	$23.89 	$24.50 	$24.42 	0.255	$0.65 	$2,928 	$652 	$1,011 	$3,143 	Oct	23894	24424	118536
1993.875	$25.55 	$24.74 	$24.81 	0.381	$0.93 	$3,176 	$925 	$1,044 	$3,663 	Nov	25546	24805	117561
1993.958333	$28.96 	$24.98 	$24.68 	-0.128	$1.31 	$4,567 	$1,305 	$1,464 	$4,151 	Dec	28955	24677	116611
1994.041667	$21.54 	$25.21 	$25.36 	0.686	$0.47 	$2,856 	$473 	$693 	$2,867 	Jan	21540	25363	118497
1994.125	$24.19 	$25.46 	$25.69 	0.324	$0.66 	$3,297 	$657 	$891 	$3,396 	Feb	24190	25687	119469
1994.208333	$27.90 	$25.73 	$25.13 	-0.558	$1.20 	$4,610 	$1,202 	$1,142 	$4,412 	Mar	27904	25129	120656
1994.291667	$23.56 	$25.99 	$26.56 	1.427	$0.56 	$3,188 	$560 	$849 	$3,596 	Apr	23559	26556	119451
1994.375	$24.62 	$26.26 	$26.52 	-0.033	$0.73 	$3,315 	$732 	$859 	$3,872 	May	24620	26523	120932
1994.458333	$29.66 	$26.57 	$26.22 	-0.308	$1.31 	$5,084 	$1,306 	$1,350 	$4,915 	Jun	29663	26215	122048
1994.541667	$23.02 	$26.85 	$27.32 	1.105	$0.52 	$3,167 	$520 	$861 	$3,328 	Jul	23016	27320	122674
1994.625	$26.20 	$27.09 	$27.19 	-0.132	$0.84 	$3,427 	$836 	$1,053 	$3,525 	Aug	26195	27188	123971
1994.708333	$31.22 	$27.42 	$26.79 	-0.399	$1.43 	$4,899 	$1,426 	$1,425 	$5,043 	Sep	31220	26789	124884
1994.791667	$27.14 	$27.74 	$27.51 	0.717	$0.62 	$3,813 	$623 	$1,044 	$4,243 	Oct	27137	27506	125481
1994.875	$28.79 	$28.01 	$28.31 	0.805	$0.94 	$4,386 	$940 	$1,054 	$4,714 	Nov	28785	28311	126554
1994.958333	$32.94 	$28.40 	$28.01 	-0.302	$1.56 	$5,364 	$1,564 	$1,844 	$4,899 	Dec	32940	28009	130224
1995.041667	$24.30 	$28.74 	$28.86 	0.849	$0.43 	$3,492 	$433 	$665 	$3,642 	Jan	24295	28858	129411
1995.125	$27.23 	$29.02 	$28.88 	0.024	$0.82 	$4,074 	$821 	$796 	$4,360 	Feb	27226	28882	131075
1995.208333	$32.86 	$29.43 	$29.16 	0.273	$1.43 	$5,973 	$1,430 	$1,204 	$5,896 	Mar	32855	29155	129245
1995.291667	$26.24 	$29.86 	$29.95 	0.793	$0.61 	$3,839 	$613 	$843 	$4,435 	Apr	26241	29948	131890
1995.375	$28.52 	$30.23 	$30.62 	0.676	$0.84 	$4,399 	$840 	$964 	$4,864 	May	28521	30624	130048
1995.458333	$35.07 	$30.66 	$30.74 	0.111	$1.43 	$6,472 	$1,426 	$1,356 	$6,381 	Jun	35066	30735	132066
1995.541667	$25.71 	$30.98 	$30.37 	-0.365	$0.62 	$3,573 	$616 	$925 	$3,111 	Jul	25713	30370	132205
1995.625	$30.20 	$31.23 	$31.42 	1.053	$0.86 	$4,244 	$864 	$1,095 	$4,028 	Aug	30197	31423	131687
1995.708333	$37.23 	$31.57 	$32.15 	0.722	$1.47 	$6,351 	$1,469 	$1,456 	$6,014 	Sep	37229	32145	132838
1995.791667	$31.43 	$31.85 	$32.10 	-0.048	$0.68 	$4,560 	$683 	$1,159 	$4,746 	Oct	31431	32097	132241
1995.875	$33.35 	$32.05 	$32.34 	0.246	$0.99 	$5,014 	$985 	$1,315 	$5,962 	Nov	33345	32343	131730
1995.958333	$38.56 	$32.23 	$33.24 	0.892	$1.61 	$6,546 	$1,611 	$1,749 	$5,764 	Dec	38560	33235	134329
1996.041667	$26.48 	$32.41 	$31.48 	-1.755	$0.47 	$3,484 	$473 	$1,104 	$3,520 	Jan	26481	31480	130056
1996.125	$31.09 	$32.55 	$31.69 	0.214	$0.86 	$4,819 	$855 	$1,400 	$4,862 	Feb	31090	31694	127350
1996.208333	$37.03 	$32.70 	$33.29 	1.594	$1.46 	$6,676 	$1,456 	$1,785 	$6,330 	Mar	37031	33288	133660
1996.291667	$28.81 	$32.84 	$32.53 	-0.759	$0.61 	$3,913 	$611 	$1,232 	$4,081 	Apr	28808	32529	133481
1996.375	$30.70 	$32.99 	$32.86 	0.328	$0.91 	$4,161 	$907 	$1,410 	$4,615 	May	30696	32857	134288
1996.458333	$37.39 	$33.18 	$33.12 	0.261	$1.42 	$6,156 	$1,420 	$2,365 	$6,240 	Jun	37391	33118	134949
1996.541667	$27.51 	$33.37 	$32.40 	-0.722	$0.59 	$3,699 	$590 	$1,458 	$4,275 	Jul	27513	32396	135281
