Company Name	Total Assets	Net Income	Return on Assets	Cost of Goods Sold	Total Revenue	Expense: Admin, Selling	# Employees
ARDEN GROUP INC  -CL A	$127.88 	$18.09 	0.141417222	$252.20 	$417.07 	$129.99 	2141
BEST BUY CO INC	$17,849.00 	$1,277.00 	0.071544624	$36,619.00 	$50,272.00 	$10,325.00 	180000
BURLINGTON COAT FACTORY WRHS	$2,458.01 	$31.00 	0.012611025	$2,252.35 	$3,701.09 	$1,156.61 	31399
CASEYS GENERAL STORES INC	$1,610.96 	$94.62 	0.058737209	$4,259.17 	$5,140.24 	$591.59 	22157
CATO CORP  -CL A	$522.09 	$57.74 	0.11059162	$565.71 	$925.53 	$251.12 	9600
CHARMING SHOPPES INC	$1,022.66 	($53.98)	-0.052785975	$1,046.82 	$2,061.82 	$981.88 	27000
TARGET CORP	$43,705.00 	$2,920.00 	0.066811578	$45,725.00 	$67,390.00 	$14,329.00 	355000
DILLARDS INC  -CL A	$4,374.17 	$179.62 	0.041063828	$3,976.06 	$6,215.66 	$1,676.84 	38900
DOLLAR GENERAL CORP	$9,546.22 	$627.86 	0.065770207	$8,615.34 	$13,035.00 	$2,902.49 	85900
ASCENA RETAIL GROUP INC	$1,654.12 	$133.38 	0.08063386	$1,395.27 	$2,374.57 	$680.83 	30000
DUCKWALL ALCO STORES INC	$212.71 	($4.64)	-0.021790128	$322.23 	$465.20 	$135.50 	3460
FAMILY DOLLAR STORES	$2,982.06 	$358.14 	0.120096631	$5,058.97 	$7,866.97 	$2,069.37 	50000
MACY'S INC	$20,631.00 	$847.00 	0.041054724	$14,824.00 	$25,003.00 	$7,117.00 	166000
GAP INC	$7,065.00 	$1,204.00 	0.170417551	$7,992.00 	$14,664.00 	$3,921.00 	134000
GENESCO INC	$961.08 	$53.21 	0.055365723	$840.25 	$1,789.84 	$806.63 	15200
GREAT ATLANTIC & PAC TEA CO	$2,644.85 	($598.58)	-0.226317268	$5,459.40 	$8,078.46 	$2,709.25 	39000
HAVERTY FURNITURE	$370.24 	$8.44 	0.02280689	$284.71 	$621.05 	$312.28 	3100
HOME DEPOT INC	$40,125.00 	$3,338.00 	0.083190031	$44,693.00 	$67,997.00 	$15,849.00 	321000
SEARS HOLDINGS CORP	$24,268.00 	$133.00 	0.005480468	$31,448.00 	$43,326.00 	$10,571.00 	312000
KROGER CO	$23,505.00 	$1,116.00 	0.04747926	$63,927.00 	$82,189.00 	$14,462.00 	338000
LIMITED BRANDS INC	$6,451.00 	$805.00 	0.124786855	$5,588.00 	$9,613.00 	$2,341.00 	96500
